Table 1 
Optical Afterglow Photometry Log of GRB 090426


$T-T0$ (mid, hr)	Exposure (s)	Mag	sigma	Filter	Telescope	
0.0292	20	16.297	0.081	W	TNT	
0.0356	20	17.115	0.149	W	TNT	
0.0422	20	17.285	0.145	W	TNT	
0.0484	20	16.980	0.119	W	TNT	
0.0547	20	16.995	0.112	W	TNT	
0.0611	20	16.930	0.095	W	TNT	
0.0675	20	16.904	0.123	W	TNT	
0.0736	20	16.817	0.115	W	TNT	
0.0780	20	16.897	0.103	W	TNT	
0.0864	20	16.805	0.091	W	TNT	
0.0925	20	16.907	0.128	W	TNT	
0.0989	20	17.191	0.145	W	TNT	
0.1053	20	16.931	0.120	W	TNT	
0.1117	20	17.085	0.150	W	TNT	
0.1181	20	17.084	0.111	W	TNT	
0.1242	20	17.056	0.149	W	TNT	
0.1306	20	16.930	0.132	W	TNT	
0.1370	20	16.969	0.134	W	TNT	
0.1434	20	16.810	0.086	W	TNT	
0.1495	20	17.224	0.146	W	TNT	
0.1636	60	17.055	0.081	R	TNT	
0.1855	60	17.015	0.095	R	TNT	
0.2075	60	16.996	0.069	R	TNT	
0.2294	60	17.096	0.113	R	TNT	
0.2511	60	17.224	0.095	R	TNT	
0.2730	60	17.180	0.091	R	TNT	
0.2947	60	17.218	0.104	R	TNT	
0.3164	60	17.160	0.110	R	TNT	
0.3383	60	17.231	0.107	R	TNT	
0.3602	60	17.117	0.080	R	TNT	
0.3819	60	17.295	0.123	R	TNT	
0.4036	60	17.375	0.125	R	TNT	
0.4255	60	17.233	0.137	R	TNT	
0.4472	60	17.271	0.130	R	TNT	
0.4691	60	17.425	0.157	R	TNT	
0.4908	60	17.500	0.149	R	TNT	
0.5127	60	17.200	0.129	R	TNT	
0.5344	60	17.395	0.141	R	TNT	
0.5564	60	17.153	0.107	R	TNT	
0.5780	60	17.337	0.134	R	TNT	
0.1636	60	17.055	0.081	R	TNT	
0.1855	60	17.015	0.095	R	TNT	
0.2075	60	16.996	0.069	R	TNT	
0.2294	60	17.096	0.113	R	TNT	
0.2511	60	17.224	0.095	R	TNT	
0.2730	60	17.180	0.091	R	TNT	
0.2947	60	17.218	0.104	R	TNT	
0.3164	60	17.160	0.110	R	TNT	
0.3383	60	17.231	0.107	R	TNT	
0.3602	60	17.117	0.080	R	TNT	
0.3819	60	17.295	0.123	R	TNT	
0.4036	60	17.375	0.125	R	TNT	
0.4255	60	17.233	0.137	R	TNT	
0.4472	60	17.271	0.130	R	TNT	
0.4691	60	17.425	0.157	R	TNT	
0.4908	60	17.500	0.149	R	TNT	
0.5127	60	17.200	0.129	R	TNT	
0.5344	60	17.395	0.141	R	TNT	
0.5564	60	17.153	0.107	R	TNT	
0.5780	60	17.337	0.134	R	TNT	
0.6336	300	17.272	0.056	R	TNT	
0.7220	300	17.460	0.056	R	TNT	
0.9120	300	17.549	0.059	R	TNT	
1.0902	300	17.550	0.058	R	TNT	
1.2686	300	17.603	0.060	R	TNT	
1.4467	300	17.817	0.066	R	TNT	
1.6250	300	17.813	0.060	R	TNT	
1.8034	300	17.860	0.058	R	TNT	
1.9817	300	17.943	0.058	R	TNT	
2.1598	300	17.981	0.073	R	TNT	
2.3381	300	18.097	0.108	R	TNT	
2.5164	300	18.203	0.077	R	TNT	
2.6945	300	18.120	0.071	R	TNT	
2.8728	300	18.153	0.067	R	TNT	
3.0511	300	18.128	0.057	R	TNT	
3.2295	300	18.222	0.062	R	TNT	
3.4075	300	18.309	0.073	R	TNT	
3.5859	300	18.406	0.085	R	TNT	
3.7642	300	18.297	0.118	R	TNT	
3.9423	300	18.163	0.142	R	TNT	
4.2989	300	18.386	0.132	R	TNT	
4.4773	300	18.489	0.139	R	TNT	
4.6553	300	18.382	0.098	R	TNT	
4.8336	300	18.705	0.124	R	TNT	
5.0120	300	18.487	0.514	R	TNT	
5.1900	300	18.428	0.142	R	TNT	
5.9031	300	18.756	0.098	R	TNT	
0.7792	300	17.811	0.080	V	TNT	
0.9594	300	17.724	0.074	V	TNT	
1.1378	300	18.008	0.087	V	TNT	
1.3161	300	18.031	0.094	V	TNT	
1.4942	300	18.017	0.087	V	TNT	
1.6725	300	18.188	0.074	V	TNT	
1.8508	300	18.183	0.083	V	TNT	
2.0289	300	18.356	0.074	V	TNT	
2.2072	300	18.450	0.107	V	TNT	
2.3856	300	18.542	0.123	V	TNT	
2.5639	300	18.618	0.126	V	TNT	
2.7419	300	18.574	0.101	V	TNT	
2.9203	300	18.406	0.056	V	TNT	
3.0986	300	18.508	0.065	V	TNT	
3.2767	300	18.581	0.069	V	TNT	
3.4550	300	18.886	0.133	V	TNT	
3.6333	300	18.574	0.086	V	TNT	
3.8117	300	18.559	0.185	V	TNT	
4.3464	300	18.838	0.187	V	TNT	
4.5244	300	18.938	0.129	V	TNT	
4.7028	300	18.733	0.125	V	TNT	
4.8811	300	19.104	0.151	V	TNT	
5.5942	300	18.982	0.107	V	TNT	
5.7722	300	19.499	0.236	V	TNT	
5.9506	300	19.143	0.123	V	TNT	
24.8198	600	20.946	0.060	B	LJ2.4 m	
25.4064	600	21.064	0.064	B	LJ2.4 m	
26.0269	600	21.076	0.062	B	LJ2.4 m	
50.7076	1800	22.026	0.100	B	LJ2.4 m	
24.6368	600	20.600	0.060	V	LJ2.4 m	
25.2281	600	20.755	0.063	V	LJ2.4 m	
25.8323	600	20.715	0.061	V	LJ2.4 m	
50.5283	1800	21.615	0.104	V	LJ2.4 m	
0.8654	600	17.440	0.010	R	LJ2.4 m	
1.5753	600	17.742	0.01	R	LJ2.4 m	
2.0040	600	17.885	0.01	R	LJ2.4 m	
2.1923	600	17.950	0.01	R	LJ2.4 m	
24.4650	600	20.431	0.06	R	LJ2.4 m	
25.1342	600	20.383	0.06	R	LJ2.4 m	
25.7355	600	20.532	0.06	R	LJ2.4 m	
50.5942	1800	21.100	0.10	R	LJ2.4 m	
0.311	180.00	17.700	0.019	SDSS-g	LOT	
