event,time,magnitude,e_magnitude,band,ra,dec,source,refs
1998bw,50929.6,15.58,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50929.6,15.72,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50929.8,15.65,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50929.8,15.78,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50930.78,15.75,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50930.78,15.82,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50931.37,15.54,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50931.67,15.44,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50931.67,15.39,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50934.33,14.71,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
