col1 col2 col3 col4 col5 col6
107.226 1.935 -1.883 4.6120019e-10 6.875173500000001e-11 -6.875173500000001e-11
111.065 1.638 -1.904 4.9710943e-10 7.4104784e-11 -7.4104784e-11
114.451 1.875 -1.748 4.7882107e-10 7.2842381e-11 -7.2842344e-11
117.822 1.831 -1.496 5.2159714e-10 7.934979299999999e-11 -7.934979299999999e-11
121.926 2.276 -2.273 3.8730157e-10 5.7735539999999997e-11 -5.7735539999999997e-11
125.664 1.816 -1.462 3.4347077800000003e-10 6.668399e-11 -6.668399e-11
129.42 2.805 -1.94 3.55418744e-10 5.4842362e-11 -5.4842362e-11
133.789 1.872 -1.563 3.50633312e-10 6.4016623e-11 -6.4016623e-11
137.538 1.944 -1.878 4.6622442e-10 6.950068900000001e-11 -6.950068900000001e-11
141.355 2.167 -1.873 4.2983381e-10 6.538998899999999e-11 -6.538998899999999e-11
145.65 1.892 -2.127 2.8586988100000005e-10 5.3809951000000004e-11 -5.3809951000000004e-11
149.644 2.282 -2.102 2.62041363e-10 4.9324626e-11 -4.9324626e-11
153.343 1.835 -1.417 3.6138369900000004e-10 6.597936200000001e-11 -6.597936200000001e-11
157.629 2.584 -2.451 2.2812165e-10 4.2939869e-11 -4.2939869e-11
162.397 2.122 -2.184 2.6668238400000004e-10 5.0198233e-11 -5.0198233e-11
166.134 1.848 -1.615 3.3914551500000004e-10 6.1919241e-11 -6.1919241e-11
170.523 2.249 -2.541 2.45307854e-10 4.4786909e-11 -4.4786909e-11
174.898 2.087 -2.126 2.72566457e-10 5.1305791e-11 -5.1305791e-11
178.848 1.77 -1.863 3.16074128e-10 5.9495371e-11 -5.949533400000001e-11
182.898 1.776 -2.281 2.8305606800000003e-10 5.3280296e-11 -5.3280296e-11
186.75 2.066 -2.076 2.7721983600000003e-10 5.2181729000000004e-11 -5.2181729000000004e-11
190.937 1.281 -2.121 3.4536066400000006e-10 6.3053994e-11 -6.3053994e-11
194.965 2.02 -2.748 2.40820864e-10 4.5330254e-11 -4.5330254e-11
200.137 2.812 -3.152 1.96985928e-10 3.59645698e-11 -3.59645661e-11
205.461 2.16 -2.512 2.51406971e-10 4.5900461000000006e-11 -4.5900461000000006e-11
211.235 3.614 -3.614 1.62490865e-10 2.96666518e-11 -2.96666518e-11
217.576 3.102 -2.726 1.8784326499999999e-10 3.7632330000000004e-11 -3.7632330000000004e-11
223.687 2.07 -3.009 2.31198903e-10 4.2210969000000006e-11 -4.2210969000000006e-11
241.366 9.378 -10.68 1.6240879900000002e-10 3.3401376300000005e-11 -3.3401376300000005e-11
258.171 7.617 -7.427 1.87772965e-10 4.1388126e-11 -4.1388126e-11
276.234 9.613 -10.446 1.5226088300000002e-10 3.25063389e-11 -3.25063389e-11
294.946 8.452 -9.099 1.5741531600000002e-10 3.5357814200000006e-11 -3.5357814200000006e-11
317.105 13.873 -13.707 9.9161369e-11 2.23402448e-11 -2.23402448e-11
342.807 10.737 -11.829 1.2213851700000002e-10 2.74754082e-11 -2.74754082e-11
367.947 10.67 -14.403 1.21121054e-10 2.59288822e-11 -2.59288822e-11
395.466 13.24 -16.848 1.03540467e-10 2.16742633e-11 -2.16742633e-11
429.556 14.251 -20.851 8.5376279e-11 1.8251926100000002e-11 -1.8251926100000002e-11
454.761 19.134 -10.954 9.019786e-11 2.0290259800000003e-11 -2.0290259800000003e-11
493.351 23.168 -19.456 7.0938324e-11 1.52276423e-11 -1.52276423e-11
534.183 14.932 -17.663 8.915612500000001e-11 1.9511061999999998e-11 -1.9511061999999998e-11
567.84 16.377 -18.725 7.767040000000001e-11 1.7577967400000002e-11 -1.7577967400000002e-11
604.756 22.086 -20.539 6.7970998e-11 1.49818883e-11 -1.49818883e-11
645.329 16.615 -18.488 7.8929251e-11 1.77286758e-11 -1.77286758e-11
686.273 18.295 -24.329 6.7476123e-11 1.48088874e-11 -1.48088874e-11
735.831 26.406 -31.262 4.721977e-11 1.06062572e-11 -1.06062572e-11
784.052 23.316 -21.816 6.342454900000001e-11 1.39196997e-11 -1.39196997e-11
833.51 31.527 -26.142 4.8022115000000005e-11 1.07541573e-11 -1.07541573e-11
887.868 22.3 -22.831 6.1045671e-11 1.3670674900000002e-11 -1.3670674900000002e-11
944.633 35.739 -34.465 3.9155879e-11 8.821503e-12 -8.821503e-12
1026.148 44.488 -45.775 3.05733479e-11 6.87756e-12 -6.87756e-12
1095.863 22.412 -25.227 5.7622135e-11 1.29233711e-11 -1.29233711e-11
1173.171 40.381 -54.897 2.8610083500000002e-11 6.4456183e-12 -6.4456183e-12
1266.593 44.745 -53.04 2.76258502e-11 6.2521416000000006e-12 -6.2521416000000006e-12
1364.34 39.768 -53.002 2.93645172e-11 6.595705100000001e-12 -6.595705100000001e-12
1465.792 48.638 -61.683 2.4379729200000003e-11 5.509159400000001e-12 -5.509159400000001e-12
1555.562 54.146 -41.132 2.84481567e-11 6.3898778000000006e-12 -6.3898778000000006e-12
1672.427 62.646 -62.719 2.14766722e-11 4.8752495e-12 -4.8752495e-12
1778.463 51.887 -43.391 2.85354693e-11 6.409491500000001e-12 -6.409491500000001e-12
1929.926 60.892 -99.576 1.7542854399999998e-11 3.8778812e-12 -3.8778812e-12
2092.425 83.925 -101.607 2.2829333000000003e-11 4.1321711e-12 -4.1321711e-12
5672.256 35.404 -67.396 7.8926513e-12 1.7690033000000001e-12 -1.7690033000000001e-12
5779.016 71.562 -71.355 5.638467e-12 1.2742596500000003e-12 -1.2742596500000003e-12
5917.72 80.789 -67.143 5.4398251e-12 1.22791086e-12 -1.22791086e-12
6102.656 71.365 -104.147 4.6012867e-12 1.03617612e-12 -1.03617612e-12
6251.873 80.109 -77.852 5.1071507e-12 1.15281788e-12 -1.15281788e-12
6430.575 79.426 -98.593 4.488566200000001e-12 1.02043965e-12 -1.02043965e-12
6597.417 95.618 -87.416 3.2646990700000004e-12 8.632011200000001e-13 -8.632011200000001e-13
6756.032 42.31 -62.997 7.6875603e-12 1.72913839e-12 -1.72913839e-12
6887.078 66.717 -88.736 5.1837666e-12 1.17289112e-12 -1.17289112e-12
7026.215 70.496 -72.42 5.9220201999999996e-12 1.3068992000000002e-12 -1.3068992000000002e-12
7163.268 83.882 -66.556 5.3480392e-12 1.20576414e-12 -1.20576414e-12
7309.857 55.137 -62.707 6.844341400000001e-12 1.5431190400000002e-12 -1.5431190400000002e-12
7416.541 68.803 -51.548 6.7157442e-12 1.50699261e-12 -1.50699261e-12
7566.14 84.686 -80.796 4.8841702e-12 1.09470383e-12 -1.09470383e-12
7798.292 165.938 -147.466 4.2087796e-12 7.437640100000001e-13 -7.437640100000001e-13
11525.948 124.466 -136.294 2.41667091e-12 6.329294e-13 -6.329294e-13
