col1 col2 col3 col4 col5 col6
184.295 2.441 -2.099 2.9417988599999996e-10 5.371006199999999e-11 -5.3710187999999993e-11
189.537 1.836 -2.8 2.8027406399999997e-10 5.317389e-11 -5.3174016e-11
193.296 2.019 -1.924 3.4504974e-10 6.299769e-11 -6.299785799999999e-11
199.299 3.177 -3.984 1.86038958e-10 3.52955148e-11 -3.5295598799999996e-11
215.304 9.545 -8.006 1.8999884399999997e-10 4.1522417999999996e-11 -4.1522417999999996e-11
238.751 11.171 -13.903 1.4495439e-10 3.04300584e-11 -3.04300584e-11
266.653 25.894 -16.731 7.3297518e-11 1.64920308e-11 -1.64920308e-11
318.508 19.171 -25.961 7.2780372e-11 1.6000026e-11 -1.6000026e-11
355.301 19.987 -17.622 8.354224199999999e-11 1.8738677999999998e-11 -1.8738677999999998e-11
405.064 22.878 -29.776 6.2367732e-11 1.37109042e-11 -1.37109042e-11
444.732 33.357 -16.79 6.282603599999999e-11 1.4070130199999999e-11 -1.4070130199999999e-11
534.929 35.931 -56.84 3.5386016399999995e-11 7.790831999999999e-12 -7.790831999999999e-12
617.684 38.424 -46.825 3.65929116e-11 8.259199199999999e-12 -8.259199199999999e-12
718.166 68.323 -62.058 2.3959173e-11 5.3992595999999995e-12 -5.3992595999999995e-12
876.2 85.801 -89.711 1.75904442e-11 4.0141764599999994e-12 -4.0141764599999994e-12
1039.19 90.801 -77.189 1.8453636599999997e-11 4.1912862599999995e-12 -4.1912862599999995e-12
1218.135 69.817 -88.144 2.07639474e-11 4.5715362e-12 -4.5715362e-12
1378.889 67.024 -90.937 1.95668298e-11 4.4441207999999995e-12 -4.4441207999999995e-12
1531.715 97.231 -85.802 1.6879568999999998e-11 3.827754e-12 -3.827754e-12
1726.824 82.638 -97.877 1.79970882e-11 3.9741954e-12 -3.9741954e-12
5083.632 82.892 -65.039 7.7160636e-12 1.6184943599999999e-12 -1.6184943599999999e-12
7364.141 82.8 -112.771 4.775748599999999e-12 1.0878390599999999e-12 -1.0878390599999999e-12
7523.168 69.196 -76.227 6.4977863999999995e-12 1.4630107799999997e-12 -1.4630107799999997e-12
11113.026 1908.58 -330.461 4.7945477999999995e-12 1.2598807199999998e-12 -1.2598807199999998e-12
13206.175 166.453 -184.569 3.4007836799999995e-12 6.8630268e-13 -6.8630268e-13
17689.711 1121.908 -1072.97 6.879062399999999e-12 1.7450399399999999e-12 -1.7450399399999999e-12
18984.105 171.013 -172.487 4.565937599999999e-12 7.953560999999999e-13 -7.953560999999999e-13
23162.564 1524.309 -766.862 3.4965928199999995e-12 9.126541199999999e-13 -9.126541199999999e-13
24783.989 153.614 -97.116 3.4400784599999996e-12 8.216514600000001e-13 -8.216514600000001e-13
28441.099 2278.124 -312.771 2.3548308e-12 5.7482628e-13 -5.7482628e-13
34751.448 1347.199 -790.006 2.09770554e-12 5.4743472e-13 -5.4743472e-13
36322.033 177.782 -223.386 1.90789242e-12 4.9767774e-13 -4.9767774e-13
40916.989 4662.861 -1214.004 1.0292918999999998e-12 2.70161934e-13 -2.70161934e-13
46796.019 4629.664 -1216.169 1.04315946e-12 2.50033896e-13 -2.50033896e-13
117489.145 253856.73 -54620.443 2.3990085e-14 8.7178896e-15 -7.2360456e-15
