col1 col2 col3 col4 col5 col6
359.163 7.16 -8.638 6.092109e-11 1.1122626e-11 -1.1122623e-11
375.527 9.672 -9.204 4.8234239999999996e-11 9.663198e-12 -9.663198e-12
392.013 6.267 -6.814 6.38004e-11 1.4086509e-11 -1.4086509e-11
410.025 9.354 -11.745 4.3122989999999996e-11 8.37222e-12 -8.37222e-12
426.456 4.104 -7.078 7.751826e-11 1.6032909e-11 -1.6032909e-11
439.682 8.664 -9.122 4.751361e-11 1.0150626e-11 -1.0150623e-11
457.817 12.986 -9.471 4.1540639999999994e-11 7.81929e-12 -7.81929e-12
479.531 7.116 -8.728 5.938056e-11 1.1177340000000001e-11 -1.1177340000000001e-11
498.157 12.366 -11.51 3.539538e-11 7.561734e-12 -7.561734e-12
3897.13 76.093 -76.852 8.574597e-12 1.3840785e-12 -1.3840785e-12
40066.421 725.558 -703.603 4.036653e-13 1.0253483999999999e-13 -1.0253483999999999e-13
45053.859 159.495 -231.644 3.09195e-13 2.2652532e-13 -1.5238593e-13
