col1 col2 col3 col4 col5 col6
65.119 0.357 -0.371 1.1332588409999999e-08 1.56337896e-09 -1.4685884070000001e-09
65.76 0.322 -0.284 1.386872487e-08 1.829549865e-09 -1.744871271e-09
66.402 0.289 -0.32 1.4176425120000002e-08 1.79757435e-09 -1.741640472e-09
67.019 0.326 -0.328 1.304680806e-08 1.6725912060000002e-09 -1.623332568e-09
67.717 0.323 -0.371 1.24316478e-08 1.573985985e-09 -1.5269971860000001e-09
68.451 0.297 -0.411 1.200109482e-08 1.529227557e-09 -1.486033692e-09
69.078 0.323 -0.33 1.301465451e-08 1.658716917e-09 -1.610904009e-09
69.868 0.345 -0.468 1.045131945e-08 1.33496649e-09 -1.293860568e-09
70.712 0.438 -0.498 8.990943390000001e-09 1.16266293e-09 -1.1277225960000001e-09
71.507 0.445 -0.358 1.06950129e-08 1.349137647e-09 -1.306820658e-09
72.488 0.546 -0.536 7.85571501e-09 1.00301916e-09 -9.72413442e-10
73.615 0.547 -0.581 7.60796322e-09 9.617502180000002e-10 -9.30000357e-10
74.832 0.732 -0.67 6.06151689e-09 8.08577055e-10 -7.568387969999999e-10
76.206 0.693 -0.643 6.056334570000001e-09 8.3303649e-10 -7.762965210000002e-10
77.61 0.647 -0.711 5.9936448e-09 8.090270760000001e-10 -7.57002246e-10
79.005 0.796 -0.748 5.3210328600000005e-09 6.81958563e-10 -6.599375640000001e-10
80.286 0.551 -0.484 7.77950316e-09 1.021540377e-09 -9.903061740000001e-10
81.353 0.605 -0.516 7.186689509999999e-09 9.40658004e-10 -9.140316900000001e-10
82.496 0.508 -0.538 7.85493423e-09 1.025332737e-09 -9.73005462e-10
83.572 0.669 -0.568 6.645617550000001e-09 9.3809001e-10 -8.231017080000001e-10
84.804 0.56 -0.563 7.0309024500000006e-09 1.0656505860000001e-09 -9.180256800000001e-10
85.948 0.522 -0.585 7.325745569999999e-09 9.835498530000002e-10 -9.22073295e-10
86.849 0.367 -0.379 1.062085167e-08 1.4321774610000001e-09 -1.3736944650000002e-09
87.636 0.355 -0.421 9.99928644e-09 1.373978463e-09 -1.327326858e-09
88.359 0.361 -0.368 1.124305611e-08 1.438080501e-09 -1.402838151e-09
89.003 0.344 -0.283 1.2812912970000001e-08 1.6742891880000002e-09 -1.632609264e-09
89.647 0.292 -0.301 1.3819008060000001e-08 1.756637025e-09 -1.7150180190000003e-09
90.21 0.281 -0.271 1.469826501e-08 1.8793275930000002e-09 -1.8468582990000003e-09
90.77 0.322 -0.279 1.3614585269999999e-08 1.7120677860000002e-09 -1.6878914910000002e-09
91.423 0.287 -0.331 1.299955371e-08 1.674087987e-09 -1.654080285e-09
91.956 0.279 -0.247 1.5546380850000002e-08 1.967245137e-09 -1.928556201e-09
92.49 0.267 -0.255 1.555064511e-08 1.9817667870000002e-09 -1.953321942e-09
93.014 0.248 -0.257 1.620326994e-08 2.056528188e-09 -2.010529521e-09
93.563 0.244 -0.3 1.4890113810000001e-08 1.9120778820000002e-09 -1.871657502e-09
94.064 0.245 -0.257 2.099176794e-08 2.3616368490000002e-09 -2.294186037e-09
94.597 0.254 -0.289 1.479018684e-08 1.951421043e-09 -1.886464866e-09
95.118 0.24 -0.267 1.638978627e-08 2.077100454e-09 -2.019506346e-09
95.603 0.264 -0.245 1.6015084800000002e-08 2.1015114120000003e-09 -2.0270026920000002e-09
96.224 0.356 -0.357 1.136245968e-08 1.554077382e-09 -1.4384370000000001e-09
96.975 0.456 -0.394 9.43728357e-09 1.2986095980000001e-09 -1.2094144919999999e-09
97.824 0.423 -0.393 9.82770789e-09 1.3512478980000001e-09 -1.259456055e-09
98.593 0.306 -0.345 1.2573299310000002e-08 1.6988322780000002e-09 -1.571043045e-09
99.391 0.561 -0.492 7.70477565e-09 1.0434193770000002e-09 -9.73962561e-10
100.353 0.444 -0.401 9.63341808e-09 1.312124385e-09 -1.232703615e-09
101.369 0.526 -0.572 7.41611013e-09 9.93556707e-10 -9.46935561e-10
102.375 0.634 -0.48 7.496976630000001e-09 9.705464340000001e-10 -9.20889255e-10
103.628 0.606 -0.62 6.445008570000001e-09 8.63719428e-10 -8.229579930000001e-10
104.873 0.712 -0.639 5.909475e-09 7.58806191e-10 -7.42265238e-10
106.174 0.559 -0.59 6.87405576e-09 8.958944280000001e-10 -8.7501843e-10
107.091 0.299 -0.357 1.2155500500000001e-08 1.5557110140000001e-09 -1.5263442480000002e-09
107.693 0.29 -0.302 1.524101436e-08 1.941632121e-09 -1.913381184e-09
108.368 0.337 -0.386 1.509637272e-08 1.897550655e-09 -1.870330176e-09
108.992 0.32 -0.286 1.780373166e-08 2.256972003e-09 -2.233225566e-09
109.623 0.276 -0.311 1.839698289e-08 2.337465273e-09 -2.307709404e-09
110.185 0.274 -0.286 1.919687913e-08 2.489352294e-09 -2.4493287390000003e-09
110.898 0.474 -0.439 1.1720876310000001e-08 1.5398405880000002e-09 -1.488373887e-09
111.729 0.274 -0.357 1.7033831100000003e-08 2.207052705e-09 -2.173324725e-09
112.323 0.277 -0.319 1.812226416e-08 2.307457152e-09 -2.2733087519999998e-09
112.998 0.338 -0.398 1.452408672e-08 1.905772011e-09 -1.844417289e-09
