event,time,magnitude,e_magnitude,band
SN1998bw,50929.6,15.58,,R
SN1998bw,50929.6,15.72,,V
SN1998bw,50929.8,15.65,,R
SN1998bw,50929.8,15.78,,V
SN1998bw,50930.78,15.75,,B
SN1998bw,50930.78,15.82,,R
SN1998bw,50931.37,15.54,,R
SN1998bw,50931.67,15.44,,R
SN1998bw,50931.67,15.39,,V
SN1998bw,50934.33,14.71,,R
SN1998bw,50936.3,14.58,,B
SN1998bw,50936.3,14.28,,R
SN1998bw,50936.3,14.18,,V
SN1998bw,50937.36,14.13,,I
SN1998bw,50937.48,14.35,,B
SN1998bw,50937.48,14.08,,R
SN1998bw,50937.48,14.22,,U
SN1998bw,50937.48,14.03,,V
SN1998bw,50939.33,13.93,,I
SN1998bw,50939.35,14.24,,B
SN1998bw,50939.35,13.88,,R
SN1998bw,50939.35,13.92,,U
SN1998bw,50939.35,13.82,,V
SN1998bw,50939.73,13.92,,I
SN1998bw,50939.75,14.21,,B
SN1998bw,50939.75,13.85,,R
SN1998bw,50939.75,13.85,,V
SN1998bw,50941.3,13.82,,I
SN1998bw,50941.32,14.13,,B
SN1998bw,50941.32,13.75,,R
SN1998bw,50941.32,13.85,,U
SN1998bw,50941.32,13.71,,V
SN1998bw,50941.7,13.79,,I
SN1998bw,50941.82,14.11,,B
SN1998bw,50941.82,13.71,,R
SN1998bw,50941.82,13.74,,V
SN1998bw,50942.29,13.78,,I
SN1998bw,50942.31,14.1,,B
SN1998bw,50942.31,13.71,,R
SN1998bw,50942.31,13.83,,U
SN1998bw,50942.31,13.68,,V
SN1998bw,50942.78,13.76,,I
SN1998bw,50942.8,14.11,,B
SN1998bw,50942.8,13.68,,R
SN1998bw,50942.8,13.69,,V
SN1998bw,50943.13,13.5,,C
SN1998bw,50944.26,13.72,,I
SN1998bw,50944.28,14.08,,B
SN1998bw,50944.28,13.63,,R
SN1998bw,50944.28,13.85,,U
SN1998bw,50944.28,13.6,,V
SN1998bw,50946.14,13.5,,C
SN1998bw,50946.45,13.6,,R
SN1998bw,50946.45,13.57,,V
SN1998bw,50947.43,13.65,,V
SN1998bw,50948.39,13.71,,I
SN1998bw,50948.42,14.29,,B
SN1998bw,50948.42,13.63,,R
SN1998bw,50948.42,14.15,,U
SN1998bw,50948.42,13.68,,V
SN1998bw,50949.4,13.71,,V
SN1998bw,50950.19,14.4,,B
SN1998bw,50950.29,13.64,,R
SN1998bw,50950.29,13.74,,V
SN1998bw,50950.36,13.75,,I
SN1998bw,50950.39,14.44,,B
SN1998bw,50950.39,13.65,,R
SN1998bw,50950.39,14.38,,U
SN1998bw,50950.39,13.78,,V
SN1998bw,50951.35,13.76,,I
SN1998bw,50951.37,14.53,,B
SN1998bw,50951.37,13.68,,R
SN1998bw,50951.37,14.49,,U
SN1998bw,50951.37,13.82,,V
SN1998bw,50952.33,13.79,,I
SN1998bw,50952.36,14.65,,B
SN1998bw,50952.36,13.71,,R
SN1998bw,50952.36,14.69,,U
SN1998bw,50952.36,13.89,,V
SN1998bw,50953.22,13.79,,I
SN1998bw,50953.24,14.74,,B
SN1998bw,50953.24,13.82,,I
SN1998bw,50953.24,13.74,,R
SN1998bw,50953.24,14.81,,U
SN1998bw,50953.24,13.92,,V
SN1998bw,50953.61,13.78,,I
SN1998bw,50953.64,13.78,,R
SN1998bw,50953.64,13.93,,V
SN1998bw,50954.33,14.89,,B
SN1998bw,50954.33,13.81,,R
SN1998bw,50954.33,14.99,,U
SN1998bw,50954.33,14.01,,V
