event,time,magnitude,e_magnitude,band
SN2003dh,52727.5373976,12.63,0.026,R
SN2003dh,52727.5376476,12.624,0.02,R
SN2003dh,52727.5381376,12.622,0.021,R
SN2003dh,52727.5386376,12.628,0.021,R
SN2003dh,52727.5391476,12.641,0.022,R
SN2003dh,52727.5393976,12.651,0.022,R
SN2003dh,52727.5396476,12.648,0.022,R
SN2003dh,52727.5399076,12.646,0.022,R
SN2003dh,52727.5401176,12.628,0.022,R
SN2003dh,52727.5404276,12.664,0.02,R
SN2003dh,52727.5406876,12.673,0.021,R
SN2003dh,52727.5410376,12.667,0.022,R
SN2003dh,52727.5412076,12.676,0.022,R
SN2003dh,52727.5415076,12.682,0.022,R
SN2003dh,52727.5416276,12.663,0.022,R
SN2003dh,52727.5419976,12.691,0.021,R
SN2003dh,52727.5425376,12.696,0.023,R
SN2003dh,52727.5428976,12.721,0.022,R
SN2003dh,52727.5430776,12.7,0.023,R
SN2003dh,52727.5433476,12.696,0.02,R
SN2003dh,52727.5438976,12.689,0.02,R
SN2003dh,52727.5441676,12.713,0.021,R
SN2003dh,52727.5447276,12.725,0.021,R
SN2003dh,52727.5450076,12.714,0.026,R
SN2003dh,52727.5455676,12.735,0.022,R
SN2003dh,52727.5459876,12.746,0.022,R
SN2003dh,52727.5461376,12.735,0.028,R
SN2003dh,52727.5464176,12.76,0.021,R
SN2003dh,52727.5467076,12.744,0.022,R
SN2003dh,52727.5469976,12.744,0.022,R
SN2003dh,52727.5472876,12.778,0.027,R
SN2003dh,52727.5475776,12.783,0.022,R
SN2003dh,52727.5479876,12.735,0.022,R
SN2003dh,52727.5481676,12.771,0.025,R
SN2003dh,52727.5484576,12.79,0.022,R
SN2003dh,52727.5490576,12.779,0.028,R
SN2003dh,52727.5493576,12.797,0.021,R
SN2003dh,52727.5496576,12.808,0.031,R
SN2003dh,52727.5499576,12.809,0.021,R
SN2003dh,52727.5502576,12.834,0.028,R
SN2003dh,52727.5505676,12.813,0.024,R
SN2003dh,52727.5508676,12.827,0.029,R
SN2003dh,52727.5511776,12.834,0.028,R
SN2003dh,52727.5514876,12.824,0.026,R
SN2003dh,52727.5517976,12.825,0.03,R
SN2003dh,52727.5521076,12.861,0.021,R
SN2003dh,52727.5524276,12.826,0.025,R
SN2003dh,52727.5527376,12.817,0.03,R
