event,time,magnitude,e_magnitude,band,ra,dec,source,refs
2012bz,56039.302,17.52,,v,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.305,21.06,0.51,u,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.308,20.27,,W2,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.311,20.84,0.75,M2,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.311,20.56,,W1,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.311,20.08,,u,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.311,18.83,,v,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.313,20.3,0.55,W2,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.322,20.93,0.04,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.339,20.42,,b,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.3537,20.2,0.06,J,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.359,20.33,0.07,J,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.364,21.43,0.48,W1,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.3644,20.36,0.07,J,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.366,21.08,0.43,u,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
