event,time,magnitude,e_magnitude,band
SN2013cq,56415.552375,23.52,,r'
SN2013cq,56417.514805,22.1683,,r'
SN2013cq,56417.943915,22.5715,,r'
SN2013cq,56418.959805,22.5202,,r'
SN2013cq,56421.034175,22.5305,,r'
SN2013cq,56423.036275,22.2723,,r'
SN2013cq,56423.555075,22.1475,,r'
SN2013cq,56425.012275,22.1267,,r'
SN2013cq,56425.988175,22.1267,,r'
SN2013cq,56427.952175,22.1996,,r'
SN2013cq,56429.859575,22.21,,r'
SN2013cq,56433.038075,22.7142,,r'
SN2013cq,56433.935375,22.8352,,r'
SN2013cq,56434.985375,22.7748,,r'
SN2013cq,56435.832975,22.7547,,r'
SN2013cq,56436.963975,22.8652,,r'
