wavelength,flux
3378.506829,-7.358216e-16
3381.46129,1.304403e-16
3384.415751,1.018382e-15
3387.370212,1.110152e-15
3390.324673,6.218877e-16
3393.279134,8.975332e-16
3396.233595,1.8088e-15
3399.188056,9.509048e-16
3402.142517,7.108271e-16
3405.096979,7.276239e-16
3408.05144,1.075304e-15
3411.005901,8.84218e-16
3413.960362,9.418303e-16
3416.914823,1.569603e-15
3419.869284,9.554309e-16
3422.823745,1.442373e-15
3425.778206,1.464738e-15
3428.732667,6.737476e-16
3431.687128,1.129874e-16
3434.641589,-3.564726e-16
3437.59605,1.535987e-16
3440.550511,5.686412e-16
3443.504972,4.251945e-16
3446.459433,5.887653e-16
3449.413894,1.3166930000000001e-17
3452.368355,1.260339e-16
3455.322816,9.45893e-16
3458.277277,6.884856e-16
3461.231738,7.341736e-16
3464.186199,9.441352e-16
3467.14066,1.419386e-15
3470.095121,1.328248e-15
3473.049582,1.196278e-15
3476.004043,1.130686e-15
3478.958504,1.667024e-15
3481.912965,1.281754e-15
3484.867426,1.305489e-15
3487.821887,1.471431e-15
3490.776348,1.305326e-15
3493.730809,1.393809e-15
3496.68527,1.290705e-15
3499.639731,9.904872e-16
3502.594192,1.35778e-15
3505.548653,1.501364e-15
3508.503114,1.419445e-15
3511.457575,1.265127e-15
3514.412036,9.579439e-16
3517.366497,6.53497e-16
3520.320958,8.047224e-16
3523.275419,1.27821e-15
3526.22988,1.327614e-15
3529.184341,1.483941e-15
3532.138802,1.384877e-15
3535.093263,1.278036e-15
3538.047724,1.159142e-15
3541.002185,1.083721e-15
3543.956646,8.051129e-16
3546.911107,6.127805e-16
3549.865568,6.100504e-16
3552.820029,9.12881e-16
3555.77449,1.056469e-15
3558.728951,1.17245e-15
3561.683412,1.253883e-15
3564.637873,1.397894e-15
3567.592334,1.422241e-15
3570.546795,1.417751e-15
3573.501256,1.323483e-15
3576.455717,8.483411e-16
3579.410178,8.004351e-16
3582.364639,9.737838e-16
3585.3191,1.176445e-15
3588.273561,1.513845e-15
3591.228022,1.443322e-15
3594.182483,1.550672e-15
3597.136944,1.529865e-15
3600.091405,1.220994e-15
3603.045866,9.305527e-16
3606.000327,1.183001e-15
3608.954788,1.606989e-15
3611.909249,1.574888e-15
3614.86371,1.336967e-15
3617.818171,1.368933e-15
3620.772632,1.344834e-15
3623.727093,1.21539e-15
3626.681554,1.30078e-15
3629.636015,1.377915e-15
3632.590476,1.496958e-15
3635.544937,1.532273e-15
3638.499398,1.530492e-15
3641.453859,1.528711e-15
3644.40832,1.52693e-15
3647.362781,1.525148e-15
3650.317242,1.523367e-15
3653.271703,1.521586e-15
3656.226164,1.519805e-15
3659.180625,1.518024e-15
3662.135086,1.519262e-15
3665.089547,1.535992e-15
