wavelength,flux
3252,0.03
3270,0.029
3284,0.028
3294,0.027
3312,0.028
3334,0.027
3338,0.028
3344,0.027
3346,0.028
3368,0.029
3376,0.03
3380,0.029
3384,0.03
3396,0.029
3414,0.03
3420,0.031
3456,0.032
3468,0.033
3474,0.034
3480,0.035
3486,0.036
3490,0.037
3498,0.038
3504,0.039
3516,0.04
3524,0.041
3532,0.042
3536,0.043
3546,0.044
3558,0.045
3564,0.046
3568,0.047
3582,0.048
3590,0.049
3596,0.05
3600,0.051
3606,0.052
3610,0.053
3622,0.054
3628,0.055
3636,0.056
3646,0.057
3662,0.058
3672,0.059
3688,0.06
3696,0.061
3710,0.062
3724,0.063
3740,0.064
3746,0.065
3756,0.066
3772,0.067
3778,0.068
3788,0.069
3808,0.07
3820,0.071
3828,0.072
3838,0.073
3852,0.074
3862,0.075
3872,0.076
3886,0.077
3888,0.076
3890,0.077
3914,0.078
3958,0.079
3984,0.08
3986,0.079
3988,0.08
4012,0.081
4030,0.08
4038,0.081
4048,0.08
4050,0.081
4084,0.082
4114,0.083
4140,0.084
4218,0.083
4220,0.084
4236,0.083
4248,0.084
4310,0.085
4332,0.086
4348,0.087
4360,0.088
4368,0.089
4380,0.09
4386,0.091
4402,0.092
4412,0.093
4420,0.094
4434,0.095
4440,0.096
4448,0.097
4450,0.096
4452,0.097
4464,0.098
4472,0.099
4480,0.1
4496,0.101
4508,0.102
4532,0.103
4540,0.102
4548,0.103
4550,0.102
4578,0.101
4592,0.1
4604,0.099
4612,0.098
4622,0.097
4638,0.096
4650,0.095
4652,0.096
4654,0.095
4668,0.094
4676,0.093
4704,0.092
4706,0.093
4708,0.092
4728,0.091
4786,0.092
4796,0.093
4804,0.094
4814,0.095
4816,0.094
4818,0.095
4832,0.096
4878,0.097
4938,0.098
4956,0.099
4976,0.1
5016,0.101
5036,0.102
5046,0.103
5058,0.104
5068,0.105
5080,0.106
5096,0.107
5104,0.108
5110,0.109
5118,0.11
5128,0.111
5138,0.112
5154,0.113
5164,0.114
5176,0.115
5198,0.116
5212,0.117
5236,0.118
5266,0.119
5300,0.12
5336,0.121
5342,0.12
5364,0.119
5372,0.12
5374,0.119
5388,0.118
5406,0.117
5416,0.116
5426,0.115
5440,0.114
5450,0.113
5460,0.112
5470,0.111
5482,0.11
5490,0.109
5502,0.108
5510,0.107
5514,0.106
5520,0.105
5528,0.104
5536,0.103
5548,0.102
5552,0.101
5558,0.1
5568,0.099
5572,0.098
5580,0.097
5596,0.096
5604,0.095
5622,0.094
5634,0.093
5640,0.092
5650,0.091
5658,0.09
5662,0.091
5666,0.09
5678,0.089
5682,0.09
5684,0.089
5700,0.088
5742,0.087
5752,0.088
5770,0.087
5772,0.088
5796,0.087
5806,0.088
5812,0.087
5832,0.086
5846,0.087
5848,0.086
5878,0.085
5894,0.084
5914,0.083
5924,0.082
5948,0.081
5958,0.08
5986,0.079
5988,0.08
5990,0.079
6010,0.078
6044,0.079
6056,0.08
6062,0.081
6072,0.08
6088,0.081
6096,0.08
6106,0.081
6114,0.08
6122,0.081
6144,0.08
6148,0.081
6158,0.082
6172,0.083
6210,0.084
6258,0.083
6264,0.082
6268,0.083
6298,0.084
6338,0.085
6342,0.084
6364,0.083
6380,0.082
6396,0.083
6400,0.084
6414,0.083
6428,0.084
6446,0.083
6456,0.082
6462,0.083
6472,0.082
6478,0.081
6498,0.08
6504,0.079
6512,0.078
6532,0.077
6552,0.076
6564,0.075
6580,0.074
6590,0.073
6594,0.074
6596,0.073
6598,0.072
6602,0.071
6606,0.07
6610,0.069
6618,0.07
6622,0.069
6654,0.068
6678,0.069
6702,0.068
6706,0.069
6712,0.068
6714,0.069
6720,0.068
6744,0.069
6756,0.07
6778,0.071
6782,0.072
6786,0.073
6792,0.074
6800,0.075
6810,0.076
6812,0.077
6816,0.078
6820,0.077
6822,0.078
6832,0.079
6834,0.078
6836,0.079
6842,0.08
6848,0.081
6852,0.082
6856,0.083
6866,0.084
6870,0.083
6874,0.082
6880,0.081
6882,0.082
6884,0.081
6890,0.082
6896,0.083
6934,0.082
6944,0.081
6950,0.08
6954,0.079
6958,0.078
6962,0.077
6978,0.076
6982,0.075
6992,0.074
7002,0.073
7008,0.072
7018,0.071
7022,0.07
7026,0.069
7030,0.068
7038,0.067
7042,0.066
7048,0.065
7050,0.064
7056,0.063
7058,0.062
7066,0.061
7088,0.06
7092,0.059
7098,0.058
7102,0.057
7106,0.058
7110,0.057
7112,0.058
7114,0.057
7130,0.056
7140,0.055
7144,0.054
7154,0.053
7156,0.054
7158,0.053
7160,0.054
7164,0.053
7172,0.052
7176,0.051
7180,0.05
7186,0.049
7190,0.048
7194,0.047
7198,0.046
7204,0.045
7214,0.044
7222,0.043
7228,0.044
7230,0.043
7238,0.042
7244,0.041
7248,0.04
7254,0.039
7276,0.038
7306,0.037
7316,0.036
7324,0.035
7374,0.036
7388,0.037
7396,0.038
7402,0.039
7408,0.038
7414,0.037
7420,0.038
7424,0.039
7426,0.038
7432,0.037
7450,0.038
7468,0.037
7480,0.036
7488,0.035
7506,0.034
7514,0.035
7528,0.036
7536,0.037
7548,0.038
7566,0.037
7572,0.036
7574,0.037
7576,0.036
7584,0.037
7608,0.038
7612,0.039
7622,0.038
7638,0.039
7648,0.04
7666,0.041
7674,0.042
7680,0.043
7702,0.044
7710,0.045
7720,0.044
7722,0.045
7726,0.046
7756,0.047
7766,0.048
7770,0.049
7774,0.05
7782,0.051
7788,0.05
7808,0.049
7818,0.05
7824,0.051
7832,0.052
