wavelength,flux
3410.0,0.27045417
3411.95,0.25613225
3413.9,0.24814978
3415.85,0.26753244
3417.8,0.27168679
3419.75,0.28149351
3421.7,0.26885861
3423.65,0.25522363
3425.6,0.26378226
3427.55,0.26531971
3429.5,0.25771138
3431.45,0.27197748
3433.4,0.2590102
3435.35,0.28096867
3437.3,0.26670086
3439.25,0.25356963
3441.2,0.2572211
3443.15,0.25980324
3445.1,0.26547524
3447.05,0.25865278
3449.0,0.26213032
3450.95,0.28172472
3452.9,0.26120934
3454.85,0.25052091
3456.8,0.26451138
3458.75,0.26354373
3460.7,0.24904072
3462.65,0.25770876
3464.6,0.25788406
3466.55,0.25520155
3468.5,0.26220018
3470.45,0.22416668
3472.4,0.24023367
3474.35,0.26581511
3476.3,0.26265538
3478.25,0.26819462
3480.2,0.25773349
3482.15,0.24426877
3484.1,0.25930852
3486.05,0.25554052
3488.0,0.24764135
3489.95,0.24817827
3491.9,0.25036255
3493.85,0.24709325
3495.8,0.24377605
3497.75,0.24204876
3499.7,0.24944578
3501.65,0.25165215
3503.6,0.24724095
3505.55,0.24209878
3507.5,0.23132908
3509.45,0.23463529
3511.4,0.24887167
3513.35,0.2538285
3515.3,0.23611628
3517.25,0.23342918
3519.2,0.24524063
3521.15,0.24015526
3523.1,0.23512189
3525.05,0.24527849
3527.0,0.25143948
3528.95,0.24005719
3530.9,0.24292763
3532.85,0.26318714
3534.8,0.26092735
3536.75,0.23510915
3538.7,0.23555778
3540.65,0.26351452
3542.6,0.2527827
3544.55,0.248588
3546.5,0.25130603
3548.45,0.24146566
3550.4,0.23959723
3552.35,0.26255128
3554.3,0.25406662
3556.25,0.23594974
3558.2,0.25054011
3560.15,0.22970936
3562.1,0.23861274
3564.05,0.25311649
3566.0,0.24873675
3567.95,0.24596176
3569.9,0.24179079
3571.85,0.2452005
3573.8,0.24861985
3575.75,0.26888302
3577.7,0.2786079
3579.65,0.25083163
3581.6,0.25210524
3583.55,0.2627809
3585.5,0.25134844
3587.45,0.24258669
3589.4,0.25944686
3591.35,0.25707164
3593.3,0.24254756
3595.25,0.24155879
3597.2,0.26107517
3599.15,0.23998868
3601.1,0.24064229
3603.05,0.24964975
3605.0,0.25432861
3606.95,0.2532188
3608.9,0.25522357
3610.85,0.25869453
3612.8,0.26368552
3614.75,0.26221842
3616.7,0.24348736
3618.65,0.24617156
3620.6,0.25196242
3622.55,0.25180769
3624.5,0.25847507
3626.45,0.24847361
3628.4,0.25498658
3630.35,0.25446153
3632.3,0.25446737
3634.25,0.25215107
3636.2,0.26557052
3638.15,0.27844864
3640.1,0.24375319
3642.05,0.24914642
3644.0,0.2586433
3645.95,0.25698122
3647.9,0.25151017
3649.85,0.26090395
3651.8,0.26410738
3653.75,0.25742778
3655.7,0.24762867
3657.65,0.25558934
3659.6,0.24747722
3661.55,0.25644526
3663.5,0.25664276
3665.45,0.24423109
3667.4,0.24954943
3669.35,0.25936919
3671.3,0.25117442
3673.25,0.26510563
3675.2,0.2629081
3677.15,0.25310525
3679.1,0.24252786
3681.05,0.24171522
3683.0,0.23920798
3684.95,0.25911584
3686.9,0.25745213
3688.85,0.25368816
3690.8,0.26081738
3692.75,0.25028062
3694.7,0.2470701
3696.65,0.26000965
3698.6,0.25408715
3700.55,0.25482526
3702.5,0.25504309
3704.45,0.25117928
3706.4,0.25835159
3708.35,0.27014256
3710.3,0.26086998
3712.25,0.24886014
3714.2,0.25508854
3716.15,0.25145638
3718.1,0.25589192
3720.05,0.25996709
3722.0,0.25752455
3723.95,0.24926086
3725.9,0.24005637
3727.85,0.23923217
3729.8,0.2495065
3731.75,0.25849158
3733.7,0.24787721
3735.65,0.25328094
3737.6,0.25404122
3739.55,0.23953027
3741.5,0.23718204
3743.45,0.24097849
3745.4,0.23533341
3747.35,0.24389455
3749.3,0.24983115
3751.25,0.26290795
3753.2,0.28820097
3755.15,0.29599223
3757.1,0.28194129
3759.05,0.29986882
3761.0,0.27326104
3762.95,0.25446182
3764.9,0.24995431
3766.85,0.25549573
3768.8,0.26574072
3770.75,0.26242262
3772.7,0.26836911
3774.65,0.26154086
3776.6,0.24895743
3778.55,0.25580105
3780.5,0.24909976
3782.45,0.25319323
3784.4,0.26064175
3786.35,0.25437859
3788.3,0.24834122
3790.25,0.25773022
3792.2,0.26765907
3794.15,0.26421234
3796.1,0.24962449
3798.05,0.25365952
3800.0,0.26904097
3801.95,0.26774597
3803.9,0.25126913
3805.85,0.25422874
3807.8,0.25919759
3809.75,0.26018083
3811.7,0.25453097
3813.65,0.24987209
3815.6,0.25324303
3817.55,0.26127601
3819.5,0.26977035
3821.45,0.26913089
3823.4,0.26104805
3825.35,0.26035404
3827.3,0.26441965
3829.25,0.26777613
3831.2,0.2657423
3833.15,0.25649655
3835.1,0.25834432
3837.05,0.25525275
3839.0,0.26627651
3840.95,0.26028311
3842.9,0.24652326
3844.85,0.25477907
3846.8,0.27193797
3848.75,0.30445459
3850.7,0.35724631
3852.65,0.37490165
3854.6,0.34722599
3856.55,0.32511565
3858.5,0.29100099
3860.45,0.26460555
3862.4,0.26434579
3864.35,0.25943315
3866.3,0.25095746
3868.25,0.24766363
3870.2,0.24657644
3872.15,0.25447303
