wavelength,flux
3000.0,2.72085e-14
3010.0,7.53733e-14
3020.0,-9.33464e-15
3030.0,-6.13005e-15
3040.0,2.33294e-15
3050.0,4.73141e-16
3060.0,5.73294e-16
3070.0,-5.57869e-17
3080.0,2.09265e-16
3090.0,1.71434e-16
3100.0,2.18102e-16
3110.0,1.10191e-16
3120.0,1.36066e-16
3130.0,1.07487e-16
3140.0,9.73038e-17
3150.0,7.95026e-17
3160.0,-2.58538e-17
3170.0,9.66224e-17
3180.0,6.70411e-17
3190.0,1.71319e-16
3200.0,-9.8128e-19
3210.0,1.22396e-16
3220.0,2.43635e-17
3230.0,1.71554e-16
3240.0,8.48129e-17
3250.0,1.0017e-16
3260.0,7.4069e-17
3270.0,6.31608e-17
3280.0,7.26541e-17
3290.0,1.41208e-16
3300.0,5.80424e-17
3310.0,1.10383e-16
3320.0,9.87117e-17
3330.0,1.29429e-16
3340.0,1.00328e-16
3350.0,1.14103e-16
3360.0,1.59447e-16
3370.0,5.05956e-17
3380.0,4.81619e-17
3390.0,9.94503e-17
3400.0,1.09357e-16
3410.0,8.03391e-17
3420.0,6.90133e-17
3430.0,9.54751e-17
3440.0,7.88376e-17
3450.0,9.09951e-17
3460.0,4.31139e-17
3470.0,6.11157e-17
3480.0,8.13422e-17
3490.0,1.03212e-16
3500.0,1.08449e-16
3510.0,6.90945e-17
3520.0,8.65215e-17
3530.0,7.71166e-17
3540.0,7.68652e-17
3550.0,6.49469e-17
3560.0,1.13187e-16
3570.0,8.74398e-17
3580.0,7.07129e-17
3590.0,7.93068e-17
3600.0,7.86899e-17
3610.0,1.01518e-16
3620.0,8.03239e-17
3630.0,8.29241e-17
3640.0,1.17325e-16
3650.0,1.08415e-16
3660.0,1.04779e-16
3670.0,9.07754e-17
3680.0,1.06499e-16
3690.0,7.26357e-17
3700.0,8.3797e-17
3710.0,8.70155e-17
3720.0,9.62525e-17
3730.0,8.3102e-17
3740.0,9.91084e-17
3750.0,8.27943e-17
3760.0,9.388e-17
3770.0,8.58897e-17
3780.0,7.38205e-17
3790.0,6.4564e-17
3800.0,6.82095e-17
3810.0,7.59267e-17
3820.0,9.04197e-17
3830.0,1.04835e-16
3840.0,6.87558e-17
3850.0,7.08994e-17
3860.0,8.61648e-17
3870.0,8.61144e-17
3880.0,8.11007e-17
3890.0,8.37741e-17
3900.0,7.24392e-17
3910.0,7.73053e-17
3920.0,8.68008e-17
3930.0,6.67466e-17
3940.0,7.21824e-17
3950.0,1.04038e-15
3960.0,8.68725e-17
3970.0,9.18539e-17
3980.0,7.38063e-17
3990.0,8.10884e-17
4000.0,7.0356e-17
4010.0,8.87663e-17
4020.0,9.4905e-17
4030.0,8.20983e-17
4040.0,8.45181e-17
4050.0,6.63524e-17
4060.0,1.05027e-16
4070.0,6.92672e-17
4080.0,9.17103e-17
4090.0,8.10891e-17
4100.0,2.00553e-16
4110.0,7.37872e-17
4120.0,1.37198e-16
4130.0,7.25083e-17
4140.0,8.20596e-17
4150.0,7.67403e-17
4160.0,7.32964e-17
4170.0,6.25269e-17
4180.0,7.32528e-17
4190.0,8.41965e-17
4200.0,1.15182e-16
4210.0,1.17093e-16
4220.0,6.58281e-17
4230.0,8.20168e-17
4240.0,6.29953e-17
4250.0,7.64296e-17
4260.0,8.16342e-17
4270.0,7.7317e-17
4280.0,6.86904e-17
4290.0,6.61969e-17
4300.0,6.59719e-17
4310.0,7.54825e-17
4320.0,7.34152e-17
4330.0,6.74515e-17
4340.0,1.47246e-16
4350.0,7.254e-17
4360.0,7.15686e-17
4370.0,7.11108e-17
4380.0,7.71408e-17
4390.0,7.74e-17
4400.0,7.17568e-17
4410.0,7.75919e-17
4420.0,7.62871e-17
4430.0,7.35859e-17
4440.0,7.69564e-17
4450.0,6.79745e-17
4460.0,7.82664e-17
4470.0,6.95849e-17
4480.0,6.97166e-17
4490.0,7.54491e-17
4500.0,5.44063e-17
4510.0,7.22706e-17
4520.0,7.48799e-17
4530.0,6.87557e-17
4540.0,7.25285e-17
4550.0,7.1169e-17
4560.0,6.61293e-17
4570.0,7.27297e-17
4580.0,6.16884e-17
4590.0,6.86726e-17
4600.0,2.27565e-16
4610.0,6.80005e-17
4620.0,8.12582e-17
4630.0,6.97263e-17
4640.0,6.68661e-17
4650.0,6.55194e-17
4660.0,5.60182e-17
4670.0,6.20454e-17
4680.0,6.90941e-17
4690.0,5.99395e-17
4700.0,6.53374e-17
4710.0,6.63678e-17
4720.0,5.64274e-17
4730.0,6.41488e-17
4740.0,7.03418e-17
4750.0,6.1628e-17
4760.0,6.64342e-17
4770.0,5.94566e-17
4780.0,7.35943e-17
4790.0,5.85962e-17
4800.0,6.46523e-17
4810.0,6.6079e-17
4820.0,5.35311e-17
4830.0,6.78142e-17
4840.0,5.23717e-17
4850.0,6.18572e-17
4860.0,5.92219e-17
4870.0,6.15452e-17
4880.0,5.47631e-17
4890.0,5.98982e-17
4900.0,6.44103e-17
4910.0,6.5832e-17
4920.0,5.83813e-17
4930.0,6.14602e-17
4940.0,6.2275e-17
4950.0,6.60799e-17
4960.0,6.10312e-17
4970.0,6.55251e-17
4980.0,5.56232e-17
4990.0,6.41866e-17
5000.0,6.1855e-17
5010.0,6.77112e-17
5020.0,5.69488e-17
5030.0,6.18241e-17
5040.0,5.49669e-17
5050.0,6.78492e-17
5060.0,6.37456e-17
5070.0,5.93153e-17
5080.0,6.23041e-17
5090.0,5.00511e-17
5100.0,6.14838e-17
5110.0,5.53241e-17
5120.0,5.15651e-17
5130.0,5.75382e-17
5140.0,6.32465e-17
5150.0,3.76091e-16
5160.0,5.91947e-17
5170.0,5.59584e-17
5180.0,5.62128e-17
5190.0,5.85558e-17
5200.0,6.21932e-17
5210.0,6.04109e-17
5220.0,5.28932e-17
5230.0,6.02453e-17
5240.0,6.95713e-17
