wavelength,flux
2650.0,3.88e-16
2660.0,-1.59e-15
2660.0,-6.57e-16
2660.0,1.82e-15
2670.0,1.14e-15
2670.0,-1.29e-15
2670.0,2.81e-16
2680.0,-4.78e-16
2680.0,-2.2e-16
2680.0,-6.41e-16
2690.0,-5.06e-16
2690.0,3.48e-16
2690.0,1.52e-16
2700.0,4.23e-16
2700.0,2.39e-15
2700.0,2.96e-15
2710.0,-3.07e-16
2710.0,-6.03e-16
2710.0,-1.34e-15
2720.0,-5.77e-16
2720.0,2.4e-15
2720.0,9.8e-16
2730.0,1.98e-16
2730.0,8.08e-16
2730.0,5.41e-16
2740.0,-1.47e-16
2740.0,1.34e-15
2750.0,4.61e-16
2750.0,8.12e-16
2750.0,5.35e-16
2760.0,-2.65e-16
2760.0,-2.61e-16
2760.0,-6.94e-16
2770.0,-1.31e-15
2770.0,-8.78e-16
2770.0,-3.97e-16
2780.0,-1.62e-16
2780.0,-5.59e-16
2780.0,1.25e-16
2790.0,5.11e-16
2790.0,3.22e-16
2790.0,8.44e-17
2800.0,5.02e-16
2800.0,-7.58e-17
2800.0,-4.66e-16
2810.0,4.97e-16
2810.0,1.33e-15
2810.0,6.94e-16
2820.0,1.18e-15
2820.0,6.83e-16
2820.0,-3e-16
2830.0,-8.28e-16
2830.0,-5.86e-16
2830.0,3.07e-17
2840.0,9.06e-17
2840.0,4.59e-16
2840.0,4.1e-16
2850.0,-1.57e-16
2850.0,2.29e-16
2850.0,1.44e-15
2860.0,-2.24e-16
2860.0,-6.84e-16
2860.0,-1.04e-16
2870.0,-5.54e-16
2870.0,-1.84e-16
2870.0,-3.14e-16
2880.0,5.54e-16
2880.0,1.94e-16
2880.0,-3.59e-16
2890.0,9.28e-17
2890.0,7.02e-16
2890.0,1.39e-15
2900.0,3.44e-16
2900.0,-7.76e-16
2900.0,6.55e-16
2910.0,1.23e-15
2910.0,-7.45e-16
2910.0,1.51e-16
2920.0,1.16e-15
2920.0,2.44e-16
2920.0,-5.98e-16
2930.0,-1.52e-16
2930.0,-1.98e-16
2940.0,-4.45e-16
2940.0,-2.19e-16
2940.0,2.81e-16
2950.0,8.26e-16
2950.0,9.13e-16
2950.0,8.72e-17
2960.0,-6.56e-16
2960.0,-3.41e-16
2960.0,2.73e-16
2970.0,-1.65e-16
2970.0,-2.74e-16
2970.0,-1.24e-17
2980.0,9.67e-17
2980.0,-3.45e-16
2980.0,-1.71e-16
2990.0,-2.33e-16
2990.0,-9.94e-17
2990.0,-3.46e-16
3000.0,-4.08e-16
3000.0,3.05e-16
3000.0,6.63e-17
3010.0,1.71e-16
3010.0,-3.1e-16
3010.0,9.85e-18
3020.0,-9.35e-16
3020.0,5.89e-16
3020.0,-3.13e-16
3030.0,-1.68e-16
3030.0,-4.89e-16
3030.0,4.49e-16
3040.0,1.85e-16
3040.0,4.88e-17
3040.0,1.37e-16
3050.0,1.47e-16
3050.0,-5.3e-17
3050.0,-1.55e-16
3060.0,-1.44e-16
3060.0,-3.13e-17
3060.0,8.42e-17
3070.0,1.44e-16
3070.0,3.67e-16
3070.0,1.96e-16
3080.0,-4.34e-17
3080.0,-6.89e-17
3080.0,-7.87e-17
3090.0,8.7e-17
3090.0,6.45e-17
3090.0,6.89e-19
3100.0,1.13e-17
3100.0,-3.04e-17
3100.0,1.35e-16
3110.0,-2.02e-17
3110.0,-7.33e-17
3110.0,-1.26e-16
3120.0,-7.71e-17
3120.0,-1.3e-16
3130.0,-5.26e-17
3130.0,4.36e-17
3130.0,9.85e-18
3140.0,-5.27e-18
3140.0,-6.44e-17
3140.0,1.68e-17
3150.0,5.82e-17
3150.0,-1.4e-16
3150.0,-7.09e-17
3160.0,9.71e-17
3160.0,-4.26e-17
3160.0,-1.19e-16
3170.0,-1.09e-16
3170.0,-1.39e-17
3180.0,8.61e-17
3180.0,-1.57e-17
3180.0,2.49e-17
3190.0,1.88e-16
3190.0,1.26e-16
3190.0,-3.65e-17
3200.0,-6.73e-17
3200.0,-2.6e-17
3200.0,9.24e-17
3210.0,-4.78e-17
3210.0,-1.53e-17
3210.0,1.87e-17
3220.0,-3.97e-17
3220.0,1.89e-17
3220.0,1.39e-16
3230.0,1.12e-16
3230.0,5.18e-17
3230.0,-1.49e-17
3240.0,-2.66e-17
3240.0,1.3e-16
3240.0,1.45e-18
3250.0,-1.21e-17
3250.0,-1.57e-17
3250.0,-3.46e-18
3260.0,-1.03e-17
3260.0,1.41e-18
3260.0,-3.09e-17
3270.0,-3.16e-17
3270.0,5.09e-17
3270.0,6.14e-17
3280.0,-2.84e-16
3280.0,-1.14e-16
3280.0,-2.61e-17
3290.0,-2.86e-17
3290.0,-2.78e-17
3290.0,2.27e-17
3300.0,4.51e-17
3300.0,3.81e-17
3300.0,1.34e-17
3310.0,2.77e-17
3310.0,4.88e-17
3320.0,6.84e-17
3320.0,2.64e-17
3320.0,5.16e-18
3330.0,-1.96e-17
3330.0,7.59e-18
3330.0,1.68e-17
3340.0,2.73e-18
3340.0,2.21e-17
3340.0,-1.08e-17
3350.0,-4.55e-18
3350.0,3.13e-17
3350.0,-5.72e-18
3360.0,2.48e-17
3360.0,3.12e-17
3360.0,1.01e-17
3370.0,2.88e-17
3370.0,6.94e-18
3370.0,5.98e-20
3380.0,-3.42e-17
3380.0,-9.12e-18
3380.0,2.49e-17
3390.0,-2.42e-18
3390.0,1.41e-17
3390.0,8.28e-19
3400.0,3.96e-17
3400.0,-1.32e-17
3400.0,-2.26e-17
3410.0,2.97e-17
3410.0,1.29e-17
3410.0,2.27e-17
3420.0,9.43e-18
3420.0,9.74e-18
3420.0,4.43e-17
3430.0,5.06e-17
3430.0,3.65e-17
3430.0,3.4e-17
3440.0,2.13e-17
3440.0,-5.56e-18
3440.0,1.71e-17
3450.0,1.93e-17
3450.0,2.09e-17
3450.0,3.37e-17
3460.0,6.72e-18
3460.0,2.78e-17
3460.0,3.25e-17
3470.0,2.22e-17
3470.0,5.06e-18
3470.0,1.93e-17
3480.0,1.72e-17
3480.0,1.52e-17
3480.0,2.03e-17
3490.0,6.42e-18
3490.0,8.75e-18
3490.0,1.52e-17
3500.0,1.78e-17
3500.0,3.07e-17
3510.0,2.83e-17
3510.0,1.17e-17
3510.0,1.6e-17
3520.0,4.95e-18
3520.0,4.85e-18
3520.0,2.02e-17
3530.0,1.46e-17
3530.0,1.93e-17
3530.0,1.64e-17
3540.0,1.78e-17
3540.0,1.07e-17
3540.0,1.8e-17
3550.0,2.36e-17
3550.0,6.87e-18
3550.0,3.46e-18
3560.0,5.88e-19
3560.0,1.01e-17
3560.0,-1.1e-18
3570.0,1.09e-17
3570.0,1.07e-17
3570.0,4.73e-18
3580.0,2.49e-17
3580.0,6.4e-18
3580.0,5.34e-18
3590.0,7.96e-18
3590.0,-5.24e-19
3590.0,1.08e-17
3600.0,9.57e-18
3600.0,-1.61e-17
3600.0,-1.6e-17
3610.0,1.86e-17
3610.0,9.28e-18
3610.0,1.73e-17
3620.0,6.05e-19
3620.0,9.2e-19
3620.0,1.95e-17
3630.0,1.47e-18
3630.0,-3.38e-18
3630.0,1.25e-17
3640.0,9.43e-18
3640.0,1.21e-17
3640.0,-5.95e-18
3650.0,-5.14e-18
3650.0,1.06e-17
3650.0,-1.87e-18
3660.0,5.14e-18
3660.0,1.76e-17
3660.0,1.22e-17
3670.0,4.09e-18
3670.0,-1.32e-17
3670.0,-4.41e-18
3680.0,4.26e-18
3680.0,-2.6e-18
3680.0,7.01e-18
3690.0,1.39e-17
3690.0,-4.05e-18
3700.0,-9.68e-18
3700.0,-3.56e-18
3700.0,1.84e-18
3710.0,1.64e-18
3710.0,-2.32e-18
3710.0,5.39e-18
3720.0,3.97e-18
3720.0,1.62e-17
3720.0,-1.06e-18
3730.0,-2.09e-18
3730.0,-4.05e-18
3730.0,-8.23e-19
3740.0,6.05e-18
3740.0,-8.48e-18
3740.0,6.9e-18
3750.0,1.56e-17
3750.0,5.33e-18
3750.0,5.88e-18
3760.0,-7.64e-18
3760.0,-1.06e-18
3760.0,-3.66e-18
3770.0,-3.19e-18
3770.0,2.01e-18
3770.0,2.79e-18
3780.0,8.14e-18
3780.0,1.51e-18
3780.0,8.57e-19
3790.0,-1.63e-18
3790.0,-1.99e-18
3790.0,8.19e-18
3800.0,9.19e-18
3800.0,3.06e-18
3800.0,6.82e-18
3810.0,4.08e-18
3810.0,-7.94e-18
3810.0,-3.42e-20
3820.0,6.41e-18
3820.0,-3.96e-18
3820.0,-3.37e-18
3830.0,3.74e-18
3830.0,-1.59e-18
3830.0,-4.34e-18
3840.0,-8.83e-18
3840.0,4.22e-18
3840.0,5.88e-18
3850.0,2.49e-19
3850.0,-5.04e-19
3850.0,2.99e-18
3860.0,5.38e-18
3860.0,-7.44e-19
3860.0,3.98e-18
3870.0,-5.37e-18
3870.0,2.63e-18
3870.0,-7.17e-19
3880.0,-1.04e-18
3880.0,-3.69e-18
3890.0,1.17e-17
3890.0,9.58e-17
3890.0,7.35e-17
3900.0,2.57e-17
3900.0,-2.98e-18
3900.0,1.52e-19
3910.0,-9.4e-20
3910.0,-2.56e-18
3910.0,-3.54e-18
3920.0,-5.37e-18
3920.0,-3.95e-18
3920.0,-1.51e-18
3930.0,-1.32e-18
3930.0,4.54e-19
3930.0,-6.91e-19
3940.0,-3.71e-18
3940.0,-1.85e-18
3940.0,-3.99e-18
3950.0,-1.73e-18
3950.0,1.31e-18
3950.0,-1.21e-18
3960.0,3.93e-20
3960.0,7.69e-19
3960.0,-2.27e-18
3970.0,-4.5e-18
3970.0,-6.72e-18
3970.0,8.17e-19
3980.0,2.25e-19
3980.0,-1.73e-18
3980.0,7.49e-19
3990.0,1.44e-18
3990.0,-1.79e-18
3990.0,-5.08e-19
4000.0,-3.3e-19
4000.0,-1.93e-18
4000.0,3.14e-19
4010.0,3.79e-19
4010.0,3.71e-18
4010.0,-1.22e-18
4020.0,-1.9e-18
4020.0,1.21e-18
4020.0,-8.42e-19
4030.0,-8.12e-19
4030.0,-2.53e-18
4030.0,3.52e-19
4040.0,-7.04e-18
4040.0,4.95e-19
4040.0,-1.71e-18
4050.0,2.63e-19
4050.0,-8.06e-19
4050.0,-5.19e-18
4060.0,2.94e-18
4060.0,1.79e-18
4060.0,-3.3e-18
4070.0,2.52e-19
4070.0,-1.82e-20
4080.0,-5.73e-20
4080.0,-4.26e-18
4080.0,1.16e-18
4090.0,-6.45e-19
4090.0,8.96e-20
4090.0,5.06e-18
4100.0,2.5e-18
4100.0,3.14e-18
4100.0,1.03e-18
4110.0,-3.24e-18
4110.0,9.16e-19
4110.0,5.11e-18
4120.0,2.15e-18
4120.0,4.08e-18
4120.0,1.09e-18
4130.0,-2.36e-18
4130.0,9.97e-19
4130.0,4.88e-18
4140.0,2.51e-18
4140.0,1.46e-18
4140.0,-1.67e-18
4150.0,7.21e-20
4150.0,-6.42e-19
4150.0,-1.15e-18
4160.0,-1.17e-18
4160.0,2.05e-18
4160.0,-3.04e-18
4170.0,8.29e-19
4170.0,2.39e-19
4170.0,-2.56e-18
4180.0,2.83e-19
4180.0,-2.02e-18
4180.0,8.52e-20
4190.0,1.16e-18
4190.0,-1.73e-18
4190.0,-5.29e-20
4200.0,2.21e-18
4200.0,1.39e-18
4200.0,1.1e-19
4210.0,-1.01e-18
4210.0,-1.9e-18
4210.0,-2.18e-18
4220.0,-3.97e-19
4220.0,1.58e-18
4220.0,2.04e-18
4230.0,5.11e-19
4230.0,1.39e-18
4230.0,5.42e-19
4240.0,1.66e-18
4240.0,-7.11e-19
4240.0,-1.57e-18
4250.0,3.27e-18
4250.0,-1.14e-18
4250.0,2.98e-18
4260.0,1.59e-18
4260.0,-2.78e-19
4270.0,1.64e-19
4270.0,-5.38e-19
4270.0,-7.5e-19
4280.0,-3.68e-19
4280.0,1.2e-18
4280.0,-8.76e-19
4290.0,-7.66e-19
4290.0,1.98e-19
4290.0,-8e-20
4300.0,-2.64e-19
4300.0,-6.19e-20
