wavelength,flux
3354.888184,3.172029e-15
3358.957872,3.645139e-15
3363.027561,3.844383e-15
3367.09725,3.859691e-15
3371.166939,4.057417e-15
3375.236628,4.188983e-15
3379.306316,4.335601e-15
3383.376005,4.457157e-15
3387.445694,4.601887e-15
3391.515383,4.76442e-15
3395.585072,4.848102e-15
3399.65476,4.909532e-15
3403.724449,5.064235e-15
3407.794138,5.120943e-15
3411.863827,5.218492e-15
3415.933516,5.401069e-15
3420.003204,5.388279e-15
3424.072893,5.50581e-15
3428.142582,5.622668e-15
3432.212271,5.755874e-15
3436.28196,5.753443e-15
3440.351648,5.766398e-15
3444.421337,5.883976e-15
3448.491026,5.854936e-15
3452.560715,6.024413e-15
3456.630404,6.047148e-15
3460.700092,6.161876e-15
3464.769781,6.206478e-15
3468.83947,6.331737e-15
3472.909159,6.280082e-15
3476.978848,6.37006e-15
3481.048536,6.493468e-15
3485.118225,6.432417e-15
3489.187914,6.399211e-15
3493.257603,6.487293e-15
3497.327291,6.524433e-15
3501.39698,6.616629e-15
3505.466669,6.597782e-15
3509.536358,6.554978e-15
3513.606047,6.619848e-15
3517.675735,6.661109e-15
3521.745424,6.759435e-15
3525.815113,6.773103e-15
3529.884802,6.735608e-15
3533.954491,6.74484e-15
3538.024179,6.695405e-15
3542.093868,6.776345e-15
3546.163557,6.632257e-15
3550.233246,6.751706e-15
3554.302935,6.767242e-15
3558.372623,6.712648e-15
3562.442312,6.636919e-15
3566.512001,6.700757e-15
3570.58169,6.780356e-15
3574.651379,6.764207e-15
3578.721067,6.70382e-15
3582.790756,6.718527e-15
3586.860445,6.673184e-15
3590.930134,6.642412e-15
3594.999823,6.696179e-15
3599.069511,6.665732e-15
3603.1392,6.710358e-15
3607.208889,6.93209e-15
3611.278578,6.867727e-15
3615.348267,6.848131e-15
3619.417955,6.817836e-15
3623.487644,6.880029e-15
3627.557333,6.885757e-15
3631.627022,6.869613e-15
3635.696711,6.9383e-15
3639.766399,6.978027e-15
3643.836088,6.957604e-15
3647.905777,7.051872e-15
3651.975466,7.054508e-15
3656.045155,7.049119e-15
3660.114843,7.027284e-15
3664.184532,7.011262e-15
3668.254221,7.029925e-15
3672.32391,6.997161e-15
3676.393599,7.0318e-15
3680.463287,7.065082e-15
3684.532976,7.076167e-15
3688.602665,7.188274e-15
3692.672354,7.284519e-15
3696.742043,7.261758e-15
3700.811731,7.250859e-15
3704.88142,7.334681e-15
3708.951109,7.438243e-15
3713.020798,7.469071e-15
3717.090487,7.421109e-15
3721.160175,7.497748e-15
3725.229864,7.492328e-15
3729.299553,7.490494e-15
3733.369242,7.497452e-15
3737.438931,7.512566e-15
3741.508619,7.481934e-15
3745.578308,7.442933e-15
3749.647997,7.463081e-15
3753.717686,7.564194e-15
3757.787374,7.614595e-15
3761.857063,7.656815e-15
3765.926752,7.673692e-15
3769.996441,7.5023e-15
3774.06613,7.569023e-15
3778.135818,7.59494e-15
3782.205507,7.556094e-15
3786.275196,7.644621e-15
3790.344885,7.718218e-15
3794.414574,7.697436e-15
3798.484262,7.802752e-15
3802.553951,7.834621e-15
3806.62364,7.834637e-15
3810.693329,7.885577e-15
3814.763018,7.892495e-15
3818.832706,7.920575e-15
3822.902395,7.909004e-15
3826.972084,8.02517e-15
3831.041773,8.059823e-15
3835.111462,8.014709e-15
3839.18115,8.065388e-15
3843.250839,8.142154e-15
3847.320528,8.214777e-15
3851.390217,8.392139e-15
3855.459906,8.343232e-15
3859.529594,8.407248e-15
3863.599283,8.477107e-15
3867.668972,8.559525e-15
3871.738661,8.542797e-15
3875.80835,8.644468e-15
3879.878038,8.691248e-15
3883.947727,8.757478e-15
3888.017416,8.809525e-15
3892.087105,8.828161e-15
3896.156794,8.893621e-15
3900.226482,8.957566e-15
3904.296171,9.058885e-15
3908.36586,8.950883e-15
3912.435549,9.090048e-15
3916.505238,9.083444e-15
3920.574926,9.184442e-15
3924.644615,9.330142e-15
3928.714304,9.273863e-15
3932.783993,9.377485e-15
3936.853682,9.291188e-15
3940.92337,9.273668e-15
3944.993059,9.414264e-15
3949.062748,9.499214e-15
3953.132437,9.510507e-15
3957.202126,9.434804e-15
3961.271814,9.48573e-15
3965.341503,9.51366e-15
3969.411192,9.451552e-15
3973.480881,9.395581e-15
3977.55057,9.518495e-15
3981.620258,9.62205e-15
3985.689947,9.708805e-15
3989.759636,9.664226e-15
3993.829325,9.687877e-15
3997.899014,9.645689e-15
4001.968702,9.743323e-15
4006.038391,9.731459e-15
4010.10808,9.741777e-15
4014.177769,9.836238e-15
4018.247458,9.849439e-15
4022.317146,9.790826e-15
4026.386835,9.902987e-15
4030.456524,9.998163e-15
4034.526213,9.982472e-15
4038.595901,9.938266e-15
4042.66559,9.931258e-15
4046.735279,9.975725e-15
4050.804968,9.933647e-15
4054.874657,9.973953e-15
4058.944345,1.000557e-14
4063.014034,1.006461e-14
4067.083723,1.004701e-14
4071.153412,1.0013e-14
4075.223101,9.991479e-15
4079.292789,9.998694e-15
4083.362478,1.003697e-14
4087.432167,1.003064e-14
4091.501856,1.005562e-14
4095.571545,1.00505e-14
4099.641233,1.013384e-14
4103.710922,1.010743e-14
4107.780611,1.006206e-14
4111.8503,1.008084e-14
4115.919989,1.010596e-14
4119.989677,1.005151e-14
4124.059366,1.004599e-14
4128.129055,1.007989e-14
4132.198744,1.009413e-14
4136.268433,1.009151e-14
4140.338121,1.016491e-14
4144.40781,1.013648e-14
4148.477499,1.007634e-14
4152.547188,1.013477e-14
4156.616877,1.017374e-14
4160.686565,1.019495e-14
4164.756254,1.020523e-14
4168.825943,1.020723e-14
4172.895632,1.021139e-14
4176.965321,1.023213e-14
4181.035009,1.027405e-14
4185.104698,1.039105e-14
4189.174387,1.048125e-14
4193.244076,1.041821e-14
4197.313765,1.035866e-14
4201.383453,1.042929e-14
4205.453142,1.044246e-14
4209.522831,1.034607e-14
4213.59252,1.030466e-14
4217.662209,1.035044e-14
4221.731897,1.031603e-14
4225.801586,1.031583e-14
4229.871275,1.027612e-14
4233.940964,1.03028e-14
4238.010653,1.034054e-14
4242.080341,1.027503e-14
4246.15003,1.025669e-14
4250.219719,1.020221e-14
4254.289408,1.011541e-14
4258.359097,1.010583e-14
4262.428785,1.013742e-14
4266.498474,1.0067e-14
4270.568163,1.007905e-14
4274.637852,1.004964e-14
4278.707541,1.016126e-14
4282.777229,1.008949e-14
4286.846918,1.004989e-14
4290.916607,1.007816e-14
4294.986296,1.008112e-14
4299.055984,1.008075e-14
4303.125673,1.00488e-14
4307.195362,1.003047e-14
4311.265051,1.008492e-14
4315.33474,1.007056e-14
4319.404428,1.010486e-14
