wavelength,flux
3243.805756,1.956694e-15
3246.76301,3.726343e-15
3249.720264,-4.092418e-16
3252.677518,-1.767261e-15
3255.634772,-8.971644e-16
3258.592026,1.924587e-15
3261.54928,-2.535387e-16
3264.506534,1.550418e-15
3267.463787,2.360273e-15
3270.421041,6.180595e-16
3273.378295,4.961977e-15
3276.335549,3.143993e-15
3279.292803,6.970318e-16
3282.250057,2.630937e-15
3285.207311,2.10491e-15
3288.164565,2.757383e-15
3291.121819,1.402022e-15
3294.079073,8.288752e-16
3297.036327,-4.7988320000000005e-17
3299.99358,6.704906e-16
3302.950834,1.384051e-15
3305.908088,2.506771e-15
3308.865342,4.211139e-15
3311.822596,3.403103e-15
3314.77985,3.107568e-15
3317.737104,3.913403e-15
3320.694358,3.441351e-15
3323.651612,1.547974e-15
3326.608866,3.239602e-16
3329.56612,9.615943e-16
3332.523374,1.070085e-15
3335.480627,2.584892e-15
3338.437881,3.287165e-15
3341.395135,2.999997e-15
3344.352389,1.818635e-15
3347.309643,1.675473e-15
3350.266897,2.829314e-15
3353.224151,2.39802e-15
3356.181405,1.656143e-15
3359.138659,1.779294e-15
3362.095913,2.964547e-15
3365.053167,3.630782e-15
3368.010421,3.091091e-15
3370.967674,2.623993e-15
3373.924928,3.204149e-15
3376.882182,3.311358e-15
3379.839436,2.597582e-15
3382.79669,1.739959e-15
3385.753944,2.462037e-15
3388.711198,2.601067e-15
3391.668452,2.000577e-15
3394.625706,2.227471e-15
3397.58296,3.113287e-15
3400.540214,3.263527e-15
3403.497468,2.420443e-15
3406.454721,2.872672e-15
3409.411975,3.376037e-15
3412.369229,2.496112e-15
3415.326483,2.497793e-15
3418.283737,2.858933e-15
3421.240991,2.579828e-15
3424.198245,2.610035e-15
3427.155499,2.663847e-15
3430.112753,2.81346e-15
3433.070007,2.919426e-15
3436.027261,2.15342e-15
3438.984515,2.606876e-15
3441.941768,2.796288e-15
3444.899022,2.760534e-15
3447.856276,3.034895e-15
3450.81353,3.381945e-15
3453.770784,2.927925e-15
3456.728038,2.794391e-15
3459.685292,2.592082e-15
3462.642546,2.818691e-15
3465.5998,2.896662e-15
3468.557054,3.383318e-15
3471.514308,3.255244e-15
3474.471562,2.961522e-15
3477.428815,3.154161e-15
3480.386069,3.01436e-15
3483.343323,2.823668e-15
3486.300577,3.230294e-15
3489.257831,3.425993e-15
3492.215085,3.241499e-15
3495.172339,3.044707e-15
3498.129593,3.01556e-15
3501.086847,2.842129e-15
3504.044101,2.980059e-15
3507.001355,3.302237e-15
3509.958609,3.450377e-15
3512.915862,3.243738e-15
3515.873116,2.92344e-15
3518.83037,2.976352e-15
3521.787624,3.200421e-15
3524.744878,3.472337e-15
3527.702132,3.619165e-15
3530.659386,3.566763e-15
3533.61664,2.932079e-15
3536.573894,3.077825e-15
3539.531148,3.150343e-15
3542.488402,3.103153e-15
3545.445656,2.974047e-15
3548.402909,3.10666e-15
3551.360163,3.308705e-15
3554.317417,3.359473e-15
3557.274671,2.929213e-15
3560.231925,3.03662e-15
3563.189179,3.006855e-15
3566.146433,2.913363e-15
3569.103687,3.181334e-15
3572.060941,3.198871e-15
3575.018195,3.228879e-15
3577.975449,3.324586e-15
3580.932703,3.214012e-15
3583.889956,3.278501e-15
3586.84721,3.239542e-15
3589.804464,3.240741e-15
3592.761718,3.140477e-15
3595.718972,3.092272e-15
3598.676226,2.936326e-15
3601.63348,3.159117e-15
3604.590734,3.211836e-15
3607.547988,3.230194e-15
3610.505242,3.426765e-15
3613.462496,3.469358e-15
3616.41975,3.260752e-15
3619.377003,3.178218e-15
3622.334257,3.376934e-15
3625.291511,3.224671e-15
3628.248765,3.237672e-15
3631.206019,3.344816e-15
3634.163273,3.564534e-15
3637.120527,3.440884e-15
3640.077781,3.470148e-15
3643.035035,3.595051e-15
3645.992289,3.769103e-15
3648.949543,3.689651e-15
3651.906797,3.70906e-15
3654.86405,3.728469e-15
3657.821304,3.747879e-15
3660.778558,3.76729e-15
3663.735812,3.786699e-15
3666.693066,3.806108e-15
3669.65032,3.825518e-15
3672.607574,3.613993e-15
3675.564828,3.753275e-15
3678.522082,3.672502e-15
3681.479336,3.750882e-15
3684.43659,3.774114e-15
3687.393844,3.763097e-15
3690.351097,3.829392e-15
3693.308351,3.84422e-15
3696.265605,3.782223e-15
3699.222859,3.800321e-15
3702.180113,4.068007e-15
3705.137367,4.077292e-15
3708.094621,4.025732e-15
3711.051875,3.703706e-15
3714.009129,3.64848e-15
3716.966383,3.957551e-15
3719.923637,4.054186e-15
3722.880891,3.932856e-15
3725.838144,3.82902e-15
3728.795398,3.875637e-15
3731.752652,4.045448e-15
3734.709906,4.129482e-15
3737.66716,3.80893e-15
3740.624414,4.021493e-15
3743.581668,4.073208e-15
3746.538922,4.158432e-15
3749.496176,4.087274e-15
3752.45343,4.056005e-15
3755.410684,4.066171e-15
3758.367938,3.931741e-15
3761.325191,4.033415e-15
3764.282445,4.095785e-15
3767.239699,4.043496e-15
3770.196953,3.913921e-15
3773.154207,4.073156e-15
3776.111461,4.101499e-15
3779.068715,4.028401e-15
3782.025969,3.944709e-15
3784.983223,4.017623e-15
3787.940477,4.053099e-15
3790.897731,4.081253e-15
3793.854985,4.178868e-15
3796.812238,4.227303e-15
3799.769492,4.173575e-15
3802.726746,4.151728e-15
3805.684,4.241763e-15
3808.641254,4.273543e-15
3811.598508,4.428966e-15
3814.555762,4.499133e-15
3817.513016,4.788594e-15
3820.47027,4.808357e-15
3823.427524,4.633879e-15
3826.384778,4.607226e-15
3829.342031,4.669572e-15
3832.299285,4.6307e-15
3835.256539,4.560236e-15
3838.213793,4.522651e-15
3841.171047,4.69315e-15
3844.128301,4.76775e-15
3847.085555,4.624405e-15
3850.042809,4.741112e-15
3853.000063,4.893426e-15
3855.957317,4.673638e-15
3858.914571,4.716808e-15
3861.871825,4.795974e-15
3864.829078,5.038063e-15
3867.786332,5.004646e-15
3870.743586,5.048719e-15
3873.70084,5.004104e-15
3876.658094,5.118411e-15
3879.615348,5.06307e-15
3882.572602,5.098088e-15
3885.529856,5.037782e-15
3888.48711,5.133761e-15
3891.444364,5.226752e-15
3894.401618,5.163808e-15
3897.358872,5.215971e-15
3900.316125,5.401029e-15
3903.273379,5.515466e-15
3906.230633,5.393588e-15
3909.187887,5.414082e-15
3912.145141,5.536474e-15
3915.102395,5.498431e-15
3918.059649,5.572745e-15
3921.016903,5.59857e-15
3923.974157,5.670611e-15
3926.931411,5.712376e-15
3929.888665,5.688188e-15
3932.845919,5.704868e-15
3935.803172,5.855618e-15
3938.760426,5.942928e-15
3941.71768,5.969762e-15
3944.674934,5.891986e-15
3947.632188,5.929751e-15
3950.589442,6.007564e-15
3953.546696,6.068892e-15
3956.50395,6.193351e-15
3959.461204,6.087226e-15
3962.418458,6.071548e-15
3965.375712,5.954149e-15
3968.332966,6.01706e-15
3971.290219,6.10025e-15
3974.247473,5.992663e-15
