wavelength,flux
2910,0.02
2912,0.021
2918,0.02
2924,0.021
2926,0.022
2928,0.023
2930,0.025
2932,0.026
2936,0.025
2938,0.026
2946,0.025
2952,0.026
2954,0.027
2960,0.028
2972,0.029
2980,0.03
2986,0.029
2994,0.028
3002,0.027
3012,0.028
3014,0.027
3024,0.028
3026,0.027
3042,0.028
3050,0.027
3060,0.026
3070,0.027
3074,0.026
3076,0.025
3078,0.024
3080,0.023
3082,0.022
3086,0.023
3090,0.022
3094,0.023
3102,0.022
3104,0.021
3106,0.02
3108,0.019
3112,0.018
3118,0.017
3120,0.016
3122,0.015
3126,0.014
3130,0.013
3132,0.012
3140,0.013
3144,0.014
3150,0.015
3154,0.014
3168,0.013
3178,0.014
3180,0.013
3188,0.012
3194,0.011
3198,0.01
3200,0.009
3208,0.008
3222,0.007
3224,0.008
3232,0.009
3236,0.008
3240,0.007
3246,0.006
3256,0.007
3260,0.008
3266,0.009
3272,0.01
3274,0.011
3282,0.012
3294,0.011
3298,0.012
3308,0.011
3320,0.012
3326,0.011
3330,0.01
3338,0.011
3346,0.012
3350,0.013
3368,0.012
3396,0.013
3412,0.012
3420,0.013
3426,0.012
3440,0.013
3450,0.014
3464,0.015
3468,0.016
3480,0.017
3494,0.018
3500,0.019
3502,0.018
3506,0.019
3512,0.02
3526,0.021
3538,0.022
3562,0.023
3566,0.022
3616,0.021
3626,0.022
3632,0.021
3646,0.02
3652,0.021
3666,0.022
3668,0.021
3670,0.022
3682,0.021
3686,0.022
3700,0.023
3706,0.022
3716,0.023
3732,0.024
3756,0.025
3766,0.026
3784,0.027
3788,0.026
3796,0.027
3828,0.028
3842,0.029
3856,0.03
3860,0.031
3868,0.03
3878,0.031
3886,0.032
3910,0.033
3938,0.034
3946,0.035
3956,0.034
3958,0.035
3974,0.034
4002,0.033
4020,0.034
4060,0.033
4082,0.034
4090,0.033
4128,0.034
4144,0.033
4150,0.034
4152,0.033
4158,0.034
4198,0.035
4226,0.036
4244,0.037
4256,0.038
4266,0.039
4312,0.04
4314,0.039
4318,0.04
4376,0.041
4408,0.04
4428,0.041
4442,0.042
4450,0.043
4462,0.044
4478,0.045
4482,0.044
4486,0.045
4508,0.046
4530,0.047
4554,0.048
4578,0.047
4594,0.046
4612,0.045
4626,0.044
4632,0.045
4640,0.044
4656,0.043
4668,0.042
4694,0.043
4706,0.042
4716,0.043
4728,0.044
4730,0.043
4734,0.044
4756,0.045
4788,0.046
4792,0.047
4804,0.048
4812,0.049
4816,0.05
4822,0.051
4830,0.05
4854,0.051
4882,0.05
4894,0.051
4918,0.052
4958,0.053
4960,0.052
4964,0.053
4974,0.054
4980,0.055
4986,0.056
5016,0.057
5026,0.058
5036,0.059
5046,0.058
5048,0.059
5058,0.058
5074,0.059
5092,0.06
5110,0.059
5122,0.058
5140,0.059
5142,0.058
5150,0.059
5158,0.06
5164,0.061
5188,0.062
5194,0.063
5208,0.064
5216,0.065
5244,0.066
5254,0.067
5262,0.068
5302,0.069
5310,0.068
5324,0.069
5348,0.07
5364,0.071
5374,0.072
5378,0.073
5386,0.074
5394,0.075
5406,0.074
5410,0.075
5442,0.076
5474,0.075
5478,0.076
5504,0.075
5516,0.074
5522,0.073
5526,0.072
5530,0.071
5538,0.07
5542,0.069
5562,0.068
5574,0.067
5580,0.066
5588,0.065
5598,0.064
5606,0.063
5614,0.062
5626,0.061
5632,0.06
5638,0.059
5642,0.058
5656,0.057
5666,0.056
5674,0.055
5702,0.054
5750,0.055
5760,0.056
5768,0.055
5776,0.054
5786,0.055
5816,0.056
5822,0.057
5826,0.058
5844,0.059
5852,0.06
5860,0.061
5876,0.062
5894,0.061
5906,0.06
5912,0.059
5916,0.06
5926,0.061
5930,0.06
5944,0.061
5950,0.06
5956,0.061
5970,0.06
5986,0.059
5996,0.058
6004,0.057
6008,0.056
6012,0.055
6022,0.054
6084,0.053
6086,0.054
6090,0.053
6118,0.054
6122,0.055
6124,0.054
6128,0.055
6130,0.054
6150,0.053
6160,0.054
6164,0.055
6180,0.056
6188,0.057
6196,0.056
6200,0.057
6204,0.058
6220,0.057
6230,0.058
6238,0.059
6244,0.058
6268,0.057
6270,0.056
6272,0.055
6274,0.056
6280,0.057
6288,0.058
6290,0.057
6296,0.058
6302,0.059
6338,0.058
6342,0.059
6346,0.06
6354,0.059
6358,0.06
6362,0.061
6366,0.062
6376,0.063
6378,0.064
6396,0.065
6404,0.064
6412,0.065
6422,0.066
6428,0.067
6434,0.068
6444,0.069
6450,0.07
6464,0.069
6470,0.07
6472,0.069
6474,0.07
6482,0.071
6484,0.072
6486,0.073
6488,0.074
6492,0.075
6508,0.074
6518,0.073
6522,0.072
6524,0.071
6526,0.07
6528,0.069
6538,0.068
6542,0.069
6548,0.07
6550,0.071
6560,0.07
6568,0.069
6570,0.068
6574,0.067
6578,0.066
6588,0.067
6594,0.066
6598,0.065
6618,0.066
6622,0.067
6626,0.066
6630,0.065
6632,0.064
6634,0.063
6636,0.062
6638,0.061
6640,0.06
6642,0.059
6644,0.058
6646,0.057
6656,0.056
6660,0.055
6666,0.056
6668,0.057
6670,0.058
6676,0.059
6678,0.06
6684,0.059
6686,0.06
6690,0.061
6694,0.06
6698,0.059
6706,0.06
6712,0.059
6716,0.058
6718,0.059
6720,0.06
6724,0.061
6726,0.062
6732,0.063
6736,0.062
6738,0.061
6740,0.06
6742,0.059
6746,0.058
6750,0.059
6754,0.058
6756,0.057
6758,0.056
6764,0.055
6766,0.056
6768,0.055
6784,0.056
6790,0.057
6796,0.058
6798,0.057
6804,0.058
6806,0.059
6808,0.06
6814,0.059
6816,0.058
6818,0.057
6824,0.058
6828,0.057
6834,0.058
6836,0.057
6838,0.056
6840,0.055
