wavelength,flux
4150.703287,1.30611e-18
4153.717353,1.306248e-18
4156.731419,1.312423e-18
4159.745484,1.308306e-18
4162.75955,1.295017e-18
4165.773616,1.287241e-18
4168.787682,1.304015e-18
4171.801747,1.2961100000000001e-18
4174.815813,1.2852580000000001e-18
4177.829879,1.281694e-18
4180.843945,1.287961e-18
4183.85801,1.291812e-18
4186.872076,1.27602e-18
4189.886142,1.235462e-18
4192.900208,1.213081e-18
4195.914273,1.201525e-18
4198.928339,1.196088e-18
4201.942405,1.187565e-18
4204.95647,1.181566e-18
4207.970536,1.179673e-18
4210.984602,1.173187e-18
4213.998668,1.172173e-18
4217.012733,1.159669e-18
4220.026799,1.1506800000000001e-18
4223.040865,1.1340560000000001e-18
4226.054931,1.15037e-18
4229.068996,1.162056e-18
4232.083062,1.152715e-18
4235.097128,1.161018e-18
4238.111194,1.159507e-18
4241.125259,1.151701e-18
4244.139325,1.148744e-18
4247.153391,1.139537e-18
4250.167457,1.126272e-18
4253.181522,1.098165e-18
4256.195588,1.087393e-18
4259.209654,1.089584e-18
4262.22372,1.068298e-18
4265.237785,1.03951e-18
4268.251851,1.030151e-18
4271.265917,1.026607e-18
4274.279983,1.018763e-18
4277.294048,9.989727999999999e-19
4280.308114,9.678997999999998e-19
4283.32218,9.824407999999998e-19
4286.336246,9.976566999999998e-19
4289.350311,9.999533999999998e-19
4292.364377,9.887740999999999e-19
4295.378443,9.83648e-19
4298.392509,9.72302e-19
4301.406574,9.616358999999999e-19
4304.42064,9.548696e-19
4307.434706,9.450621e-19
4310.448771,9.197491999999998e-19
4313.462837,9.189765999999998e-19
4316.476903,9.303995e-19
4319.490969,9.085169e-19
4322.505034,8.887779e-19
4325.5191,8.722627999999999e-19
4328.533166,8.476615999999999e-19
4331.547232,8.277687e-19
4334.561297,8.124976999999999e-19
4337.575363,8.0470649999999995e-19
4340.589429,7.750728e-19
4343.603495,7.546558999999999e-19
4346.61756,7.447271999999999e-19
4349.631626,7.241605999999999e-19
4352.645692,7.066094999999999e-19
4355.659758,7.096708999999999e-19
4358.673823,7.095902999999999e-19
4361.687889,6.903624999999999e-19
4364.701955,6.850797e-19
4367.716021,6.953962999999999e-19
4370.730086,6.90475e-19
4373.744152,6.914323999999999e-19
4376.758218,6.746612999999999e-19
4379.772284,6.793708999999999e-19
4382.786349,6.674362999999999e-19
4385.800415,6.733774999999999e-19
4388.814481,6.554794e-19
4391.828547,6.484943e-19
4394.842612,6.416307999999999e-19
4397.856678,6.398966e-19
4400.870744,6.429249e-19
4403.884809,6.5382459999999995e-19
4406.898875,6.620347999999999e-19
4409.912941,6.575966e-19
4412.927007,6.495700000000001e-19
4415.941072,6.504381999999999e-19
4418.955138,6.552201e-19
4421.969204,6.62788e-19
4424.98327,6.751786999999999e-19
4427.997335,6.686708999999999e-19
4431.011401,6.557415999999999e-19
4434.025467,6.47287e-19
4437.039533,6.359814999999999e-19
4440.053598,6.41742e-19
4443.067664,6.37748e-19
4446.08173,6.450032e-19
4449.095796,6.544099e-19
4452.109861,6.478466e-19
