wavelength,flux
3491.0,0.4476407766
3491.735,0.355268538
3492.47,0.2628962994
3493.205,0.2917835414
3493.94,0.3206708133
3494.675,0.3333785832
3495.41,0.3460863531
3496.145,0.3284691572
3496.88,0.3108519614
3497.615,0.3226670027
3498.35,0.334482044
3499.085,0.2954317629
3499.82,0.2563814819
3500.555,0.1730477363
3501.29,0.08971399814
3502.025,0.1379677206
3502.76,0.1862214357
3503.495,0.2195433378
3504.23,0.2528652251
3504.965,0.2781493068
3505.7,0.3034333587
3506.435,0.302441746
3507.17,0.3014501631
3507.905,0.3000001609
3508.64,0.2985501587
3509.375,0.2779917717
3510.11,0.2574333847
3510.845,0.2178402245
3511.58,0.1782470644
3512.315,0.2202689797
3513.05,0.262290895
3513.785,0.3319925964
3514.52,0.4016943276
3515.255,0.3608343601
3515.99,0.3199743927
3516.725,0.3178595901
3517.46,0.3157447875
3518.195,0.2677704394
3518.93,0.2197961062
3519.665,0.2625491321
3520.4,0.3053021431
3521.135,0.372759819
3521.87,0.440217495
3522.605,0.3886688054
3523.34,0.3371201158
3524.075,0.2948315442
3524.81,0.2525429428
3525.545,0.2741664946
3526.28,0.2957900465
3527.015,0.2906053066
3527.75,0.2854205668
3528.485,0.3233336806
3529.22,0.3612468243
3529.955,0.3639929295
3530.69,0.3667390645
3531.425,0.2869677544
3532.16,0.2071964443
3532.895,0.2360411286
3533.63,0.264885813
3534.365,0.3338093162
3535.1,0.4027328193
3535.835,0.4012578726
3536.57,0.3997829258
3537.305,0.3628126085
3538.04,0.3258422613
3538.775,0.3068673611
3539.51,0.2878924608
3540.245,0.3113108277
3540.98,0.3347292244
3541.715,0.3405881822
3542.45,0.34644714
3543.185,0.3599045873
3543.92,0.3733620346
3544.655,0.404143244
3545.39,0.4349244833
3546.125,0.3985991776
3546.86,0.3622739017
3547.595,0.3340397477
3548.33,0.3058055937
3549.065,0.3178305328
3549.8,0.3298555017
3550.535,0.3734371662
3551.27,0.4170188606
3552.005,0.4091679454
3552.74,0.4013170302
3553.475,0.3764613569
3554.21,0.3516056836
3554.945,0.3420707583
3555.68,0.3325358331
3556.415,0.3474130929
3557.15,0.3622903526
3557.885,0.4218170047
3558.62,0.4813436568
3559.355,0.4378425479
3560.09,0.394341439
3560.825,0.3603242934
3561.56,0.3263071477
3562.295,0.3063488007
3563.03,0.2863904834
3563.765,0.2934296429
3564.5,0.3004688025
3565.235,0.320821166
3565.97,0.3411735296
3566.705,0.3378150463
3567.44,0.3344565928
3568.175,0.3536982536
3568.91,0.3729399145
3569.645,0.3535803854
3570.38,0.3342208862
3571.115,0.3478090763
3571.85,0.3613972366
3572.585,0.3559902012
3573.32,0.3505831659
3574.055,0.3299905956
3574.79,0.3093979955
3575.525,0.3340753615
3576.26,0.3587527275
3576.995,0.3021544814
3577.73,0.2455562353
3578.465,0.2954580188
3579.2,0.3453597724
3579.935,0.3655789495
3580.67,0.3857981265
3581.405,0.3342916667
3582.14,0.2827851772
3582.875,0.2785161436
3583.61,0.2742471099
3584.345,0.278591603
3585.08,0.2829360664
3585.815,0.3337862492
