wavelength,flux
3000.0,-2.47435e-15
3010.0,-1.46853e-14
3020.0,2.06015e-15
3030.0,-2.75775e-16
3040.0,1.50371e-15
3050.0,1.0406e-15
3060.0,7.9793e-18
3070.0,-1.714e-17
3080.0,-5.93803e-17
3090.0,5.05046e-16
3100.0,2.0006e-16
3110.0,1.51645e-16
3120.0,-1.805e-17
3130.0,8.97564e-17
3140.0,1.30694e-17
3150.0,9.535e-17
3160.0,1.65431e-16
3170.0,2.55487e-16
3180.0,2.0557e-16
3190.0,1.03294e-16
3200.0,1.9924e-16
3210.0,1.725e-16
3220.0,1.47862e-16
3230.0,1.56005e-16
3240.0,1.07239e-16
3250.0,1.66238e-16
3260.0,1.26639e-16
3270.0,1.71846e-16
3280.0,1.78019e-16
3290.0,1.76829e-16
3300.0,1.19615e-16
3310.0,1.85077e-16
3320.0,1.61615e-16
3330.0,1.73137e-16
3340.0,8.48219e-17
3350.0,1.9558e-16
3360.0,1.73145e-16
3370.0,1.5188e-16
3380.0,2.31119e-16
3390.0,1.64473e-16
3400.0,1.69873e-16
3410.0,1.47815e-16
3420.0,1.26788e-16
3430.0,1.67978e-16
3440.0,2.15873e-16
3450.0,1.27726e-16
3460.0,1.57789e-16
3470.0,1.13086e-16
3480.0,1.35387e-16
3490.0,2.11327e-16
3500.0,1.62775e-16
3510.0,1.70659e-16
3520.0,1.29586e-16
3530.0,1.80434e-16
3540.0,1.88638e-16
3550.0,1.72256e-16
3560.0,1.61443e-16
3570.0,1.68305e-16
3580.0,1.63182e-16
3590.0,1.79122e-16
3600.0,1.45985e-16
3610.0,1.75827e-16
3620.0,1.58049e-16
3630.0,1.41904e-16
3640.0,1.56974e-16
3650.0,1.77352e-16
3660.0,1.74316e-16
3670.0,1.48425e-16
3680.0,2.01519e-16
3690.0,1.76788e-16
3700.0,1.72045e-16
3710.0,2.07825e-16
3720.0,1.90939e-16
3730.0,1.94412e-16
3740.0,2.10971e-16
3750.0,1.68502e-16
3760.0,1.55524e-16
3770.0,1.9755e-16
3780.0,2.11609e-16
3790.0,1.76757e-16
3800.0,2.00494e-16
3810.0,2.00788e-16
3820.0,2.13537e-16
3830.0,2.12966e-16
3840.0,2.03816e-16
3850.0,2.01695e-16
3860.0,2.22782e-16
3870.0,1.89173e-16
3880.0,2.07725e-16
3890.0,2.05676e-16
3900.0,2.23422e-16
3910.0,1.98805e-16
3920.0,2.2562e-16
3930.0,2.01534e-16
3940.0,2.29871e-16
3950.0,1.38392e-15
3960.0,2.1291e-16
3970.0,2.23707e-16
3980.0,2.1878e-16
3990.0,2.3481e-16
4000.0,2.00341e-16
4010.0,2.31993e-16
4020.0,2.19307e-16
4030.0,2.13119e-16
4040.0,2.38756e-16
4050.0,2.10575e-16
4060.0,2.41727e-16
4070.0,2.01068e-16
4080.0,1.97631e-16
4090.0,2.23648e-16
4100.0,3.46917e-16
4110.0,2.11816e-16
4120.0,2.7123e-16
4130.0,2.12235e-16
4140.0,1.97875e-16
4150.0,2.11497e-16
4160.0,1.99338e-16
4170.0,2.11688e-16
4180.0,2.1236e-16
4190.0,2.01024e-16
4200.0,2.83484e-16
4210.0,2.3385e-16
4220.0,2.10863e-16
4230.0,2.21775e-16
4240.0,2.24455e-16
4250.0,2.44122e-16
4260.0,2.27811e-16
4270.0,2.35621e-16
4280.0,2.58633e-16
4290.0,2.29255e-16
4300.0,2.43041e-16
4310.0,2.55705e-16
4320.0,2.37169e-16
4330.0,2.61891e-16
4340.0,3.39502e-16
4350.0,2.55193e-16
4360.0,2.51651e-16
4370.0,2.51898e-16
4380.0,2.35586e-16
4390.0,2.51955e-16
4400.0,2.4326e-16
4410.0,2.28005e-16
4420.0,2.36342e-16
4430.0,2.47623e-16
4440.0,2.47727e-16
4450.0,2.42612e-16
4460.0,2.3924e-16
4470.0,2.31755e-16
4480.0,2.27237e-16
4490.0,2.30719e-16
4500.0,2.3738e-16
4510.0,2.40182e-16
4520.0,2.23526e-16
4530.0,2.35277e-16
4540.0,2.38741e-16
4550.0,2.25404e-16
4560.0,2.32675e-16
4570.0,2.31219e-16
4580.0,2.34801e-16
4590.0,2.25956e-16
4600.0,4.26127e-16
4610.0,2.20351e-16
4620.0,2.28148e-16
4630.0,2.23785e-16
4640.0,2.20307e-16
4650.0,2.17565e-16
4660.0,2.08101e-16
4670.0,2.14026e-16
4680.0,2.10555e-16
4690.0,2.10739e-16
4700.0,2.17292e-16
4710.0,2.02228e-16
4720.0,2.10466e-16
4730.0,2.06226e-16
4740.0,2.24883e-16
4750.0,2.09447e-16
4760.0,1.96281e-16
4770.0,2.18393e-16
4780.0,2.04248e-16
4790.0,2.13656e-16
4800.0,2.16767e-16
4810.0,2.01916e-16
4820.0,1.99182e-16
4830.0,2.13214e-16
4840.0,2.3368e-16
4850.0,2.21718e-16
4860.0,2.14234e-16
4870.0,2.07641e-16
4880.0,2.27637e-16
4890.0,2.21178e-16
4900.0,2.26557e-16
4910.0,2.25139e-16
4920.0,2.27676e-16
4930.0,2.34105e-16
4940.0,2.31964e-16
4950.0,2.34354e-16
4960.0,2.34066e-16
4970.0,2.30215e-16
4980.0,2.34808e-16
4990.0,2.36217e-16
5000.0,2.43674e-16
5010.0,2.35236e-16
5020.0,2.42544e-16
5030.0,2.38867e-16
5040.0,2.28742e-16
