date	time	band	instrument	integration	mag	mag_limit	dmag	seeing	date_unit	time_unit	mag_unit	dtime	reference
2000-Sep-28 	16.94	B	VLT	2600.0	25.1	0	0.05	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Oct-06 	24.98	B	VLT	2600.0	25.41	0	0.06	0.6	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Nov-03 	52.95	B	VLT	2600.0	26.0	0	0.2	1.0	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Sep-28 	16.96	V	VLT	1500.0	24.67	0	0.06	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Oct-06 	25.02	V	VLT	1500.0	24.96	0	0.06	0.5	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Nov-03 	52.99	V	VLT	1500.0	25.66	0	0.15	0.7	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Sep-28 	16.98	R	VLT	900.0	24.14	0	0.07	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Oct-06 	25.03	R	VLT	900.0	24.45	0	0.06	0.5	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Nov-03 	53.0	R	VLT	900.0	24.91	0	0.15	0.7	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Sep-28 	16.99	I	VLT	1500.0	23.57	0	0.07	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Oct-06 	25.0	I	VLT	1500.0	23.73	0	0.06	0.5	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Nov-03 	52.97	I	VLT	1500.0	24.3	0	0.1	0.7	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Sep-28 	16.89	J	VLT	2408.0	22.38	0	0.08	0.7	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Oct-06 	24.93	J	VLT	2700.0	22.41	0	0.05	0.5	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
2000-Nov-05 	54.9	J	VLT	2700.0	22.9	0	0.1	0.5	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
