date	band	mag	dmag	instrument	date_unit	mag_unit
2001-Nov-22.3560	J	17.852	0.045	dP	yyyy-month-deciday	Vega
2001-Nov-22.3573	J	17.730	0.037	dP	yyyy-month-deciday	Vega
2001-Nov-22.3587	J	17.763	0.044	dP	yyyy-month-deciday	Vega
2001-Nov-22.3600	J	17.801	0.040	dP	yyyy-month-deciday	Vega
2001-Nov-22.3614	J	17.821	0.037	dP	yyyy-month-deciday	Vega
2001-Nov-22.3627	J	17.799	0.039	dP	yyyy-month-deciday	Vega
2001-Nov-22.3641	J	17.785	0.035	dP	yyyy-month-deciday	Vega
2001-Nov-22.3654	J	17.770	0.036	dP	yyyy-month-deciday	Vega
2001-Nov-22.3667	J	17.795	0.041	dP	yyyy-month-deciday	Vega
2001-Nov-22.3681	J	17.739	0.038	dP	yyyy-month-deciday	Vega
2001-Nov-22.7177	J	18.352	0.100	AAT	yyyy-month-deciday	Vega
2001-Nov-23.3193	J	19.463	0.068	dP	yyyy-month-deciday	Vega
2001-Nov-28.5	J	21.291	0.282	Baade	yyyy-month-deciday	Vega
2001-Nov-22.3178	K	15.959	0.045	dP	yyyy-month-deciday	Vega
2001-Nov-22.3194	K	15.987	0.040	dP	yyyy-month-deciday	Vega
2001-Nov-22.3211	K	15.908	0.037	dP	yyyy-month-deciday	Vega
2001-Nov-22.3227	K	15.994	0.040	dP	yyyy-month-deciday	Vega
2001-Nov-22.3244	K	15.958	0.040	dP	yyyy-month-deciday	Vega
2001-Nov-22.3263	K	16.002	0.041	dP	yyyy-month-deciday	Vega
2001-Nov-22.3279	K	16.006	0.041	dP	yyyy-month-deciday	Vega
2001-Nov-22.3296	K	16.003	0.039	dP	yyyy-month-deciday	Vega
2001-Nov-22.3296	K	16.003	0.039	dP	yyyy-month-deciday	Vega
2001-Nov-22.3313	K	15.981	0.037	dP	yyyy-month-deciday	Vega
2001-Nov-22.3329	K	16.053	0.039	dP	yyyy-month-deciday	Vega
2001-Nov-22.3349	K	16.039	0.040	dP	yyyy-month-deciday	Vega
2001-Nov-22.3365	K	15.997	0.039	dP	yyyy-month-deciday	Vega
2001-Nov-22.3382	K	16.120	0.041	dP	yyyy-month-deciday	Vega
2001-Nov-22.3398	K	15.996	0.063	dP	yyyy-month-deciday	Vega
2001-Nov-22.3454	K	16.027	0.038	dP	yyyy-month-deciday	Vega
2001-Nov-22.3470	K	16.069	0.036	dP	yyyy-month-deciday	Vega
2001-Nov-22.3487	K	16.100	0.042	dP	yyyy-month-deciday	Vega
2001-Nov-22.3503	K	16.015	0.043	dP	yyyy-month-deciday	Vega
2001-Nov-22.3520	K	16.098	0.043	dP	yyyy-month-deciday	Vega
2001-Nov-22.4771	K	16.421	0.041	AAT	yyyy-month-deciday	Vega
2001-Nov-22.4954	K	16.537	0.041	AAT	yyyy-month-deciday	Vega
2001-Nov-22.5126	K	16.495	0.035	AAT	yyyy-month-deciday	Vega
2001-Nov-22.6066	K	16.605	0.058	AAT	yyyy-month-deciday	Vega
2001-Nov-22.6169	K	16.788	0.042	AAT	yyyy-month-deciday	Vega
2001-Nov-22.6397	K	16.782	0.038	AAT	yyyy-month-deciday	Vega
2001-Nov-22.6506	K	16.862	0.036	AAT	yyyy-month-deciday	Vega
2001-Nov-22.6612	K	17.019	0.052	AAT	yyyy-month-deciday	Vega
2001-Nov-22.6716	K	16.852	0.039	AAT	yyyy-month-deciday	Vega
2001-Nov-22.6822	K	17.035	0.083	AAT	yyyy-month-deciday	Vega
2001-Nov-22.7272	K	17.005	0.051	AAT	yyyy-month-deciday	Vega
2001-Nov-22.7384	K	17.087	0.079	AAT	yyyy-month-deciday	Vega
2001-Nov-23.3336	K	17.924	0.051	dP	yyyy-month-deciday	Vega
2001-Nov-28.7092	K	19.346	0.234	AAT	yyyy-month-deciday	Vega
