date	instrument	band	integration	seeing	mag	mag_limit	dmag	date_unit	integration_unit	mag_unit	time	time_unit	time_frame	dtime
2001-Nov-22-03:03-03:25	ESO NTT/SOFI	K_{s}	10 \times 63	0.7	15.19	0	0.07	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	0.3518402777777777	days	observer	0.0076388888888889
2001-Nov-22-04:03-04:14	ESO 3.6 m/EFOSC2	R_{C}	3 \times 180	1.5	18.86	0	0.02	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	0.3896874999999999	days	observer	0.0038194444444444
2001-Nov-22-07:30-08:01	ESO 3.6 m/EFOSC2	R_{C}	3 \times 600	1.0	19.51	0	0.01	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	0.5403819444444444	days	observer	0.0107638888888888
2001-Nov-22-07:47-08:22	ESO NTT/SOFI	J	25 \times 70	0.8	17.47	0	0.04	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	0.5535763888888889	days	observer	0.0121527777777777
2001-Nov-22-08:23-08:47	ESO NTT/SOFI	H	17 \times 70	0.7	16.72	0	0.05	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	0.5747569444444445	days	observer	0.0083333333333333
2001-Nov-22-08:47-09:06	ESO NTT/SOFI	K_{s}	13 \times 70	0.9	16.09	0	0.07	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	0.5896874999999999	days	observer	0.0065972222222222
2001-Nov-22-14:00-14:14	AAO AAT/IRIS2	H	10 \times 60	2.7	17.3	0	0.25	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	0.8053125	days	observer	0.004861111111111
2001-Nov-23-00:04-00:20	ESO NTT/SOFI	K_{s}	11 \times 70	1.2	17.71	0	0.1	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	1.2254513888888887	days	observer	0.0055555555555555
2001-Nov-23-00:20-00:39	ESO NTT/SOFI	J	13 \times 70	1.6	19.38	0	0.1	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	1.2376041666666666	days	observer	0.0065972222222222
2001-Nov-23-04:30-04:40	ESO 3.6 m/EFOSC2	R_{C}	3 \times 180	NaN	21.23	0	0.05	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	1.4080902777777775	days	observer	0.0034722222222222
2001-Nov-23-04:41-04:57	ESO 3.6 m/EFOSC2	B	3 \times 300	NaN	22.4	0	0.5	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	1.4178125	days	observer	0.0055555555555555
2001-Nov-23-04:58-05:08	ESO 3.6 m/EFOSC2	V	3 \times 180	NaN	21.95	0	0.15	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	1.427534722222222	days	observer	0.0034722222222222
2001-Nov-23-08:29-08:45	ESO NTT/SOFI	J	11 \times 70	0.9	19.73	0	0.1	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	1.5761458333333334	days	observer	0.0055555555555555
2001-Nov-23-08:45-09:01	ESO NTT/SOFI	K_{s}	11 \times 70	0.9	18.29	0	0.1	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	1.5872569444444444	days	observer	0.0055555555555555
2001-Nov-23-08:29-08:39	ESO 3.6 m/EFOSC2	R_{C}	3 \times 180	1.3	21.75	0	0.08	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	1.5740625	days	observer	0.0034722222222222
