instrument	time	integration	wavelength	flux_density	dflux_density	band	mag	mag_limit	dmag	time_unit	exposure_unit	wavelength_unit	flux_density_unit	mag_unit	reference	date	seeing	date_unit
HST/F450W	13.09	1600	4678.52	0.551	0.037	B	24.867	0	0.073	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F555W	13.16	1600	5560.05	0.996	0.049	V	23.871	0	0.056	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F702W	13.23	1600	7042.48	1.522	0.072	R	23.211	0	0.054	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F814W	14.02	1600	8110.44	1.793	0.042	I	22.772	0	0.032	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F555W	23.03	1600	5630.5	0.647	0.035	V	24.4	0	0.061	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F702W	23.09	1600	7002.71	1.271	0.051	R	23.382	0	0.048	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F814W	24.83	1600	8105.05	1.495	0.053	I	22.982	0	0.043	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F555W	27.24	1600	5711.0	0.378	0.027	V	25.071	0	0.076	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F702W	27.3	1600	7043.85	0.981	0.036	R	23.697	0	0.044	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F814W	28.1	1600	8164.9	1.301	0.07	I	23.157	0	0.061	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F555W	77.33	2100	5604.61	0.123	0.014	V	26.173	0	0.118	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F702W	76.58	4100	7042.09	0.224	0.019	R	25.264	0	0.092	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
HST/F814W	77.25	2000	8149.18	0.294	0.02	I	24.762	0	0.073	days	seconds	angstrom	microJy	Vega	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract	NaN	NaN	NaN
ESO NTT/SOFI	0.3518402777777777	10 \times 63	NaN	NaN	NaN	K_{s}	15.19	0	0.07	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-22-03:03-03:25	0.7	yyyy-mm-dd-hh:mm-hh:mm
ESO 3.6 m/EFOSC2	0.3896874999999999	3 \times 180	NaN	NaN	NaN	R_{C}	18.86	0	0.02	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-22-04:03-04:14	1.5	yyyy-mm-dd-hh:mm-hh:mm
ESO 3.6 m/EFOSC2	0.5403819444444444	3 \times 600	NaN	NaN	NaN	R_{C}	19.51	0	0.01	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-22-07:30-08:01	1.0	yyyy-mm-dd-hh:mm-hh:mm
ESO NTT/SOFI	0.5535763888888889	25 \times 70	NaN	NaN	NaN	J	17.47	0	0.04	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-22-07:47-08:22	0.8	yyyy-mm-dd-hh:mm-hh:mm
ESO NTT/SOFI	0.5747569444444445	17 \times 70	NaN	NaN	NaN	H	16.72	0	0.05	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-22-08:23-08:47	0.7	yyyy-mm-dd-hh:mm-hh:mm
ESO NTT/SOFI	0.5896874999999999	13 \times 70	NaN	NaN	NaN	K_{s}	16.09	0	0.07	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-22-08:47-09:06	0.9	yyyy-mm-dd-hh:mm-hh:mm
AAO AAT/IRIS2	0.8053125	10 \times 60	NaN	NaN	NaN	H	17.3	0	0.25	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-22-14:00-14:14	2.7	yyyy-mm-dd-hh:mm-hh:mm
ESO NTT/SOFI	1.2254513888888887	11 \times 70	NaN	NaN	NaN	K_{s}	17.71	0	0.1	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-23-00:04-00:20	1.2	yyyy-mm-dd-hh:mm-hh:mm
ESO NTT/SOFI	1.2376041666666666	13 \times 70	NaN	NaN	NaN	J	19.38	0	0.1	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-23-00:20-00:39	1.6	yyyy-mm-dd-hh:mm-hh:mm
ESO 3.6 m/EFOSC2	1.4080902777777775	3 \times 180	NaN	NaN	NaN	R_{C}	21.23	0	0.05	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-23-04:30-04:40	NaN	yyyy-mm-dd-hh:mm-hh:mm
ESO 3.6 m/EFOSC2	1.4178125	3 \times 300	NaN	NaN	NaN	B	22.4	0	0.5	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-23-04:41-04:57	NaN	yyyy-mm-dd-hh:mm-hh:mm
ESO 3.6 m/EFOSC2	1.427534722222222	3 \times 180	NaN	NaN	NaN	V	21.95	0	0.15	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-23-04:58-05:08	NaN	yyyy-mm-dd-hh:mm-hh:mm
ESO NTT/SOFI	1.5761458333333334	11 \times 70	NaN	NaN	NaN	J	19.73	0	0.1	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-23-08:29-08:45	0.9	yyyy-mm-dd-hh:mm-hh:mm
ESO NTT/SOFI	1.5872569444444444	11 \times 70	NaN	NaN	NaN	K_{s}	18.29	0	0.1	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-23-08:45-09:01	0.9	yyyy-mm-dd-hh:mm-hh:mm
ESO 3.6 m/EFOSC2	1.5740625	3 \times 180	NaN	NaN	NaN	R_{C}	21.75	0	0.08	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-23-08:29-08:39	1.3	yyyy-mm-dd-hh:mm-hh:mm
ESO 3.6 m/EFOSC2	1.5792708333333332	300	NaN	NaN	NaN	B	21.7	-1	NaN	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-23-08:39-08:44	1.6	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	2.492118055555556	15 \times 60	NaN	NaN	NaN	K_{s}	19.3	0	0.08	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-24-06:24-06:48	0.7	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	2.511909722222222	15 \times 60	NaN	NaN	NaN	H	19.81	0	0.05	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-24-06:53-07:16	0.7	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	2.527534722222222	10 \times 90	NaN	NaN	NaN	J_{s}	20.93	0	0.1	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-24-07:18-07:36	0.6	yyyy-mm-dd-hh:mm-hh:mm
ESO Yepun/FORS2	2.5448958333333334	3 \times 300	NaN	NaN	NaN	B	23.7	0	0.3	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-24-07:43-08:01	0.8	yyyy-mm-dd-hh:mm-hh:mm
ESO Yepun/FORS2	2.5560069444444444	3 \times 180	NaN	NaN	NaN	V	23.37	0	0.05	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-24-08:02-08:14	0.8	yyyy-mm-dd-hh:mm-hh:mm
ESO Yepun/FORS2	2.5650347222222223	3 \times 180	NaN	NaN	NaN	R_{special}	22.93	0	0.08	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-24-08:15-08:27	0.8	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	3.5025347222222223	10 \times 90	NaN	NaN	NaN	J_{s}	21.64	0	0.3	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-25-06:43-06:59	0.9	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	3.5174652777777777	15 \times 60	NaN	NaN	NaN	H	20.73	0	0.1	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-25-07:01-07:24	0.6	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	3.5362152777777776	15 \times 60	NaN	NaN	NaN	K_{s}	20.02	0	0.1	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-25-07:27-07:52	0.8	yyyy-mm-dd-hh:mm-hh:mm
ESO Yepun/FORS2	3.5615625	3 \times 180	NaN	NaN	NaN	R_{special}	23.68	0	0.15	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Nov-25-08:10-08:22	0.8	yyyy-mm-dd-hh:mm-hh:mm
