date	band	integration	mag	mag_limit	dmag	seeing	instrument	date_unit	integration_unit	mag_unit	time	time_unit	time_frame	dtime	reference
2002-Mar-16.950-16.993	I	9 \times300	22.43	0	0.11	1.0	NOT(+ALFOSC)	yyyy-month-deciday-deciday	seconds	Vega	11.47469	days	observer	0.0215046296296296	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Mar-16.993-17.039	R	4 \times900	22.76	0	0.05	1.0	NOT(+ALFOSC)	yyyy-month-deciday-deciday	seconds	Vega	11.51920	days	observer	0.0229976851851851	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Mar-17.039-17.084	V	3 \times1200	22.88	0	0.07	1.3	NOT(+ALFOSC)	yyyy-month-deciday-deciday	seconds	Vega	11.56469	days	observer	0.0225	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Mar-17.098-17.173	U	5 \times1200	22.75	0	0.14	1.4	NOT(+ALFOSC)	yyyy-month-deciday-deciday	seconds	Vega	11.63870	days	observer	0.0375	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Mar-17.181-17.226	B	3 \times1200	23.25	0	0.11	1.7	NOT(+ALFOSC)	yyyy-month-deciday-deciday	seconds	Vega	11.70670	days	observer	0.0225	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Mar-18.960-19.040	R	7 \times900	22.48	0	0.08	2.4	NOT(+ALFOSC)	yyyy-month-deciday-deciday	seconds	Vega	13.50319	days	observer	0.039994212962963	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Mar-20.993-21.164	R	15\times900	22.42	0	0.06	2.2	NOT(+ALFOSC)	yyyy-month-deciday-deciday	seconds	Vega	15.58170	days	observer	0.0854976851851851	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Mar-21.981-22.180	R	15\times900	22.41	0	0.05	1.9	NOT(+ALFOSC)	yyyy-month-deciday-deciday	seconds	Vega	16.58369	days	observer	0.0994965277777777	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Apr-12.667-12.888	CL	7402	24.8	0	0.02	NaN	HST(+STIS)	yyyy-month-deciday-deciday	seconds	AB	38.28069	days	observer	0.1105034722222222	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Apr-14.135-14.412	LP	7567	24.45	0	0.03	NaN	HST(+STIS)	yyyy-month-deciday-deciday	seconds	AB	39.77669	days	observer	0.1385011574074074	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Jun-16.454-16.550	CL	4856	27.86	0	0.2	NaN	HST(+STIS)	yyyy-month-deciday-deciday	seconds	AB	103.00523	days	observer	0.0480324074074073	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Jun-16.597-16.751	LP	5021	26.98	0	0.22	NaN	HST(+STIS)	yyyy-month-deciday-deciday	seconds	AB	103.17719	days	observer	0.0770023148148147	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2002-Dec-13.832-13.998	LP	7966	28.07	1	NaN	NaN	HST(+STIS)	yyyy-month-deciday-deciday	seconds	AB	283.41819	days	observer	0.0830034722222222	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
2003-Jan-20.534-20.695	CL	7306	28.2	1	NaN	NaN	HST(+STIS)	yyyy-month-deciday-deciday	seconds	AB	321.11770	days	observer	0.0805034722222222	https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
