date	time	flux_density	flux_density_limit	dflux_density	freq	date_unit	time_unit	freq_unit	flux_density_unit	dtime	reference
2002-Sep-27.22	23.80000	1058	19	0	8.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Sep-29.11	25.70000	197	70	0	1.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Sep-29.11	25.70000	552	42	0	4.9	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Sep-29.11	25.70000	746	37	0	8.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Sep-29.11	25.70000	590	125	0	22.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Sep-30.23	26.80000	892	166	0	8.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Oct-2.06	28.60000	210	91	0	1.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Oct-2.06	28.60000	788	45	0	4.9	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Oct-2.06	28.60000	765	41	0	8.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Oct-2.06	28.60000	0	270	0	22.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Oct-10.13	36.70000	294	91	0	1.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Oct-10.13	36.70000	832	47	0	4.9	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Oct-10.13	36.70000	640	40	0	8.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Nov-13.02	74.00000	175	56	0	1.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Nov-13.02	74.00000	380	38	0	4.9	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2002-Nov-13.02	74.00000	190	30	0	8.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2003-Mar-3.71	181.30000	215	59	0	4.9	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2003-Mar-7.72	185.30000	112	45	0	4.9	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2003-Mar-14.74	192.30000	127	32	0	4.9	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2003-Mar-17.69	195.30000	103	40	0	4.9	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2003-Sep-15.22	376.80000	43	66	0	1.5	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
2003-Sep-15.22	376.80000	21	34	0	4.9	yyyy-month-deciday	days	GHz	microJy	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
