time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit
0.036	14.671	0	0.011	R	KAIT	hours	unspecified
0.0489	15.136	0	0.011	R	KAIT	hours	unspecified
0.0614	15.54	0	0.011	R	KAIT	hours	unspecified
0.0747	15.939	0	0.016	R	KAIT	hours	unspecified
0.0805	16.038	0	0.018	R	KAIT	hours	unspecified
0.0861	16.117	0	0.019	R	KAIT	hours	unspecified
0.0969	16.35	0	0.031	R	KAIT	hours	unspecified
0.103	16.449	0	0.024	R	KAIT	hours	unspecified
0.1086	16.555	0	0.05	R	KAIT	hours	unspecified
0.1194	16.713	0	0.034	R	KAIT	hours	unspecified
0.1253	16.787	0	0.028	R	KAIT	hours	unspecified
0.1311	16.925	0	0.043	R	KAIT	hours	unspecified
0.1419	16.946	0	0.033	R	KAIT	hours	unspecified
0.1478	16.991	0	0.033	R	KAIT	hours	unspecified
0.1533	17.066	0	0.047	R	KAIT	hours	unspecified
0.1644	17.154	0	0.049	R	KAIT	hours	unspecified
0.1703	17.234	0	0.042	R	KAIT	hours	unspecified
0.1758	17.248	0	0.038	R	KAIT	hours	unspecified
0.1933	17.348	0	0.022	R	KAIT	hours	unspecified
0.2158	17.562	0	0.024	R	KAIT	hours	unspecified
0.2542	17.76	0	0.021	R	KAIT	hours	unspecified
0.3311	18.081	0	0.016	R	KAIT	hours	unspecified
0.45	18.462	0	0.026	R	KAIT	hours	unspecified
0.6017	18.828	0	0.178	R	KAIT	hours	unspecified
2.2103	20.187	0	0.322	R	KAIT	hours	unspecified
2.3647	20.204	0	0.195	R	KAIT	hours	unspecified
2.41	20.087	0	0.246	R	KAIT	hours	unspecified
2.488	20.178	0	0.168	R	KAIT	hours	unspecified
