date	time	integration	optical_depth	flux_density	flux_density_limit	dflux_density	freq	date_unit	time_unit	flux_density_unit	freq_unit	dtime	reference	instrument
2002-12-12.488-12.520	1.03300	1800.0	0.23	2.1	0	2.5	350.0	yyyy-mm-deciday-deciday	days	milliJy	GHz	0.0159953703703704	https://ui.adsabs.harvard.edu/abs/2005A%26A...439..987S/abstract	NaN
2002-12-21.429-21.460	9.97300	1800.0	0.4	-2.4	0	3.0	350.0	yyyy-mm-deciday-deciday	days	milliJy	GHz	0.0155034722222222	https://ui.adsabs.harvard.edu/abs/2005A%26A...439..987S/abstract	NaN
2002-Dec-11.57	0.10000	NaN	NaN	0.012	0	0.036	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2002-Dec-12.39	0.92000	NaN	NaN	-0.036	0	0.022	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2002-Dec-13.40	1.93000	NaN	NaN	0.009	0	0.045	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2002-Dec-13.40	1.93000	NaN	NaN	0.048	0	0.062	22.5	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2002-Dec-15.32	3.85000	NaN	NaN	0.045	0	0.023	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2002-Dec-16.29	4.82000	NaN	NaN	-0.0065	0	0.019	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2002-Dec-20.32	8.85000	NaN	NaN	0.06	0	0.028	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2002-Dec-22.26	10.79000	NaN	NaN	0.0003	0	0.027	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2002-Dec-26.44	14.97000	NaN	NaN	-0.0073	0	0.023	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2002-Dec-28.55	17.08000	NaN	NaN	0.033	0	0.028	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2003-Jan-04.39	23.92000	NaN	NaN	0.0024	0	0.024	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2003-Jan-06.28	25.81000	NaN	NaN	0.046	0	0.024	8.46	yyyy-month-deciday	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
2002-Dec-28.00	16.43000	NaN	NaN	0.015	0	0.01	8.46	yyyy-month-deciday	days	milliJy	GHz	8.0	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	VLA
