date	time	band	integration	airmass	mag	mag_limit	dmag	flux_density	dflux_density	date_unit	time_unit	integration_unit	mag_unit	flux_density_unit	dtime
2003-Apr-01-03:33:29	2.664	B	600.0	1.64	17.67	0	0.01	341.1	9.9	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-01-03:45:52	2.673	V	600.0	1.67	17.26	0	0.01	442.8	17.7	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-01-04:01:30	2.684	I	600.0	1.71	16.48	0	0.01	613.8	31.9	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-01-03:33:27	2.664	J	560.19	1.64	15.64	0	0.12	863.5	104.1	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-01-03:45:50	2.673	H	560.18	1.67	15.02	0	0.05	981.2	62.0	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-02-02:19:40	3.613	B	600.0	1.62	18.03	0	0.01	243.9	7.3	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-02-02:31:56	3.621	V	600.0	1.61	17.61	0	0.01	322.6	13.3	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-02-02:44:17	3.63	I	600.0	1.61	16.82	0	0.02	449.2	25.0	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-02-02:19:38	3.613	J	560.19	1.62	16.01	0	0.13	613.6	77.1	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-02-02:31:53	3.621	H	560.18	1.61	15.4	0	0.09	689.5	68.2	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-03-03:21:50	4.656	B	600.0	1.63	18.62	0	0.01	142.1	4.5	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-03-03:34:01	4.664	V	600.0	1.66	18.1	0	0.02	204.1	9.0	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-03-03:46:14	4.673	I	600.0	1.69	17.34	0	0.03	278.7	16.4	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-03-03:21:48	4.656	J	480.15	1.63	16.56	0	0.11	368.7	41.3	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-03-03:33:58	4.664	H	560.2	1.66	15.88	0	0.03	443.6	23.4	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-04-02:29:21	5.62	B	600.0	1.61	18.54	0	0.02	153.8	5.5	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-04-02:41:30	5.628	V	600.0	1.61	18.08	0	0.01	207.7	8.7	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-04-02:53:44	5.636	I	600.0	1.61	17.31	0	0.03	285.8	16.3	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-04-02:29:18	5.619	J	560.18	1.61	16.72	0	0.17	318.8	52.3	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-04-02:41:28	5.628	H	560.18	1.61	15.91	0	0.07	431.9	33.6	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-05-02:55:21	6.638	V	600.0	1.61	18.59	0	0.03	130.6	6.1	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-05-03:07:36	6.646	I	600.0	1.63	17.9	0	0.03	165.8	9.9	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-05-02:44:50	6.63	J	480.17	1.61	17.16	0	0.17	212.5	35.4	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-05-02:55:19	6.638	H	560.19	1.61	16.43	0	0.08	266.0	23.3	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-06-02:54:10	7.637	B	600.0	1.62	19.57	0	0.02	59.2	2.1	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-06-03:06:13	7.645	V	600.0	1.63	19.03	0	0.03	86.6	4.0	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-06-03:18:20	7.654	I	600.0	1.65	18.21	0	0.04	125.3	7.9	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-06-02:54:08	7.637	J	560.17	1.62	17.64	0	0.21	136.7	27.4	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
