date	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit
2728.3776157-2728.3777315	B	15.166	0	0.014	MJD-MJD	Unspecified	0.3934760300925925	days
2728.3787153-2728.3788310	R	14.502	0	0.023	MJD-MJD	Unspecified	0.3945755787037037	days
2728.3803472-2728.3805208	B	15.17	0	0.013	MJD-MJD	Unspecified	0.3962364293981481	days
2728.3807870-2728.3809028	V	14.828	0	0.009	MJD-MJD	Unspecified	0.396647332175926	days
2728.3811690-2728.3812847	R	14.509	0	0.023	MJD-MJD	Unspecified	0.3970292824074075	days
2728.3815394-2728.3817130	B	15.188	0	0.013	MJD-MJD	Unspecified	0.3974286284722223	days
2728.3819792-2728.3820949	V	14.833	0	0.01	MJD-MJD	Unspecified	0.3978394791666667	days
2728.3823495-2728.3824653	R	14.507	0	0.023	MJD-MJD	Unspecified	0.3982098321759259	days
2728.3827199-2728.3828935	B	15.187	0	0.013	MJD-MJD	Unspecified	0.39860912615740746	days
2728.3832292-2728.3833449	V	14.833	0	0.009	MJD-MJD	Unspecified	0.39908947916666665	days
2728.3835995-2728.3837153	R	14.513	0	0.023	MJD-MJD	Unspecified	0.3994598321759259	days
2728.3839583-2728.3841319	B	15.195	0	0.013	MJD-MJD	Unspecified	0.3998475289351852	days
2728.3848032-2728.3849190	R	14.514	0	0.023	MJD-MJD	Unspecified	0.40066353009259265	days
2728.3853125-2728.3854282	B	15.193	0	0.014	MJD-MJD	Unspecified	0.40117277777777777	days
2728.3857639-2728.3858796	V	14.844	0	0.009	MJD-MJD	Unspecified	0.40162417824074076	days
2728.3861227-2728.3862384	R	14.526	0	0.023	MJD-MJD	Unspecified	0.40198298032407415	days
2728.3875463-2728.3876620	V	14.848	0	0.009	MJD-MJD	Unspecified	0.4034065798611112	days
2728.3880671-2728.3881829	R	14.526	0	0.023	MJD-MJD	Unspecified	0.4039274305555555	days
2728.3890162-2728.3891898	B	15.202	0	0.013	MJD-MJD	Unspecified	0.40490543402777773	days
2728.3894676-2728.3895833	V	14.849	0	0.009	MJD-MJD	Unspecified	0.4053278819444445	days
2728.3898727-2728.3899884	R	14.536	0	0.023	MJD-MJD	Unspecified	0.4057329803240742	days
2728.3904630-2728.3906366	B	15.212	0	0.013	MJD-MJD	Unspecified	0.40635222800925924	days
2728.3909144-2728.3910301	V	14.857	0	0.009	MJD-MJD	Unspecified	0.4067746817129631	days
2728.3913079-2728.3914236	R	14.535	0	0.023	MJD-MJD	Unspecified	0.4071681828703703	days
2728.3917361-2728.3919097	B	15.203	0	0.013	MJD-MJD	Unspecified	0.40762532986111116	days
2728.3921875-2728.3923032	V	14.869	0	0.009	MJD-MJD	Unspecified	0.40804777777777773	days
2728.3925926-2728.3927083	R	14.535	0	0.023	MJD-MJD	Unspecified	0.40845288194444457	days
2728.3930208-2728.3931944	B	15.227	0	0.013	MJD-MJD	Unspecified	0.4089100289351852	days
2728.3934606-2728.3935764	V	14.865	0	0.01	MJD-MJD	Unspecified	0.4093209317129631	days
2728.3938657-2728.3939815	R	14.545	0	0.023	MJD-MJD	Unspecified	0.4097260300925926	days
2728.3942593-2728.3944329	B	15.219	0	0.013	MJD-MJD	Unspecified	0.4101485358796297	days
2728.3947222-2728.3948380	V	14.872	0	0.009	MJD-MJD	Unspecified	0.41058252893518515	days
2728.3951273-2728.3952431	R	14.551	0	0.023	MJD-MJD	Unspecified	0.4109876331018519	days
2728.3956134-2728.3957870	B	15.223	0	0.013	MJD-MJD	Unspecified	0.41150263310185203	days
2728.3961343-2728.3962500	V	14.875	0	0.009	MJD-MJD	Unspecified	0.41199458333333333	days
2728.3965394-2728.3966551	R	14.548	0	0.023	MJD-MJD	Unspecified	0.4123996817129631	days
2728.3969329-2728.3971065	B	15.226	0	0.013	MJD-MJD	Unspecified	0.41282213541666674	days
