date	time	mag	mag_limit	dmag	integration	instrument	band	date_unit	time_unit	mag_unit	integration_unit
2003-Mar-29.6459	0.1619	13.606	0	0.051	200	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6918	0.2078	13.824	0	0.052	200	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7042	0.2202	13.831	0	0.06	200	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7186	0.2346	13.91	0	0.061	200	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7345	0.2505	14.016	0	0.053	200	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7477	0.2637	14.069	0	0.051	200	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7558	1.2718	16.454	0	0.053	300	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7738	1.2898	16.486	0	0.057	300	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7909	1.3069	16.483	0	0.056	300	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.8084	1.3244	16.507	0	0.063	300	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.6524	3.1684	17.156	0	0.061	400	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.7046	3.2206	17.153	0	0.058	400	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.7626	3.2786	17.201	0	0.055	400	ST	U	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6429	0.1589	14.189	0	0.026	150	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6483	0.1643	14.1463	0	0.07	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6552	0.1712	14.248	0	0.032	100	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6603	0.1763	14.1933	0	0.046	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6891	0.2051	14.409	0	0.031	100	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7013	0.2173	14.44	0	0.022	100	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7153	0.2313	14.534	0	0.012	200	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7312	0.2472	14.599	0	0.016	200	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7445	0.2605	14.653	0	0.014	200	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7574	0.2734	14.704	0	0.028	200	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7378	1.2538	17.0433	0	0.033	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7598	1.2758	17.137	0	0.015	200	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7730	1.289	17.0573	0	0.06	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7776	1.2936	17.17	0	0.016	200	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7948	1.3108	17.167	0	0.014	200	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.8123	1.3283	17.192	0	0.016	200	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.8359	1.3519	17.0923	0	0.032	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.5978	2.1138	17.464	0	0.032	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.6707	2.1867	17.3683	0	0.053	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.6763	2.1923	17.421	0	0.032	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.6984	2.2144	17.472	0	0.03	500	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7192	2.2352	17.496	0	0.031	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7410	2.257	17.4503	0	0.028	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7414	2.2574	17.509	0	0.03	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7598	2.2758	17.508	0	0.029	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7740	2.29	17.4403	0	0.029	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7769	2.2929	17.485	0	0.031	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7970	2.313	17.52	0	0.029	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8046	2.3206	17.4553	0	0.02	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8149	2.3309	17.55	0	0.028	400	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8343	2.3503	17.4853	0	0.028	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8387	2.3547	17.586	0	0.029	400	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8600	2.376	17.595	0	0.031	400	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8806	2.3966	17.617	0	0.022	400	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.5967	3.1127	17.866	0	0.033	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.6277	3.1437	17.749	0	0.038	200	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.7153	3.2313	17.826	0	0.029	400	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.7207	3.2367	17.831	0	0.027	400	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.7356	3.2516	17.7193	0	0.031	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.8582	3.3742	17.791	0	0.037	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.9000	3.416	17.7843	0	0.034	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.6386	4.1546	18.3483	0	0.036	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.6436	4.1596	18.419	0	0.041	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.6771	4.1931	18.4003	0	0.029	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.6862	4.2022	18.534	0	0.039	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.7439	4.2599	18.528	0	0.038	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.7707	4.2867	18.506	0	0.039	300	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-4.6673	6.1833	18.787	0	0.039	400	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-4.6966	6.2126	18.748	0	0.034	400	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-4.7246	6.2406	18.852	0	0.033	400	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.6125	7.1285	19.2573	0	0.067	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.6511	7.1671	19.2373	0	0.053	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.7416	7.2576	19.2963	0	0.046	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.7702	7.2862	19.3183	0	0.044	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.8037	7.3197	19.3153	0	0.046	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.8293	7.3453	19.3683	0	0.03	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.8618	7.3778	19.3873	0	0.045	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-6.6438	8.1598	19.6213	0	0.027	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-6.6559	8.1719	19.6443	0	0.028	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-6.7522	8.2682	19.6063	0	0.03	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-6.8384	8.3544	19.6183	0	0.039	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-6.8505	8.3665	19.6553	0	0.034	900	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-7.6122	9.1282	19.761	0	0.144	400	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-8.6260	10.142	19.983	0	0.069	600	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-8.6641	10.1801	19.943	0	0.076	600	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-8.6933	10.2093	19.919	0	0.064	600	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-10.6368	12.1528	20.287	0	0.087	900	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-10.7059	12.2219	20.1933	0	0.03	600X4	HCT	B	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-11.6782	13.1942	20.432	0	0.177	600	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-May-1.6271	33.1431	22.214	0	0.156	3*500+900	ST	B	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6310	0.147	13.8983	0	0.029	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6363	0.1523	13.848	0	0.02	200	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6515	0.1675	13.93	0	0.023	75	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6872	0.2032	14.087	0	0.021	50	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6991	0.2151	14.142	0	0.017	100	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7127	0.2287	14.213	0	0.018	100	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7284	0.2444	14.266	0	0.033	100	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7416	0.2576	14.331	0	0.018	100	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7552	0.2712	14.371	0	0.032	100	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7985	0.3145	14.569	0	0.032	200	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.8773	0.3933	14.9323	0	0.05	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.6674	1.1834	16.7423	0	0.047	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7486	1.2646	16.7943	0	0.05	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7632	1.2792	16.79	0	0.013	200	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7809	1.2969	16.789	0	0.013	200	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7836	1.2996	16.8153	0	0.032	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.7980	1.314	16.773	0	0.013	200	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.8202	1.3362	16.825	0	0.013	200	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.8256	1.3416	16.8363	0	0.04	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.8680	1.384	16.8183	0	0.046	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-30.8998	1.4158	16.8353	0	0.05	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.6026	2.1186	17.111	0	0.013	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.6531	2.1691	17.1033	0	0.064	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.6811	2.1971	17.094	0	0.024	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7041	2.2201	17.126	0	0.018	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7263	2.2423	17.148	0	0.017	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7308	2.2468	17.1783	0	0.055	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7459	2.2619	17.15	0	0.016	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7589	2.2749	17.1653	0	0.052	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7643	2.2803	17.148	0	0.018	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7814	2.2974	17.157	0	0.02	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.7894	2.3054	17.1883	0	0.04	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8015	2.3175	17.179	0	0.014	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8211	2.3371	17.212	0	0.014	400	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8216	2.3376	17.2143	0	0.062	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8444	2.3604	17.227	0	0.016	400	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8498	2.3658	17.2443	0	0.069	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8656	2.3816	17.253	0	0.014	400	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8781	2.3941	17.2633	0	0.055	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.8862	2.4022	17.253	0	0.02	400	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-31.9177	2.4337	17.2843	0	0.059	600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.6139	3.1299	17.438	0	0.017	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.6727	3.1887	17.453	0	0.017	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.6758	3.1918	17.4463	0	0.051	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.7215	3.2375	17.4203	0	0.051	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.7326	3.2486	17.453	0	0.016	400	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.7381	3.2541	17.464	0	0.016	400	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.8841	3.4001	17.427	0	0.018	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-1.8847	3.4007	17.4233	0	0.04	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.6234	4.1394	18.0493	0	0.061	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.6595	4.1755	18.048	0	0.021	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.6612	4.1772	18.0873	0	0.065	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.6903	4.2063	18.0913	0	0.064	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.6909	4.2069	18.068	0	0.02	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-2.7221	4.2381	18.112	0	0.024	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-4.6767	6.1927	18.37	0	0.024	400	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-4.7069	6.2229	18.393	0	0.025	400	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-4.7302	6.2462	18.481	0	0.023	400	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.5977	7.1137	18.8733	0	0.036	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.6670	7.183	18.8953	0	0.039	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.6997	7.2157	18.9383	0	0.052	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.7303	7.2463	18.9283	0	0.055	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-5.7573	7.2733	18.9353	0	0.044	450	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-6.6149	8.1309	19.1813	0	0.027	600X2	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-6.7218	8.2378	19.2393	0	0.027	600X3	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-6.8111	8.3271	19.2183	0	0.046	600X3	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-6.8767	8.3927	19.2253	0	0.064	600X2	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-7.6073	9.1233	19.294	0	0.073	300	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-8.6170	10.133	19.364	0	0.033	600	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-8.6567	10.1727	19.406	0	0.037	600	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-8.6856	10.2016	19.235	0	0.035	600	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-9.5952	11.1112	19.414	0	0.07	400	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-9.6050	11.121	19.5083	0	0.032	900	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-9.6439	11.1599	19.5233	0	0.04	900	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-9.6730	11.189	19.5233	0	0.035	300X2	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-9.7002	11.2162	19.5283	0	0.044	700	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-9.8625	11.3785	19.5463	0	0.046	900	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-10.6424	12.1584	19.585	0	0.067	900	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-10.6461	12.1621	19.6303	0	0.036	900X2	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-10.6656	12.1816	19.6513	0	0.058	450X3	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-10.7440	12.26	19.6313	0	0.06	900	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-11.6590	13.175	19.7303	0	0.043	450X2	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-11.6925	13.2085	19.7763	0	0.039	450X3	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-11.6975	13.2135	19.951	0	0.174	600	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-22.6520	24.168	20.5103	0	0.048	600X3	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-Apr-23.6646	25.1806	20.6343	0	0.05	300X2+600	HCT	V	yyyy-month-deciday	days	unspecified	seconds
2003-May-1.6383	33.1543	20.836	0	0.123	900	ST	V	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6133	0.1293	13.3803	0	0.031	120	HCT	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6171	0.1331	13.3743	0	0.041	300	HCT	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6227	0.1387	13.431	0	0.032	100	ST	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6232	0.1392	13.4123	0	0.06	450	HCT	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6264	0.1424	13.422	0	0.025	200	ST	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6397	0.1557	13.506	0	0.024	200	ST	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6483	0.1643	13.577	0	0.024	50	ST	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6530	0.169	13.619	0	0.034	50	ST	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6572	0.1732	13.636	0	0.04	100	ST	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6701	0.1861	13.7243	0	0.034	600	HCT	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6784	0.1944	13.7233	0	0.044	600	HCT	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6839	0.1999	13.724	0	0.025	50	ST	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6863	0.2023	13.7893	0	0.031	600	HCT	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.6967	0.2127	13.829	0	0.026	100	ST	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7103	0.2263	13.854	0	0.026	100	ST	R	yyyy-month-deciday	days	unspecified	seconds
2003-Mar-29.7262	0.2422	13.916	0	0.026	100	ST	R	yyyy-month-deciday	days	unspecified	seconds
