instrument	band	date	time	mag	mag_limit	dmag	dmag2	mag_unit	time_unit	date_unit	dtime	reference	integration	integration_unit	airmass	flux_density	dflux_density	flux_density_unit
Wise 1m+Tek	R	2729.2144329	1.2302353	16.438	0	0.018	0.05	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2159722	1.2317746	16.414	0	0.02	0.051	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2174884	1.2332908	16.447	0	0.018	0.05	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2190046	1.234807	16.398	0	0.019	0.05	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2205208	1.2363232	16.415	0	0.018	0.05	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2220255	1.2378279	16.432	0	0.018	0.05	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2235532	1.2393556	16.434	0	0.018	0.05	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	V	2729.2295602	1.2453626	16.786	0	0.012	0.022	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	I	2729.2328588	1.2486612	15.94	0	0.011	0.06	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2354861	1.2512885	16.416	0	0.013	0.048	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2370139	1.2528163	16.432	0	0.013	0.048	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2385648	1.2543672	16.41	0	0.013	0.048	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2400926	1.255895	16.423	0	0.013	0.048	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2416319	1.2574343	16.408	0	0.013	0.048	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2431829	1.2589853	16.434	0	0.013	0.048	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2446991	1.2605015	16.41	0	0.014	0.049	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
Wise 1m+Tek	R	2729.2462384	1.2620408	16.461	0	0.014	0.049	unspecified	days	MJD	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract	NaN	NaN	NaN	NaN	NaN	NaN
