date	instrument	freq	flux_density	dflux_density	beam	position_angle	date_unit	freq_unit	flux_density_unit	 
2003-03-31-00:04-03:07	IRAM/PdB-6Dp	86.253	58.6	0.5	14.1x4.0	55$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-03-31-00:04-03:07	IRAM/PdB-6Dp	232.032	46.8	3.1	5.2x1.5	55$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-03-31-18:33-23:57	IRAM/PdB-6Dp	98.473	58.2	0.6	6.4x4.2	98$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-03-31-18:33-23:57	IRAM/PdB-6Dp	238.500	40.6	2.1	2.8x1.6	84$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-01-20:20-21:55	IRAM/PdB-6Dp	86.673	51.7	0.9	9.1x4.2	98$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-01-20:20-21:55	IRAM/PdB-6Dp	240.528	23.8	3.2	3.9x1.6	100$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-05-16:54-18:04	IRAM/PdB-6Dp	115.447	40.4	3.7	10.3x3.1	-53$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-10-17:42-19:12	IRAM/PdB-6Dp	86.244	23.5	0.4	11.0x4.2	-62$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-10-17:42-19:12	IRAM/PdB-6Dp	232.171	12.8	1.3	4.5x1.5	-65$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-14-20:10-22:16	IRAM/PdB-6Dp	91.333	14.9	0.4	8.1x4.2	84$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-14-20:10-22:16	IRAM/PdB-6Dp	217.029	9.2	2.2	3.6x1.7	80$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-18-19:39-21:10	IRAM/PdB-6Dp	115.271	7.7	1.0	6.3x3.3	90$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-18-19:39-21:10	IRAM/PdB-6Dp	232.032	6.5	1.8	3.3x1.5	87$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-24-17:36-19:32	IRAM/PdB-6Dp	96.250	4.7	0.7	8.2x4.0	-67$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-04-24-17:36-19:32	IRAM/PdB-6Dp	241.480	0.0	3.8	3.5x1.4	105$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-05-03-15:59-19:49	IRAM/PdB-6Dp	86.243	2.9	0.3	9.5x4.4	108$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-05-03-15:59-19:49	IRAM/PdB-6Dp	233.467	1.4	1.3	3.6x1.6	-76$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-05-16-13:20-15:57	IRAM/PdB-5Dp	86.243	1.1	0.8	12.4x5.3	-54$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-05-16-13:20-15:57	IRAM/PdB-5Dp	231.490	0.0	10.1	4.6x1.9	-59$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-05-28-21:29-23:22	IRAM/PdB-5Dp	84.443	0.4	0.7	16.6x5.5	52$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-05-28-21:29-23:22	IRAM/PdB-5Dp	238.500	0.0	8.0	5.5x1.9	52$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
2003-06-20-12:41-17:49	IRAM/PdB-4Dp	95.434	0.6	1.3	5.92x5.63	64$^{\circ}$	yyyy-mm-dd-hh:mm-hh:mm	GHz	milliJy
