GRB/SN,Filename,Status,Reference,Notes
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio.txt,"Late, Radio",https://ui.adsabs.harvard.edu/abs/2013ApJ...774...77M/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio2.txt,"Late, Radio",https://ui.adsabs.harvard.edu/abs/2012ApJ...759....4M/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio3.txt,"Late, Radio",https://ui.adsabs.harvard.edu/abs/2008A%26A...480...35V/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio4.txt,"Late, Radio",https://ui.adsabs.harvard.edu/abs/2008A%26A...480...35V/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio5.txt,"Late, Radio",https://ui.adsabs.harvard.edu/abs/2007ApJ...664..411P/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Optical.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2006ApJ...641L..13G/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio6.txt,"Early, Late, Radio",https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio7.txt,"Early, Late, Radio",https://ui.adsabs.harvard.edu/abs/2005A%26A...440..477R/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Optical2.txt,"Early, Late, Optical",https://ui.adsabs.harvard.edu/abs/2005A%26A...440..477R/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio8.txt,Radio,https://ui.adsabs.harvard.edu/abs/2005A%26A...440..477R/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio9.txt,Radio,https://ui.adsabs.harvard.edu/abs/2005A%26A...440..477R/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio10.txt,Radio,https://ui.adsabs.harvard.edu/abs/2005A%26A...439..981S/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio11.txt,"Late, Radio",https://ui.adsabs.harvard.edu/abs/2005ApJ...622..986T/abstract,They took measurements but didn’t give any flux densities. Going to remove this text file from the main source folder. It will still be available in the Original Formats folder.
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio12.txt,"Early, Late, Radio",https://ui.adsabs.harvard.edu/abs/2005PASJ...57..147K/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio13.txt,"Late, Radio",https://ui.adsabs.harvard.edu/abs/2005ApJ...619..994F/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Xray.txt,"Early, Late, Xray",https://ui.adsabs.harvard.edu/abs/2004A%26A...423..861T/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Optical3.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2004ApJ...606..381L/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio14.txt,Radio,https://ui.adsabs.harvard.edu/abs/2004PASJ...56L...1K/abstract,
GRB030329-SN2003dh,NaN,Spectra,https://ui.adsabs.harvard.edu/abs/2004PASJ...56...61K/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_IR_Optical.txt,"IR, Optical",https://ui.adsabs.harvard.edu/abs/2004AJ....127..252B/abstract,
GRB030329-SN2003dh,NaN,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Optical4.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Optical5.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2003ApJ...597L.101T/abstract,
GRB030329-SN2003dh,NaN,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...593L..19K/abstract,
GRB030329-SN2003dh,NaN,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...591L..17S/abstract,
GRB030329-SN2003dh,NaN,Spectra,https://ui.adsabs.harvard.edu/abs/2003BSAO...56....5S/abstract,
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio15.txt,"Late, Radio",https://ui.adsabs.harvard.edu/abs/2019ApJ...872...28P/abstract,
GRB030329-SN2003dh,OpenSNPhotometry.csv,Optical,https://api.astrocats.space/SN2003dh/photometry/time+magnitude+e_magnitude+band+ra+dec+source?format=csv,
GRB030329-SN2003dh,OpenSNSpectra2.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra3.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra8.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra4.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra5.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2012MNRAS.425.1789S/abstract,
GRB030329-SN2003dh,OpenSNSpectra9.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra6.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra7.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra0.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
GRB030329-SN2003dh,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2003ApJ...599..394M/abstract,
