date	time	band	integration	instrument	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	dtime	reference
2003-Jul-23.44329	0.17360	R	300	D1.5m/DFOSC	20.92	0	0.11	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-23.6090	0.33940	BV-MOA	3\times300	0.6m/MOA	21.47	0	0.25	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-23.6090	0.33940	RI-MOA	3\times300	0.6m/MOA	20.9	1	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.133	0.86300	R	3\times600	D1.5m/DFOSC	20.98	0	0.05	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.333	1.06300	R	3\times600	D1.5m/DFOSC	21.15	0	0.05	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.360	1.09000	V	3\times600	D1.5m/DFOSC	21.63	0	0.03	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.384	1.11400	J_{s}	15 \times 60	NTT/SOFI	19.81	0	0.06	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.397	1.12700	H	15\times60	NTT/SOFI	19.14	0	0.11	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.409	1.13900	K_{s}	15\times60	NTT/SOFI	18.33	0	0.06	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.421	1.15100	J_{s}	15\times60	NTT/SOFI	19.79	0	0.08	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.433	1.16300	H	15\times60	NTT/SOFI	19.26	0	0.12	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.446	1.17600	K_{s}	15\times60	NTT/SOFI	18.42	0	0.1	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.396	1.12600	i	3\times600	D1.5m/DFOSC	20.72	0	0.04	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-24.411	1.14100	R	4\times600	D1.5m/DFOSC	21.24	0	0.05	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-25.114	1.84400	R	3\times600	D1.5m/DFOSC	22.0	0	0.1	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-25.346	2.07600	R	7\times600	D1.5m/DFOSC	22.31	0	0.07	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-25.378	2.10800	J_{s}	15\times60	NTT/SOFI	20.14	0	0.16	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-25.391	2.12100	H	15\times60	NTT/SOFI	19.5	0	0.22	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-25.403	2.13300	K_{s}	15\times60	NTT/SOFI	19.08	0	0.25	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-25.408	2.13800	R	8\times600	D1.5m/DFOSC	22.13	0	0.05	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-26.236	2.96600	V	50	VLT/FORS1	23.41	0	0.07	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-26.239	2.96900	V	50	VLT/FORS1	23.28	0	0.07	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-27.160	3.89000	K_{s}	10\times60	VLT/ISAAC	21.04	0	0.21	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-27.171	3.90100	J_{s}	10\times60	VLT/ISAAC	22.46	0	0.23	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-27.180	3.91000	H	10\times60	VLT/ISAAC	21.06	0	0.15	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-27.212	3.94200	U	6\times300	VLT/FORS1	23.83	0	0.15	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-27.228	3.95800	B	300	VLT/FORS1	24.31	0	0.07	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-27.232	3.96200	B	300	VLT/FORS1	24.57	0	0.1	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-27.236	3.96600	V	300	VLT/FORS1	24.04	0	0.06	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-27.241	3.97100	V	300	VLT/FORS1	24.12	0	0.12	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-27.245	3.97500	R	300	VLT/FORS1	23.64	0	0.05	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
