date	seeing	instrument	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit	time_frame	dtime	reference	integration	integration_unit
2003-Dec-20.247	0.3	FORS2	V	20.347	0	0.02	yyyy-month-deciday	unspecified	16.329305555555557	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-30.250	0.5	FORS1	V	20.37	0	0.05	yyyy-month-deciday	unspecified	26.33231481481481	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2004-Feb-29.193	0.7	FORS1	V	20.535	0	0.012	yyyy-month-deciday	unspecified	87.2753125	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2004-Mar-02.064	0.7	FORS1	V	20.539	0	0.015	yyyy-month-deciday	unspecified	89.14630787037036	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-15.314	0.6	FORS1	R	20.14	0	0.03	yyyy-month-deciday	unspecified	11.39630787037037	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-17.284	0.7	FORS1	R	20.131	0	0.016	yyyy-month-deciday	unspecified	13.36630787037037	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-23.295	0.5	FORS1	R	20.08	0	0.016	yyyy-month-deciday	unspecified	19.377314814814817	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-28.296	0.6	FORS1	R	20.089	0	0.01	yyyy-month-deciday	unspecified	24.378310185185185	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-30.241	0.5	FORS1	R	20.096	0	0.013	yyyy-month-deciday	unspecified	26.323310185185186	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2004-Jan-16.171	0.8	FORS1	R	20.27	0	0.013	yyyy-month-deciday	unspecified	43.25331018518519	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
