flux	obs_wavelength	redshift	rest_wavelength	date_unit	date	instrument	flux_unit	wavelength_unit	reference	time	time_unit	time_frame	dtime
1.30611e-18	4150.703	0.1055	3755.0689368169656	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.306248e-18	4153.7173	0.1055	3757.7959216906715	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.312423e-18	4156.7314	0.1055	3760.52272562785	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.308306e-18	4159.7456	0.1055	3763.249620033293	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.295017e-18	4162.76	0.1055	3765.976695375263	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.287241e-18	4165.7734	0.1055	3768.7028660345954	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.304015e-18	4168.7876	0.1055	3771.4297604400376	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.2961100000000001e-18	4171.802	0.1055	3774.156835782008	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.2852580000000001e-18	4174.816	0.1055	3776.883549250923	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.281694e-18	4177.83	0.1055	3779.6102627198384	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.287961e-18	4180.8438	0.1055	3782.3367952522253	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.291812e-18	4183.858	0.1055	3785.0636896576684	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.27602e-18	4186.872	0.1055	3787.790403126584	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.235462e-18	4189.886	0.1055	3790.517116595499	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.213081e-18	4192.9004	0.1055	3793.244191937469	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.201525e-18	4195.914	0.1055	3795.9705435333285	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
1.196088e-18	4198.928	0.1055	3798.697257002244	utc	2003-12-20T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	16.082314814814815	days	observer	NaN
