date	time	mag	mag_limit	dmag	band	instrument	date_unit	mag_unit	time_unit	reference	integration	integration_unit	extinction
2004-Sep-24.506	0.011	17.8	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.509	0.014	17.9	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.512	0.017	18.0	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.513	0.018	18.1	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.514	0.019	18.0	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.517	0.022	18.1	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.519	0.024	18.2	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.526	0.03	18.5	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.527	0.032	18.5	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.530	0.035	18.6	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.539	0.044	19.0	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.875	0.38	21.9	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.894	0.399	22.1	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.909	0.414	22.2	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Sep-24.926	0.43	22.1	0	0.1	R	Palomar 60 Inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
