date	time	mag	mag_limit	dmag	integration	band	instrument	date_unit	time_unit	mag_unit	dtime	reference	flux_density	dflux_density	integration_unit	flux_density_unit	flux	dflux	flux_unit
2005-05-25.0101	0.00810	16.51	0	0.39	10 × 32	V	0.2-m Bootes1-B	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0682	0.06800	17.5	0	0.165	300	V	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0955	0.09530	18.26	0	0.134	300	V	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1046	0.10440	18.253	0	0.072	300	V	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1347	0.13440	18.517	0	0.082	300	V	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1528	0.15260	19.107	0	0.293	300	V	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1619	0.16160	19.063	0	0.142	300	V	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1713	0.17110	18.941	0	0.09	300	V	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1940	0.19370	18.878	0	0.128	300	V	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-07-01.0386	37.03660	22.5	1	NaN	1000×5	V	2.5-m INT	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1092	0.10890	17.79	0	0.054	300	R	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1137	0.11690	17.969	0	0.043	900	R	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.7800	0.78220	20.86	0	0.079	720	R	2.0-m HCT	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.8108	0.81230	20.819	0	0.07	600	R	2.0-m HCT	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.8376	0.84260	20.85	0	0.079	1200	R	2.0-m HCT	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.9111	0.91430	21.37	0	0.27	900	R	1.0-m ST	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.9130	0.91440	21.399	0	0.23	600	R	2.0-m HCT	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2011-05-26.1508–30.0955	2133.12115	24.3	1	NaN	18×900	r	2.2-m CAHA	yyyy-mm-deciday-deciday	days	unspecified	1.9723500000000056	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0485	0.04830	16.533	0	0.093	300	I	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0544	0.05410	16.517	0	0.097	300	I	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0594	0.05910	16.656	0	0.043	300	I	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0638	0.06360	16.547	0	0.056	300	I	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0910	0.09070	17.249	0	0.098	300	I	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1001	0.09980	17.247	0	0.043	300	I	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1301	0.12990	17.643	0	0.054	300	I	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1574	0.15710	17.726	0	0.159	300	I	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1758	0.17560	18.002	0	0.098	300	I	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.1849	0.18470	18.024	0	0.09	300	I	1.2-m Mercator	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.5918	0.59150	19.52	0	0.119	300	I	1.0-m ST	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.6002	0.59990	19.2	0	0.059	300	I	1.0-m ST	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.7826	0.78420	20.26	0	0.1	630	I	2.0-m HCT	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.8216	0.82410	20.53	0	0.07	780	I	2.0-m HCT	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.8514	0.85630	20.299	0	0.1	1200	I	2.0-m HCT	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.8959	0.90080	20.829	0	0.119	1200	I	2.0-m HCT	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.8995	0.90280	20.559	0	0.27	900	I	1.0-m ST	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.9659	0.97440	20.627	0	0.129	1800	I	1.5-m OSN	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.9223	0.92560	20.739	0	0.28	900	I	1.0-m ST	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-27.1116	2.10960	22.39	0	0.54	200×12	I	1.5-m OSN	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-06-30.9721	36.04800	23.0	1	NaN	450×30	I	2.2-m CAHA	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2011-05-28.9855–30.0955	2134.53900	25.1	0	0.4	17×900	i	2.2-m CAHA	yyyy-mm-deciday-deciday	days	unspecified	0.5544999999999618	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2011-05-26.1508–30.0955	2133.12115	24.1	1	NaN	18×900	g	2.2-m CAHA	yyyy-mm-deciday-deciday	days	unspecified	1.9723500000000056	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0953	0.09360	15.779	0	0.068	60.240	H	3.5-m CAHA	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0963	0.09460	15.611	0	0.072	60.240	H	3.5-m CAHA	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0973	0.09560	15.713	0	0.064	60.240	H	3.5-m CAHA	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0983	0.09660	16.024	0	0.093	60.240	H	3.5-m CAHA	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0992	0.09760	15.737	0	0.067	60.240	H	3.5-m CAHA	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0866	0.08470	16.263	0	0.039	21.079	J	3.5-m CAHA	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0881	0.08650	16.337	0	0.034	60.240	J	3.5-m CAHA	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2005-05-25.0891	0.08750	16.257	0	0.035	60.240	J	3.5-m CAHA	yyyy-mm-deciday	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
