time	integration	mag	mag_limit	dmag	flux_density	dflux_density	band	time_unit	integration_unit	mag_unit	flux_density_unit	instrument	dtime
66	1.0	13.21	0	0.24	189.8	41.2	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
67	1.0	12.9	0	0.23	254.0	53.6	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
68	1.0	12.86	0	0.23	263.3	55.5	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
69	1.0	13.01	0	0.23	227.9	48.5	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
70	1.0	12.97	0	0.23	236.3	50.1	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
71	1.0	13.31	0	0.23	172.8	34.0	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
72	1.0	13.13	0	0.23	204.3	43.9	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
73	1.0	13.01	0	0.23	227.9	48.5	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
78	5.0	13.13	0	0.1	204.3	19.6	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
83	5.0	13.26	0	0.1	181.5	17.7	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
88	5.0	13.18	0	0.1	195.5	18.9	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
93	5.0	13.24	0	0.11	185.6	18.1	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
98	5.0	13.25	0	0.11	184.2	17.9	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
103	5.0	13.51	0	0.11	144.9	14.7	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
108	5.0	13.44	0	0.11	154.4	15.5	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
113	5.0	13.67	0	0.11	124.7	13.0	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
118	5.0	13.48	0	0.11	148.4	15.0	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
123	5.0	13.62	0	0.11	130.2	13.5	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
128	5.0	13.86	0	0.12	104.2	11.4	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
133	5.0	13.7	0	0.11	121.5	12.8	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
138	5.0	13.83	0	0.12	107.2	11.6	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
143	5.0	13.81	0	0.12	109.2	11.8	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
148	5.0	13.84	0	0.12	106.2	11.5	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
153	5.0	13.87	0	0.12	103.2	11.3	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
158	5.0	14.06	0	0.12	87.1	10.0	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
163	5.0	14.0	0	0.12	91.7	10.3	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
168	5.0	14.01	0	0.12	90.8	10.3	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
173	10.0	14.08	0	0.13	83.3	10.6	v	seconds	seconds	Vega	10-16 ergs cm-2 s-1 Å-1	UVOT	NaN
