time	integration	flux	dflux	energy_range	instrument	time_unit	integration_unit	flux_unit
133	5.0	122.7e-11	5.7e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
143	5.0	109.5e-11	5.4e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
153	5.0	101.4e-11	5.2e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
163	5.0	92.0e-11	4.9e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
173	5.0	86.8e-11	4.8e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
183	5.0	83.7e-11	4.7e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
193	5.0	77.2e-11	4.5e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
203	5.0	69.4e-11	4.3e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
213	5.0	69.2e-11	4.3e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
223	5.0	62.4e-11	4.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
233	5.0	65.0e-11	4.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
243	5.0	57.2e-11	3.9e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
253	5.0	54.6e-11	3.8e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
263	5.0	54.3e-11	3.8e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
278	10.0	50.8e-11	2.6e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
298	10.0	49.8e-11	2.6e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
318	10.0	45.4e-11	2.5e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
338	10.0	45.5e-11	2.5e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
358	10.0	46.9e-11	2.5e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
378	10.0	40.2e-11	2.3e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
398	10.0	41.7e-11	2.4e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
418	10.0	39.4e-11	2.3e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
438	10.0	39.9e-11	2.3e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
458	10.0	34.8e-11	2.2e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
478	10.0	31.9e-11	2.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
498	10.0	31.5e-11	2.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
518	10.0	32.5e-11	2.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
538	10.0	27.4e-11	1.9e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
558	10.0	32.4e-11	2.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
578	10.0	29.8e-11	2.0e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
598	10.0	28.5e-11	2.0e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
618	10.0	29.1e-11	2.0e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
638	10.0	24.8e-11	1.8e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
658	10.0	27.3e-11	1.9e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
678	10.0	24.6e-11	1.8e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
708	20.0	24.2e-11	1.3e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
748	20.0	20.4e-11	1.2e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
788	20.0	19.8e-11	1.2e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
828	20.0	19.0e-11	1.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
868	20.0	16.3e-11	1.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
908	20.0	18.5e-11	1.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
948	20.0	17.6e-11	1.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
988	20.0	16.3e-11	1.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
1028	20.0	15.5e-11	1.4	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
6009	150.0	1.072e-11	0.134e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
6309	150.0	1.331e-11	0.153e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
6609	150.0	0.987e-11	0.126e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
6909	150.0	1.010e-11	0.152e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
11809	350.0	0.560e-11	0.056e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
12509	350.0	0.482e-11	0.052e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
18109	350.0	0.331e-11	0.052e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
23859	2000.0	0.173e-11	0.039e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
27859	2000.0	0.108e-11	0.028e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
35859	2000.0	0.079e-11	0.021e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
81459	5400.0	0.0361e-11	0.0088e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
99102	11850.0	0.0273e-11	0.0078e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
165485	22000.0	0.0080e-11	0.0016e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
412515	42000.0	0.0013e-11	0.0006e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec
