col1	col2	col3	col4	col5	col6	col7
80.697	2.437	-5.085	2.652760242e-10	3.8900529e-11	-3.8900529e-11	7
5915.461	54.837	-56.537	2.058238482e-11	4.6267092e-12	-4.6267092e-12	7
6007.673	42.036	-37.375	2.60837112e-11	5.85303246e-12	-5.85303246e-12	7
6111.402	50.395	-61.693	2.11784925e-11	4.7860269e-12	-4.7860269e-12	7
6215.105	40.636	-53.308	2.488042626e-11	5.45670468e-12	-5.45670468e-12	7
6315.492	67.947	-59.752	1.781806608e-11	4.019493e-12	-4.019493e-12	7
6414.126	48.772	-30.686	3.18714873e-11	7.1392065e-12	-7.1392065e-12	7
6511.396	72.686	-48.498	1.861650954e-11	4.20705636e-12	-4.20705636e-12	7
6630.086	43.165	-46.004	2.378116422e-11	5.3269743e-12	-5.3269743e-12	7
6746.844	66.865	-73.594	1.55495208e-11	3.51396153e-12	-3.51396153e-12	7
6903.309	167.650	-89.599	1.599681042e-11	3.24330198e-12	-3.24330198e-12	7
11593.463	73.821	-68.169	7.04323356e-12	1.584737286e-12	-1.584737286e-12	7
11727.398	67.885	-60.114	9.54791808e-12	2.153614224e-12	-2.153614224e-12	7
11873.125	79.279	-77.842	1.113551958e-11	2.511340074e-12	-2.511340074e-12	7
12025.866	61.642	-73.462	8.61525198e-12	1.945532316e-12	-1.945532316e-12	7
12149.668	69.481	-62.160	7.35206316e-12	1.656290598e-12	-1.656290598e-12	7
12291.252	141.403	-72.103	6.75486516e-12	1.529013438e-12	-1.529013438e-12	7
12504.491	41.524	-71.837	1.143241584e-11	2.572183116e-12	-2.572183116e-12	7
12700.180	159.483	-154.165	5.57734434e-12	1.030197702e-12	-1.030197702e-12	7
17421.473	396.318	-1333.896	4.12708422e-12	1.044656832e-12	-1.044656832e-12	7
17954.761	150.978	-136.969	4.54851414e-12	1.025935896e-12	-1.025935896e-12	7
18335.884	306.033	-230.145	5.36236722e-12	1.05021534e-12	-1.05021534e-12	7
23448.708	983.075	-1572.257	2.65036083e-12	5.62449006e-13	-5.62449006e-13	7
28847.894	1366.972	-1188.779	1.890746568e-12	3.9538968e-13	-3.9538968e-13	7
36214.668	5582.510	-2766.244	1.489922988e-12	2.593518342e-13	-2.593518342e-13	7
77437.611	4861.244	-3183.286	6.39554454e-13	1.53422715e-13	-1.53422715e-13	7
97012.026	14169.314	-10775.984	3.6401997e-13	1.004502258e-13	-1.004502258e-13	7
155089.043	8177.795	-11603.770	1.269755166e-13	3.6860604e-14	-3.6860604e-14	7
170765.825	21172.129	-3604.686	1.322051232e-13	3.28995387e-14	-3.28995387e-14	7
380351.909	77993.858	-120258.954	2.737201278e-14	7.1669778e-15	-7.1669778e-15	7
911683.028	66923.573	-73782.509	2.196875502e-14	7.34316006e-15	-7.34316006e-15	7
1070196.191	139227.850	-87668.861	2.057661462e-14	6.6195345e-15	-6.6195345e-15	7
2187844.256	833640.686	-389482.001	8.20395e-15	0	0	8
