date	time mag	dmag	integration	band	instrument	extinction_corrected
February	20.8924	2.7434	18.63	0.06	18.14	0.06	8x150	B	LT	
February	21.0307	2.8817	18.57	0.03	18.07	0.03	2x30	B	VLT	
February	22.1219	3.9729	18.41	0.08	17.87	0.08	450	B	KAIT	
February	23.0550	4.9060	18.24	0.04	17.68	0.04	2x30	B	VLT	
February	23.1209	4.9719	18.29	0.08	17.74	0.08	450	B	KAIT	
February	24.1218	5.9728	18.13	0.08	17.56	0.08	450	B	KAIT	
February	25.0467	6.8977	18.11	0.04	17.54	0.04	2x30	B	VLT	
February	26.0398	7.8908	18.05	0.03	17.47	0.03	2x30	B	VLT	
February	27.0483	8.8993	18.01	0.03	17.43	0.03	 60	B	VLT	
February	28.0037	9.8547	18.07	0.04	17.49	0.04	2x30	B	VLT	
March	1.0337	10.8847	18.14	0.03	17.57	0.03	2x30	B	VLT	
March	2.0297	11.8807	18.22	0.03	17.66	0.03	2x30	B	VLT	
March	3.0330	12.8840	18.35	0.03	17.81	0.03	 2x30	B	VLT	
March	4.0303	13.8813	18.47	0.03	17.95	0.03	2x30	B	VLT	
March	5.0119	14.8629	18.61	0.03	18.11	0.03	2x30	B	VLT	
March	6.0364	15.8874	18.66	0.03	18.17	0.03	2x30	B	VLT	
March	7.8899	17.7409	18.97	0.07	18.56	0.07	5x100	B	LT	
March	8.0332	17.8842	19.03	0.03	18.64	0.04	60	B	VLT	
March	8.9983	18.8493	19.10	0.03	18.73	0.04	60	B	VLT	
March	10.0009	19.8519	19.26	0.04	18.95	0.05	60	B	VLT	
March	11.9977	21.8487	19.40	0.04	19.16	0.05	60+30	B	VLT	
March	13.0145	22.8655	19.57	0.05	19.43	0.07	60	B	VLT	
March	13.9976	23.8486	19.57	0.05	19.43	0.07	60	B	VLT	 \hline
February	20.8787	2.7279	18.19	0.06	17.86	0.06	5x150	V	LT	
February	21.0323	2.8833	18.17	0.03	17.83	0.03	2x30	V	VLT	
February	22.1277	3.9787	17.92	0.08	17.54	0.08	300	V	KAIT	
February	23.0573	4.9083	17.80	0.03	17.41	0.03	2x30	V	VLT	
February	23.1266	4.9776	17.77	0.08	17.37	0.08	300	V	KAIT	
February	24.1275	5.9785	17.69	0.08	17.28	0.08	300	V	KAIT	
February	24.8713	6.7223	17.61	0.06	17.19	0.06	5x100	V	LT	
February	25.0483	6.8993	17.58	0.03	17.16	0.03	2x30	V	VLT	
February	26.0413	7.8923	17.51	0.03	17.08	0.03	2x30	V	VLT	
February	26.8720	8.7230	17.48	0.06	17.05	0.06	5x100	V	LT	
February	27.0156	8.8666	17.45	0.03	17.02	0.03	60	V	VLT	
February	27.0497	8.9007	17.46	0.03	17.03	0.03	60	V	VLT	
February	28.0053	9.8563	17.45	0.03	17.02	0.03	2x30	V	VLT	
March	1.0353	10.8863	17.45	0.03	17.02	0.03	2x30	V	VLT	
March	2.0313	11.8823	17.47	0.03	17.04	0.03	2x30	V	VLT	
March	2.8673	12.7183	17.50	0.06	17.07	0.06	3x100	V	LT	
March	3.0345	12.8855	17.51	0.03	17.08	0.03	2x30	V	VLT	
March	4.0331	13.8841	17.56	0.03	17.14	0.03	2x30	V	VLT	
March	5.0134	14.8644	17.60	0.03	17.18	0.03	2x30	V	VLT	
March	6.0379	15.8889	17.68	0.03	17.27	0.03	2x30	V	VLT	
March	6.8912	16.7422	17.67	0.08	17.26	0.08	2x100	V	LT	
March	8.0018	17.8528	17.85	0.03	17.46	0.03	60	V	VLT	
March	8.0347	17.8857	17.86	0.03	17.47	0.03	60	V	VLT	
March	8.9998	18.8508	17.92	0.03	17.54	0.03	60	V	VLT	
March	9.0067	18.8577	17.92	0.03	17.54	0.03	60	V	VLT	
March	10.0024	19.8534	18.01	0.03	17.65	0.03	60	V	VLT	
March	10.0080	19.8590	17.98	0.03	17.61	0.03	60	V	VLT	
March	11.9987	21.8497	18.14	0.03	17.80	0.03	60+30	V	VLT	
March	13.0157	22.8667	18.22	0.04	17.89	0.04	60	V	VLT	
March	13.9991	23.8501	18.30	0.03	17.99	0.03	60	V	VLT	
March	14.9992	24.8502	18.41	0.03	18.12	0.03	2x30	V	VLT	
March	16.0023	25.8533	18.42	0.05	18.14	0.05	2x30	V	VLT	 \hline
February	20.8578	2.7088	18.10	0.06	17.88	0.06	6x150	R	LT	
