time	instrument	band	mag	mag_limit	dmag	mag_unit	time_unit	mag_type	time_frame	extinction_corrected	dtime
0.452	PROMPT	B	18.22	0	0.09	Vega	days	apparent	observer	True	NaN
0.452	PROMPT	z	17.36	0	0.08	AB	days	apparent	observer	True	NaN
0.481	PROMPT	z	17.29	0	0.07	AB	days	apparent	observer	True	NaN
0.515	PROMPT	z	17.22	0	0.06	AB	days	apparent	observer	True	NaN
0.551	PROMPT	z	17.49	0	0.07	AB	days	apparent	observer	True	NaN
0.571	PROMPT	B	18.4	0	0.04	Vega	days	apparent	observer	True	NaN
0.594	PROMPT	z	17.49	0	0.07	AB	days	apparent	observer	True	NaN
1.574	PROMPT	z	18.43	0	0.17	AB	days	apparent	observer	True	NaN
4.601	Gemini-S	R_{c}	20.24	0	0.04	Vega	days	apparent	observer	True	NaN
4.613	Gemini-S	g	20.91	0	0.04	AB	days	apparent	observer	True	NaN
4.626	Gemini-S	I_{c}	19.92	0	0.03	Vega	days	apparent	observer	True	NaN
4.638	Gemini-S	z	20.51	0	0.04	AB	days	apparent	observer	True	NaN
17.598	CTIO	R_{c}	21.9	0	0.06	Vega	days	apparent	observer	True	NaN
46.583	Gemini-S	R_{c}	23.29	0	0.06	Vega	days	apparent	observer	True	NaN
49.554	Gemini-S	R_{c}	23.32	0	0.05	Vega	days	apparent	observer	True	NaN
0.452	PROMPT	B	18.22	0	0.09	Vega	days	apparent	observer	True	NaN
0.452	PROMPT	z	17.36	0	0.08	AB	days	apparent	observer	True	NaN
0.481	PROMPT	z	17.29	0	0.07	AB	days	apparent	observer	True	NaN
0.515	PROMPT	z	17.22	0	0.06	AB	days	apparent	observer	True	NaN
0.551	PROMPT	z	17.49	0	0.07	AB	days	apparent	observer	True	NaN
0.571	PROMPT	B	18.4	0	0.04	Vega	days	apparent	observer	True	NaN
0.594	PROMPT	z	17.49	0	0.07	AB	days	apparent	observer	True	NaN
1.574	PROMPT	z	18.43	0	0.17	AB	days	apparent	observer	True	NaN
4.601	Gemini-S	R_{c}	20.24	0	0.04	Vega	days	apparent	observer	True	NaN
4.613	Gemini-S	g	20.91	0	0.04	AB	days	apparent	observer	True	NaN
4.626	Gemini-S	I_{c}	19.92	0	0.03	Vega	days	apparent	observer	True	NaN
4.638	Gemini-S	z	20.51	0	0.04	AB	days	apparent	observer	True	NaN
17.598	CTIO	R_{c}	21.9	0	0.06	Vega	days	apparent	observer	True	NaN
46.583	Gemini-S	R_{c}	23.29	0	0.06	Vega	days	apparent	observer	True	NaN
49.554	Gemini-S	R_{c}	23.32	0	0.05	Vega	days	apparent	observer	True	NaN
