time	integration	mag	mag_limit	dmag	band	instrument	time_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
120	9	17.07	0	0.31	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
715	10	18.27	0	0.38	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
696	20	16.48	0	0.12	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
673	20	16.92	0	0.2	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
649	18	16.81	0	0.24	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
749	20	17.54	0	0.25	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
440	390	17.37	0	0.06	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1451	20	18.03	0	0.23	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
844	20	16.88	0	0.15	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
820	20	16.89	0	0.2	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
796	20	17.57	0	0.3	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1489	20	16.95	0	0.19	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
773	19	17.36	0	0.26	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1609	20	18.1	0	0.26	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1427	20	16.85	0	0.16	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1403	20	17.47	0	0.26	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1379	20	17.12	0	0.26	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1647	20	17.39	0	0.23	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1164	393	17.32	0	0.06	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1767	20	18.26	0	0.3	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1585	20	16.85	0	0.15	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1561	20	17.31	0	0.24	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1537	20	16.85	0	0.23	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
