time	band	mag	mag_limit	dmag	instrument	time_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
140	UWh	17.27	0	0.18	UVOT	seconds	AB	apparent	observer	False	NaN
150	UWh	17.51	0	0.21	UVOT	seconds	AB	apparent	observer	False	NaN
160	UWh	17.93	0	0.27	UVOT	seconds	AB	apparent	observer	False	NaN
170	UWh	17.86	0	0.26	UVOT	seconds	AB	apparent	observer	False	NaN
180	UWh	18.01	0	0.3	UVOT	seconds	AB	apparent	observer	False	NaN
190	UWh	18.37	1	NaN	UVOT	seconds	AB	apparent	observer	False	NaN
200	UWh	18.36	1	NaN	UVOT	seconds	AB	apparent	observer	False	NaN
210	UWh	17.69	0	0.23	UVOT	seconds	AB	apparent	observer	False	NaN
220	UWh	18.17	0	0.35	UVOT	seconds	AB	apparent	observer	False	NaN
230	UWh	17.44	0	0.21	UVOT	seconds	AB	apparent	observer	False	NaN
278	v	17.5	0	0.3	UVOT	seconds	AB	apparent	observer	False	NaN
303	v	17.81	1	NaN	UVOT	seconds	AB	apparent	observer	False	NaN
328	v	17.32	0	0.26	UVOT	seconds	AB	apparent	observer	False	NaN
353	v	17.7	1	NaN	UVOT	seconds	AB	apparent	observer	False	NaN
378	v	17.79	1	NaN	UVOT	seconds	AB	apparent	observer	False	NaN
403	v	17.17	0	0.24	UVOT	seconds	AB	apparent	observer	False	NaN
428	v	16.99	0	0.22	UVOT	seconds	AB	apparent	observer	False	NaN
453	v	17.03	0	0.22	UVOT	seconds	AB	apparent	observer	False	NaN
478	v	17.26	0	0.27	UVOT	seconds	AB	apparent	observer	False	NaN
503	v	17.12	0	0.23	UVOT	seconds	AB	apparent	observer	False	NaN
528	v	16.88	0	0.19	UVOT	seconds	AB	apparent	observer	False	NaN
553	v	17.42	0	0.31	UVOT	seconds	AB	apparent	observer	False	NaN
578	v	17.2	0	0.26	UVOT	seconds	AB	apparent	observer	False	NaN
603	v	17.46	0	0.3	UVOT	seconds	AB	apparent	observer	False	NaN
628	v	16.89	0	0.21	UVOT	seconds	AB	apparent	observer	False	NaN
778	v	17.27	0	0.28	UVOT	seconds	AB	apparent	observer	False	NaN
978	v	17.59	0	0.34	UVOT	seconds	AB	apparent	observer	False	NaN
1003	v	17.66	0	0.33	UVOT	seconds	AB	apparent	observer	False	NaN
1028	v	17.55	0	0.35	UVOT	seconds	AB	apparent	observer	False	NaN
1053	v	16.94	0	0.19	UVOT	seconds	AB	apparent	observer	False	NaN
1078	v	17.6	0	0.32	UVOT	seconds	AB	apparent	observer	False	NaN
1103	v	17.02	0	0.21	UVOT	seconds	AB	apparent	observer	False	NaN
1128	v	17.4	0	0.29	UVOT	seconds	AB	apparent	observer	False	NaN
1153	v	17.73	1	NaN	UVOT	seconds	AB	apparent	observer	False	NaN
1178	v	17.37	0	0.27	UVOT	seconds	AB	apparent	observer	False	NaN
1203	v	16.97	0	0.2	UVOT	seconds	AB	apparent	observer	False	NaN
1228	v	17.43	0	0.29	UVOT	seconds	AB	apparent	observer	False	NaN
1253	v	16.86	0	0.19	UVOT	seconds	AB	apparent	observer	False	NaN
1278	v	17.7	1	NaN	UVOT	seconds	AB	apparent	observer	False	NaN
1303	v	16.94	0	0.19	UVOT	seconds	AB	apparent	observer	False	NaN
1328	v	17.42	0	0.29	UVOT	seconds	AB	apparent	observer	False	NaN
1353	v	17.08	0	0.22	UVOT	seconds	AB	apparent	observer	False	NaN
1503	v	17.19	1	NaN	UVOT	seconds	AB	apparent	observer	False	NaN
1528	v	17.81	1	NaN	UVOT	seconds	AB	apparent	observer	False	NaN
1678	v	16.96	0	0.27	UVOT	seconds	AB	apparent	observer	False	NaN
