time	band	mag	mag_limit	dmag	instrument	time_unit	mag_unit	dtime	reference
0.00051	C	16.75	1	NaN	TAROT	days	unspecified	4.5	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00061	C	16.45	1	NaN	TAROT	days	unspecified	4.199999999999999	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00071	C	16.25	1	NaN	TAROT	days	unspecified	4.200000000000003	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00081	C	16.75	1	NaN	TAROT	days	unspecified	4.5	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00091	C	16.75	1	NaN	TAROT	days	unspecified	4.199999999999996	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00101	C	16.75	1	NaN	TAROT	days	unspecified	4.200000000000003	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.0011	V	17.9	0	0.1	Swift/UVOT	days	unspecified	5.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00134	C	16.64	0	0.18	TAROT	days	unspecified	14.950000000000005	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00176	C	16.46	0	0.13	TAROT	days	unspecified	14.400000000000006	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00183	V	17.4	0	0.1	Swift/UVOT	days	unspecified	49.5	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00218	C	16.03	0	0.11	TAROT	days	unspecified	15.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00395	C	16.38	0	0.12	TAROT	days	unspecified	45.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00506	C	16.73	0	0.17	TAROT	days	unspecified	44.94999999999999	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00621	R	16.84	0	0.23	TAROT	days	unspecified	45.349999999999966	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00735	C	17.05	0	0.31	TAROT	days	unspecified	45.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00808	B	18.8	0	0.1	Swift/UVOT	days	unspecified	5.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00846	C	17.05	0	0.26	TAROT	days	unspecified	45.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.01082	C	17.5	0	0.41	TAROT	days	unspecified	45.05000000000001	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.01193	C	17.65	0	0.47	TAROT	days	unspecified	44.69999999999999	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.12549	R	19.7	0	0.4	2-m Faulkes Telescope South	days	unspecified	312.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.15038	I	19.3	0	0.5	2-m Faulkes Telescope South	days	unspecified	315.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00024	R	17.3	0	0.1	ROTSE-III	days	unspecified	2.5	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00037	C	17.2	1	NaN	TAROT	days	unspecified	9.15	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.0005	C	15.9	1	NaN	TAROT	days	unspecified	1.5	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00075	C	17.2	1	NaN	TAROT	days	unspecified	20.85	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00119	R	18.21	0	0.02	Crni Vrh 60cm	days	unspecified	45.00000000000001	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00122	C	18.38	0	0.47	TAROT	days	unspecified	15.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00165	C	17.76	0	0.32	TAROT	days	unspecified	14.650000000000006	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00208	C	17.99	0	0.35	TAROT	days	unspecified	15.299999999999995	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00224	V	18.64	0	0.3	Swift/UVOT	days	unspecified	122.5	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.0025	C	17.61	0	0.26	TAROT	days	unspecified	15.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00293	C	17.15	0	0.2	TAROT	days	unspecified	15.049999999999985	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00311	B	18.32	0	0.04	Crni Vrh 60cm	days	unspecified	90.5	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.0038	C	17.31	0	0.13	TAROT	days	unspecified	45.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00492	C	17.02	0	0.11	TAROT	days	unspecified	45.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00501	R	17.01	0	0.02	Crni Vrh 60cm	days	unspecified	45.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00595	R	16.9	0	0.12	OPTIMA-Burst/1.3m Skinakas Observatory	days	unspecified	12.5	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00607	R	16.78	0	0.09	TAROT	days	unspecified	45.00000000000003	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00609	R	16.75	0	0.02	RTT150	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00692	R	16.86	0	0.03	RTT150	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00692	B	17.51	0	0.04	Crni Vrh 60cm	days	unspecified	89.99999999999997	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00721	C	16.94	0	0.11	TAROT	days	unspecified	45.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00769	R	16.99	0	0.03	RTT150	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.0077	R	17.09	0	0.16	OPTIMA-Burst/1.3m Skinakas Observatory	days	unspecified	12.5	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00833	C	17.06	0	0.11	TAROT	days	unspecified	45.29999999999996	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
0.00851	R	17.05	0	0.04	RTT150	days	unspecified	0.0	https://ui.adsabs.harvard.edu/abs/2008A%26A...483..847K/abstract
