band	instrument	time	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	extinction	dtime	reference
R	S-Lotis	0.002386111111111111	150.0	19.6	0	0.21	0.0476	0.0092	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
B	FTN	0.0346087962962963	100.2	20.86	0	0.3	0.0205	0.0057	days	seconds	AB	apparent	milliJy	observer	False	0.12	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	S-Lotis	0.0027256944444444446	120.0	19.75	0	0.23	0.0415	0.0088	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
B	FTN	0.0390625	120.0	21.62	0	0.35	0.0102	0.0033	days	seconds	AB	apparent	milliJy	observer	False	0.12	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	S-Lotis	0.005275694444444444	60.0	18.45	0	0.12	0.1375	0.0152	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
B	FTN	0.04522916666666667	180.0	21.69	0	0.29	0.0095	0.0025	days	seconds	AB	apparent	milliJy	observer	False	0.12	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	S-Lotis	0.006054166666666667	60.0	18.65	0	0.12	0.1143	0.0126	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
B	FTN	0.05561805555555555	300.0	21.9	0	0.23	0.0078	0.0016	days	seconds	AB	apparent	milliJy	observer	False	0.12	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	S-Lotis	0.007561805555555556	120.0	18.76	0	0.11	0.1033	0.0104	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
B	FTN	0.06729166666666667	240.0	22.17	0	0.3	0.0061	0.0017	days	seconds	AB	apparent	milliJy	observer	False	0.12	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	S-Lotis	0.009070833333333334	120.0	18.84	0	0.11	0.0959	0.0097	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
B	Kiso	0.04081944444444445	300.0	21.8	0	0.28	0.0086	0.0022	days	seconds	AB	apparent	milliJy	observer	False	0.12	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	S-Lotis	0.01108888888888889	240.0	18.9	0	0.08	0.0908	0.0067	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
B	Kiso	0.051513888888888894	300.0	21.5	0	0.24	0.0114	0.0025	days	seconds	AB	apparent	milliJy	observer	False	0.12	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	S-Lotis	0.014186111111111111	240.0	19.02	0	0.08	0.0813	0.006	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
B	Kiso	0.06209027777777778	300.0	22.2	0	0.48	0.0059	0.0027	days	seconds	AB	apparent	milliJy	observer	False	0.12	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	S-Lotis	0.017281944444444447	240.0	19.14	0	0.14	0.0728	0.0094	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
B	Kiso	0.07263888888888889	300.0	22.49	0	0.48	0.0045	0.0021	days	seconds	AB	apparent	milliJy	observer	False	0.12	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	S-Lotis	0.020609027777777778	300.0	19.27	0	0.1	0.0646	0.0059	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	S-Lotis	0.024630555555555555	300.0	19.58	0	0.13	0.0485	0.0058	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	KAIT	0.003642361111111111	120.0	19.811	0	0.55	0.047	0.0248	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.002545138888888889	19.98	20.45	0	0.88	0.0218	0.0196	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.025384027777777776	60.0	19.961	0	0.11	0.041	0.0041	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.004311111111111111	45.0	19.19	0	0.17	0.0695	0.0109	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.026658333333333336	60.0	19.857	0	0.11	0.0451	0.0045	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.006759027777777778	60.0	18.59	0	0.08	0.1208	0.0089	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.027862500000000002	60.0	20.112	0	0.12	0.0356	0.0039	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.015034722222222222	60.0	19.07	0	0.14	0.0776	0.01	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.029068055555555555	60.0	20.144	0	0.12	0.0346	0.0038	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.016666666666666666	60.0	19.29	0	0.18	0.0634	0.0105	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.030275694444444445	60.0	20.237	0	0.13	0.0318	0.0038	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.018333333333333333	60.0	19.26	0	0.18	0.0652	0.0108	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.03148333333333333	60.0	20.141	0	0.12	0.0347	0.0038	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.021230555555555555	180.0	19.57	0	0.22	0.049	0.0099	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.032690972222222225	60.0	19.99	0	0.11	0.0399	0.004	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.025335416666666666	120.0	19.97	0	0.25	0.0339	0.0078	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.03390694444444444	60.0	20.009	0	0.11	0.0392	0.0039	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.028592361111111114	300.0	20.15	0	0.21	0.0287	0.0055	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.03511527777777778	60.0	20.182	0	0.13	0.0334	0.004	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.03309236111111111	360.0	20.57	0	0.3	0.0195	0.0054	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.03632986111111111	60.0	19.956	0	0.11	0.0412	0.0041	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KAIT	0.04004236111111111	7.0	20.71	0	0.33	0.0171	0.0053	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.037537499999999994	60.0	20.502	0	0.17	0.0249	0.0039	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kuiper	0.019222916666666666	60.0	19.54	0	0.07	0.0503	0.0032	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
