band	instrument	time	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	extinction	dtime
R	S-Lotis	206.16	150.0	19.6	0	0.21	0.0476	0.0092	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
B	FTN	2990.2	100.2	20.86	0	0.3	0.0205	0.0057	seconds	seconds	AB	apparent	milliJy	observer	False	0.12	NaN
R	S-Lotis	235.5	120.0	19.75	0	0.23	0.0415	0.0088	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
B	FTN	3375.0	120.0	21.62	0	0.35	0.0102	0.0033	seconds	seconds	AB	apparent	milliJy	observer	False	0.12	NaN
R	S-Lotis	455.82	60.0	18.45	0	0.12	0.1375	0.0152	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
B	FTN	3907.8	180.0	21.69	0	0.29	0.0095	0.0025	seconds	seconds	AB	apparent	milliJy	observer	False	0.12	NaN
R	S-Lotis	523.08	60.0	18.65	0	0.12	0.1143	0.0126	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
B	FTN	4805.4	300.0	21.9	0	0.23	0.0078	0.0016	seconds	seconds	AB	apparent	milliJy	observer	False	0.12	NaN
R	S-Lotis	653.34	120.0	18.76	0	0.11	0.1033	0.0104	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
B	FTN	5814.0	240.0	22.17	0	0.3	0.0061	0.0017	seconds	seconds	AB	apparent	milliJy	observer	False	0.12	NaN
R	S-Lotis	783.72	120.0	18.84	0	0.11	0.0959	0.0097	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
B	Kiso	3526.8	300.0	21.8	0	0.28	0.0086	0.0022	seconds	seconds	AB	apparent	milliJy	observer	False	0.12	NaN
R	S-Lotis	958.08	240.0	18.9	0	0.08	0.0908	0.0067	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
B	Kiso	4450.8	300.0	21.5	0	0.24	0.0114	0.0025	seconds	seconds	AB	apparent	milliJy	observer	False	0.12	NaN
R	S-Lotis	1225.68	240.0	19.02	0	0.08	0.0813	0.006	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
B	Kiso	5364.6	300.0	22.2	0	0.48	0.0059	0.0027	seconds	seconds	AB	apparent	milliJy	observer	False	0.12	NaN
R	S-Lotis	1493.16	240.0	19.14	0	0.14	0.0728	0.0094	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
B	Kiso	6276.0	300.0	22.49	0	0.48	0.0045	0.0021	seconds	seconds	AB	apparent	milliJy	observer	False	0.12	NaN
R	S-Lotis	1780.62	300.0	19.27	0	0.1	0.0646	0.0059	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
R	S-Lotis	2128.08	300.0	19.58	0	0.13	0.0485	0.0058	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
V	KAIT	314.7	120.0	19.811	0	0.55	0.047	0.0248	seconds	seconds	AB	apparent	milliJy	observer	False	0.09	NaN
R	KAIT	219.9	19.98	20.45	0	0.88	0.0218	0.0196	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
V	Kuiper	2193.18	60.0	19.961	0	0.11	0.041	0.0041	seconds	seconds	AB	apparent	milliJy	observer	False	0.09	NaN
R	KAIT	372.48	45.0	19.19	0	0.17	0.0695	0.0109	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
V	Kuiper	2303.28	60.0	19.857	0	0.11	0.0451	0.0045	seconds	seconds	AB	apparent	milliJy	observer	False	0.09	NaN
R	KAIT	583.98	60.0	18.59	0	0.08	0.1208	0.0089	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
V	Kuiper	2407.32	60.0	20.112	0	0.12	0.0356	0.0039	seconds	seconds	AB	apparent	milliJy	observer	False	0.09	NaN
R	KAIT	1299.0	60.0	19.07	0	0.14	0.0776	0.01	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
V	Kuiper	2511.48	60.0	20.144	0	0.12	0.0346	0.0038	seconds	seconds	AB	apparent	milliJy	observer	False	0.09	NaN
R	KAIT	1440.0	60.0	19.29	0	0.18	0.0634	0.0105	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
