time	mag	mag_limit	dmag	band	time_frame	time_unit	mag_type	mag_unit	extinction_corrected	instrument	dtime
0.322	22.54	0	0.14	g'	observer	days	apparent	AB	False	GROND	NaN
0.322	22.2	0	0.08	r'	observer	days	apparent	AB	False	GROND	NaN
0.322	21.95	0	0.16	i'	observer	days	apparent	AB	False	GROND	NaN
0.322	21.84	0	0.24	z'	observer	days	apparent	AB	False	GROND	NaN
0.33	22.63	0	0.06	g'	observer	days	apparent	AB	False	GROND	NaN
0.33	22.21	0	0.06	r'	observer	days	apparent	AB	False	GROND	NaN
0.33	21.97	0	0.11	i'	observer	days	apparent	AB	False	GROND	NaN
0.33	21.88	0	0.16	z'	observer	days	apparent	AB	False	GROND	NaN
0.347	22.57	0	0.03	g'	observer	days	apparent	AB	False	GROND	NaN
0.347	22.31	0	0.03	r'	observer	days	apparent	AB	False	GROND	NaN
0.347	22.13	0	0.06	i'	observer	days	apparent	AB	False	GROND	NaN
0.347	21.89	0	0.07	z'	observer	days	apparent	AB	False	GROND	NaN
0.369	22.64	0	0.03	g'	observer	days	apparent	AB	False	GROND	NaN
0.369	22.44	0	0.04	r'	observer	days	apparent	AB	False	GROND	NaN
0.369	22.17	0	0.06	i'	observer	days	apparent	AB	False	GROND	NaN
0.369	22.08	0	0.1	z'	observer	days	apparent	AB	False	GROND	NaN
0.392	22.72	0	0.03	g'	observer	days	apparent	AB	False	GROND	NaN
0.392	22.44	0	0.03	r'	observer	days	apparent	AB	False	GROND	NaN
0.392	22.3	0	0.05	i'	observer	days	apparent	AB	False	GROND	NaN
0.392	22.13	0	0.08	z'	observer	days	apparent	AB	False	GROND	NaN
0.392	21.66	0	0.13	J	observer	days	apparent	AB	False	GROND	NaN
0.392	21.44	0	0.26	H	observer	days	apparent	AB	False	GROND	NaN
0.392	21.31	0	0.35	Ks	observer	days	apparent	AB	False	GROND	NaN
0.415	22.73	0	0.03	g'	observer	days	apparent	AB	False	GROND	NaN
0.415	22.49	0	0.03	r'	observer	days	apparent	AB	False	GROND	NaN
0.415	22.33	0	0.06	i'	observer	days	apparent	AB	False	GROND	NaN
0.415	22.07	0	0.07	z'	observer	days	apparent	AB	False	GROND	NaN
