time	band	integration	mag	mag_limit	dmag	instrument	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	dtime
738.7	V	300 s x 1	18.45	0	0.1	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
948.9	V	300 s x 1	18.6	0	0.1	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
1252.8	V	300 s x 1	19.13	0	0.12	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
1578.5	V	300 s x 1	19.74	0	0.15	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
1887.8	V	300 s x 1	19.77	0	0.15	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
2204.9	V	300 s x 1	19.67	0	0.15	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
2522.0	V	300 s x 1	19.67	0	0.15	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
2839.1	V	300 s x 1	20.15	0	0.15	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
3157.1	V	300 s x 1	20.35	0	0.25	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
3474.1	V	300 s x 1	20.18	0	0.25	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
3791.2	V	300 s x 1	20.05	0	0.25	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
4425.4	V	300 s x 3	20.67	0	0.2	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
5377.5	V	300 s x 3	20.31	0	0.2	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
7454.6	V	600 s x 5	20.89	0	0.3	Xinglong-1m	seconds	observer	unspecified	apparent	False	NaN
90.9	C_{r}	5 s x 5	17.1	0	0.2	ROTSE-IIIc	seconds	observer	unspecified	apparent	False	NaN
147.0	C_{r}	5 s x 5	17.4	0	0.3	ROTSE-IIIc	seconds	observer	unspecified	apparent	False	NaN
273.3	C_{r}	20 s x 5	17.1	0	0.1	ROTSE-IIIc	seconds	observer	unspecified	apparent	False	NaN
96.2	R	5 s x 1	16.79	0	0.15	TAOSB	seconds	observer	unspecified	apparent	False	NaN
104.4	R	5 s x 1	17.01	0	0.17	TAOSB	seconds	observer	unspecified	apparent	False	NaN
112.6	R	5 s x 1	16.83	0	0.14	TAOSB	seconds	observer	unspecified	apparent	False	NaN
120.8	R	5 s x 1	17.05	0	0.15	TAOSB	seconds	observer	unspecified	apparent	False	NaN
129.0	R	5 s x 1	17.0	0	0.16	TAOSB	seconds	observer	unspecified	apparent	False	NaN
137.2	R	5 s x 1	16.86	0	0.17	TAOSB	seconds	observer	unspecified	apparent	False	NaN
145.4	R	5 s x 1	16.96	0	0.16	TAOSB	seconds	observer	unspecified	apparent	False	NaN
157.7	R	5 s x 2	17.17	0	0.12	TAOSB	seconds	observer	unspecified	apparent	False	NaN
174.1	R	5 s x 2	17.17	0	0.18	TAOSB	seconds	observer	unspecified	apparent	False	NaN
190.5	R	5 s x 2	16.96	0	0.14	TAOSB	seconds	observer	unspecified	apparent	False	NaN
206.9	R	5 s x 2	17.11	0	0.15	TAOSB	seconds	observer	unspecified	apparent	False	NaN
223.3	R	5 s x 2	17.14	0	0.12	TAOSB	seconds	observer	unspecified	apparent	False	NaN
231.7	R	5 s x 2	17.16	0	0.12	TAOSB	seconds	observer	unspecified	apparent	False	NaN
256.1	R	5 s x 2	17.11	0	0.14	TAOSB	seconds	observer	unspecified	apparent	False	NaN
272.5	R	5 s x 2	17.42	0	0.18	TAOSB	seconds	observer	unspecified	apparent	False	NaN
288.9	R	5 s x 2	17.14	0	0.16	TAOSB	seconds	observer	unspecified	apparent	False	NaN
309.5	R	5 s x 3	17.52	0	0.22	TAOSB	seconds	observer	unspecified	apparent	False	NaN
330.3	R	5 s x 3	17.28	0	0.13	TAOSB	seconds	observer	unspecified	apparent	False	NaN
359.7	R	5 s x 3	17.63	0	0.15	TAOSB	seconds	observer	unspecified	apparent	False	NaN
384.6	R	5 s x 3	17.48	0	0.17	TAOSB	seconds	observer	unspecified	apparent	False	NaN
409.2	R	5 s x 3	17.45	0	0.22	TAOSB	seconds	observer	unspecified	apparent	False	NaN
437.9	R	5 s x 4	17.75	0	0.18	TAOSB	seconds	observer	unspecified	apparent	False	NaN
470.7	R	5 s x 4	17.57	0	0.15	TAOSB	seconds	observer	unspecified	apparent	False	NaN
520.3	R	5 s x 4	18.42	0	0.31	TAOSB	seconds	observer	unspecified	apparent	False	NaN
573.2	R	5 s x 7	17.81	0	0.19	TAOSB	seconds	observer	unspecified	apparent	False	NaN
630.7	R	5 s x 7	18.14	0	0.24	TAOSB	seconds	observer	unspecified	apparent	False	NaN
701.1	R	5 s x 7	18.15	0	0.22	TAOSB	seconds	observer	unspecified	apparent	False	NaN
824.7	R	5 s x 20	18.36	0	0.22	TAOSB	seconds	observer	unspecified	apparent	False	NaN
1112.4	R	5 s x 50	19.01	0	0.29	TAOSB	seconds	observer	unspecified	apparent	False	NaN
1894.6	R	5 s x 140	19.23	0	0.26	TAOSB	seconds	observer	unspecified	apparent	False	NaN
124.4	C_{r}	20 s x 1	17.13	0	0.12	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
160.7	C_{r}	20 s x 1	16.82	0	0.1	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
184.0	C_{r}	20 s x 1	17.3	0	0.12	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
206.5	C_{r}	20 s x 1	17.04	0	0.12	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
228.9	C_{r}	20 s x 1	17.37	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
252.3	C_{r}	20 s x 1	17.31	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
274.8	C_{r}	20 s x 1	17.26	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
297.2	C_{r}	20 s x 1	17.43	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
343.0	C_{r}	20 s x 1	17.42	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
366.3	C_{r}	20 s x 1	17.48	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
388.8	C_{r}	20 s x 1	17.62	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
412.1	C_{r}	20 s x 1	17.35	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
434.6	C_{r}	20 s x 1	17.68	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
457.0	C_{r}	20 s x 1	17.87	0	0.2	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
480.4	C_{r}	20 s x 1	17.8	0	0.2	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
502.8	C_{r}	20 s x 1	17.87	0	0.2	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
525.3	C_{r}	20 s x 1	17.66	0	0.25	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
548.6	C_{r}	20 s x 1	18.44	0	0.3	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
571.1	C_{r}	20 s x 1	18.12	0	0.25	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
632.4	R	60 s x 1	18.0	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
711.1	R	60 s x 1	18.28	0	0.2	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
789.7	R	60 s x 1	18.34	0	0.2	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
867.5	R	60 s x 1	18.46	0	0.2	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
946.2	R	60 s x 1	18.4	0	0.2	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
1063.6	R	60 s x 2	18.72	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
1262.3	R	60 s x 3	19.13	0	0.2	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
1740.1	R	300 s x 2	19.11	0	0.1	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
2376.0	R	300 s x 2	19.67	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
3170.0	R	300 s x 3	19.51	0	0.15	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
4123.0	R	300 s x 3	20.03	0	0.2	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
5243.6	R	300 s x 4	20.03	0	0.2	TNT-0.8m	seconds	observer	unspecified	apparent	False	NaN
186.0	R_{c}	60 s x 1	17.11	0	0.11	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
280.5	R_{c}	60 s x 2	17.46	0	0.11	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
536.5	R_{c}	60 s x 5	18.03	0	0.15	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
911.5	R_{c}	60 s x 5	18.49	0	0.23	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
1934.5	R_{c}	60 s x 19	19.21	0	0.25	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
6372.0	R_{c}	300 s x 6	20.3	0	0.3	LOT	seconds	observer	unspecified	apparent	False	NaN
69620.3	R_{c}	300 s x 12	22.7	0	0.2	LOT	seconds	observer	unspecified	apparent	False	NaN
33000000.0	r'	300 s x 4	24.27	0	0.19	CFHT	seconds	observer	unspecified	apparent	False	NaN
187.0	I_{c}	60 s x 1	16.57	0	0.12	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
289.0	I_{c}	60 s x 1	16.81	0	0.15	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
331.0	I_{c}	60 s x 1	16.73	0	0.14	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
514.5	I_{c}	60 s x 2	17.22	0	0.14	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
816.0	I_{c}	60 s x 6	17.87	0	0.17	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
1707.5	I_{c}	60 s x 6	19.03	0	0.32	MITSuMe	seconds	observer	unspecified	apparent	False	NaN
