time	band	integration	mag	mag_limit	dmag	instrument	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	dtime	reference
0.00855	V	300 s x 1	18.45	0	0.1	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.01098	V	300 s x 1	18.6	0	0.1	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.01450	V	300 s x 1	19.13	0	0.12	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.01827	V	300 s x 1	19.74	0	0.15	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.02185	V	300 s x 1	19.77	0	0.15	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.02552	V	300 s x 1	19.67	0	0.15	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.02919	V	300 s x 1	19.67	0	0.15	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.03286	V	300 s x 1	20.15	0	0.15	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.03654	V	300 s x 1	20.35	0	0.25	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.04021	V	300 s x 1	20.18	0	0.25	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.04388	V	300 s x 1	20.05	0	0.25	Xinglong-1m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
