Table 1 
Observation Log of the GRB 071112C Optical Afterglow


T_mid(s)	Filter	Exposure (s)	Mag	Telescope	
738.7	V	300 s x 1	18.45 +or- 0.10	Xinglong-1m	
948.9	V	300 s x 1	18.60 +or- 0.10	Xinglong-1m	
1252.8	V	300 s x 1	19.13 +or- 0.12	Xinglong-1m	
1578.5	V	300 s x 1	19.74 +or- 0.15	Xinglong-1m	
1887.8	V	300 s x 1	19.77 +or- 0.15	Xinglong-1m	
2204.9	V	300 s x 1	19.67 +or- 0.15	Xinglong-1m	
2522.0	V	300 s x 1	19.67 +or- 0.15	Xinglong-1m	
2839.1	V	300 s x 1	20.15 +or- 0.15	Xinglong-1m	
3157.1	V	300 s x 1	20.35 +or- 0.25	Xinglong-1m	
3474.1	V	300 s x 1	20.18 +or- 0.25	Xinglong-1m	
3791.2	V	300 s x 1	20.05 +or- 0.25	Xinglong-1m	
4425.4	V	300 s x 3	20.67 +or- 0.20	Xinglong-1m	
5377.5	V	300 s x 3	20.31 +or- 0.20	Xinglong-1m	
7454.6	V	600 s x 5	20.89 +or- 0.30	Xinglong-1m	
90.9	CR	5 s x 5	17.10 +or- 0.20	ROTSE-IIIc	
147.0	CR	5 s x 5	17.40 +or- 0.30	ROTSE-IIIc	
273.3	CR	20 s x 5	17.10 +or- 0.10	ROTSE-IIIc	
96.2	R	5 s x 1	16.79 +or- 0.15	TAOSB	
104.4	R	5 s x 1	17.01 +or- 0.17	TAOSB	
112.6	R	5 s x 1	16.83 +or- 0.14	TAOSB	
120.8	R	5 s x 1	17.05 +or- 0.15	TAOSB	
129.0	R	5 s x 1	17.00 +or- 0.16	TAOSB	
137.2	R	5 s x 1	16.86 +or- 0.17	TAOSB	
145.4	R	5 s x 1	16.96 +or- 0.16	TAOSB	
157.7	R	5 s x 2	17.17 +or- 0.12	TAOSB	
174.1	R	5 s x 2	17.17 +or- 0.18	TAOSB	
190.5	R	5 s x 2	16.96 +or- 0.14	TAOSB	
206.9	R	5 s x 2	17.11 +or- 0.15	TAOSB	
223.3	R	5 s x 2	17.14 +or- 0.12	TAOSB	
231.7	R	5 s x 2	17.16 +or- 0.12	TAOSB	
256.1	R	5 s x 2	17.11 +or- 0.14	TAOSB	
272.5	R	5 s x 2	17.42 +or- 0.18	TAOSB	
288.9	R	5 s x 2	17.14 +or- 0.16	TAOSB	
309.5	R	5 s x 3	17.52 +or- 0.22	TAOSB	
330.3	R	5 s x 3	17.28 +or- 0.13	TAOSB	
359.7	R	5 s x 3	17.63 +or- 0.15	TAOSB	
384.6	R	5 s x 3	17.48 +or- 0.17	TAOSB	
409.2	R	5 s x 3	17.45 +or- 0.22	TAOSB	
437.9	R	5 s x 4	17.75 +or- 0.18	TAOSB	
470.7	R	5 s x 4	17.57 +or- 0.15	TAOSB	
520.3	R	5 s x 4	18.42 +or- 0.31	TAOSB	
573.2	R	5 s x 7	17.81 +or- 0.19	TAOSB	
630.7	R	5 s x 7	18.14 +or- 0.24	TAOSB	
701.1	R	5 s x 7	18.15 +or- 0.22	TAOSB	
824.7	R	5 s x 20	18.36 +or- 0.22	TAOSB	
1112.4	R	5 s x 50	19.01 +or- 0.29	TAOSB	
1894.6	R	5 s x 140	19.23 +or- 0.26	TAOSB	
124.4	CR	20 s x 1	17.13 +or- 0.12	TNT-0.8m	
160.7	CR	20 s x 1	16.82 +or- 0.10	TNT-0.8m	
184.0	CR	20 s x 1	17.30 +or- 0.12	TNT-0.8m	
206.5	CR	20 s x 1	17.04 +or- 0.12	TNT-0.8m	
228.9	CR	20 s x 1	17.37 +or- 0.15	TNT-0.8m	
252.3	CR	20 s x 1	17.31 +or- 0.15	TNT-0.8m	
274.8	CR	20 s x 1	17.26 +or- 0.15	TNT-0.8m	
297.2	CR	20 s x 1	17.43 +or- 0.15	TNT-0.8m	
343.0	CR	20 s x 1	17.42 +or- 0.15	TNT-0.8m	
366.3	CR	20 s x 1	17.48 +or- 0.15	TNT-0.8m	
388.8	CR	20 s x 1	17.62 +or- 0.15	TNT-0.8m	
412.1	CR	20 s x 1	17.35 +or- 0.15	TNT-0.8m	
434.6	CR	20 s x 1	17.68 +or- 0.15	TNT-0.8m	
457.0	CR	20 s x 1	17.87 +or- 0.20	TNT-0.8m	
480.4	CR	20 s x 1	17.80 +or- 0.20	TNT-0.8m	
502.8	CR	20 s x 1	17.87 +or- 0.20	TNT-0.8m	
525.3	CR	20 s x 1	17.66 +or- 0.25	TNT-0.8m	
548.6	CR	20 s x 1	18.44 +or- 0.30	TNT-0.8m	
571.1	CR	20 s x 1	18.12 +or- 0.25	TNT-0.8m	
632.4	R	60 s x 1	18.00 +or- 0.15	TNT-0.8m	
711.1	R	60 s x 1	18.28 +or- 0.20	TNT-0.8m	
789.7	R	60 s x 1	18.34 +or- 0.20	TNT-0.8m	
867.5	R	60 s x 1	18.46 +or- 0.20	TNT-0.8m	
946.2	R	60 s x 1	18.40 +or- 0.20	TNT-0.8m	
1063.6	R	60 s x 2	18.72 +or- 0.15	TNT-0.8m	
1262.3	R	60 s x 3	19.13 +or- 0.20	TNT-0.8m	
1740.1	R	300 s x 2	19.11 +or- 0.10	TNT-0.8m	
2376.0	R	300 s x 2	19.67 +or- 0.15	TNT-0.8m	
3170.0	R	300 s x 3	19.51 +or- 0.15	TNT-0.8m	
4123.0	R	300 s x 3	20.03 +or- 0.20	TNT-0.8m	
5243.6	R	300 s x 4	20.03 +or- 0.20	TNT-0.8m	
186.0	Rc	60 s x 1	17.11 +or- 0.11	MITSuMe	
280.5	Rc	60 s x 2	17.46 +or- 0.11	MITSuMe	
536.5	Rc	60 s x 5	18.03 +or- 0.15	MITSuMe	
911.5	Rc	60 s x 5	18.49 +or- 0.23	MITSuMe	
1934.5	Rc	60 s x 19	19.21 +or- 0.25	MITSuMe	
6372.0	Rc	300 s x 6	20.3 +or- 0.3	LOT	
69620.3	Rc	300 s x 12	22.7 +or- 0.2	LOT	
3.3x 10^7	r'	300 s x 4	24.27 +or- 0.19	CFHT	
187.0	Ic	60 s x 1	16.57 +or- 0.12	MITSuMe	
289.0	Ic	60 s x 1	16.81 +or- 0.15	MITSuMe	
331.0	Ic	60 s x 1	16.73 +or- 0.14	MITSuMe	
514.5	Ic	60 s x 2	17.22 +or- 0.14	MITSuMe	
816.0	Ic	60 s x 6	17.87 +or- 0.17	MITSuMe	
1707.5	Ic	60 s x 6	19.03 +or- 0.32	MITSuMe	
