time	band	integration	mag	dmag	mag_limit	flux_density	dflux_density	flux_density_limit	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	instrument	time_frame	extinction_corrected	dtime
307.8	J	7.8	10.071	0.048	0	149073.3	6451.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
316.0	J	7.8	10.1	0.048	0	145237.8	6285.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
324.0	J	7.8	10.166	0.048	0	136684.7	5914.8	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
344.0	J	7.8	10.389	0.048	0	111255.0	4815.5	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
352.3	J	7.8	10.483	0.048	0	102084.5	4419.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
360.2	J	7.8	10.563	0.048	0	94763.2	4102.4	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
380.1	J	7.8	10.652	0.048	0	87313.1	3779.8	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
388.4	J	7.8	10.722	0.048	0	81846.4	3544.3	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
396.3	J	7.8	10.781	0.048	0	77538.9	3357.8	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
416.3	J	7.8	10.877	0.048	0	70983.9	3074.6	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
424.5	J	7.8	10.896	0.048	0	69752.5	3021.6	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
432.4	J	7.8	10.952	0.048	0	66227.7	2868.9	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
452.4	J	7.8	11.0	0.048	0	63381.1	2745.9	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
460.7	J	7.8	11.082	0.048	0	58776.0	2546.7	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
468.6	J	7.8	11.137	0.048	0	55862.4	2420.8	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
488.6	J	7.8	11.266	0.048	0	49636.3	2151.9	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
496.9	J	7.8	11.244	0.048	0	50633.7	2195.1	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
504.8	J	7.8	11.314	0.048	0	47485.4	2059.2	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
525.8	J	7.8	11.432	0.048	0	42575.5	1846.9	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
534.1	J	7.8	11.447	0.048	0	41991.4	1821.5	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
542.0	J	7.8	11.471	0.048	0	41073.3	1781.4	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
561.9	J	7.8	11.589	0.048	0	36863.8	1599.6	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
570.2	J	7.8	11.598	0.048	0	36535.9	1585.4	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
578.2	J	7.8	11.602	0.048	0	36391.5	1579.1	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
598.2	J	7.8	11.671	0.048	0	34160.1	1483.1	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
606.4	J	7.8	11.694	0.048	0	33441.0	1452.1	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
614.4	J	7.8	11.714	0.048	0	32827.6	1425.8	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
634.4	J	7.8	11.675	0.048	0	34053.3	1478.4	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
650.6	J	7.8	11.749	0.048	0	31786.3	1380.5	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
670.6	J	7.8	11.95	0.048	0	26424.1	1148.8	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
678.9	J	7.8	11.931	0.048	0	26902.9	1170.4	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
686.8	J	7.8	11.978	0.048	0	25749.0	1119.9	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
706.8	J	7.8	11.943	0.048	0	26585.2	1155.8	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
715.0	J	7.8	11.99	0.048	0	25473.0	1107.9	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
723.0	J	7.8	11.979	0.048	0	25734.7	1119.3	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
743.0	J	7.8	12.104	0.048	0	22940.3	998.4	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
751.3	J	7.8	12.121	0.048	0	22573.5	982.7	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
759.2	J	7.8	12.146	0.048	0	22069.9	961.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
779.3	J	7.8	12.166	0.048	0	21657.1	943.5	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
787.5	J	7.8	12.135	0.048	0	22282.3	970.5	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
795.5	J	7.8	12.172	0.048	0	21531.8	938.2	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
815.5	J	7.8	12.257	0.048	0	19919.6	870.1	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
823.8	J	7.8	12.277	0.048	0	19547.0	852.6	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
