time	band	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	instrument	time_frame	extinction_corrected	dtime
9.3	J	0.051	5.206	0	0.055	13200000.0	652000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
67.3	J	0.051	5.627	0	0.055	8940000.0	443000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
87.3	J	0.051	6.47	0	0.055	4110000.0	204000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
95.5	J	0.051	6.847	0	0.056	2910000.0	145000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
103.5	J	0.051	6.954	0	0.056	2630000.0	132000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
123.1	J	0.051	7.414	0	0.056	1720000.0	87100.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
131.3	J	0.051	7.598	0	0.057	1450000.0	73900.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
139.3	J	0.051	7.684	0	0.057	1340000.0	68400.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
159.2	J	0.051	8.025	0	0.058	982000.0	51300.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
167.5	J	0.051	8.142	0	0.059	882000.0	46400.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
175.4	J	0.051	8.204	0	0.059	833000.0	44300.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
195.4	J	0.051	8.572	0	0.062	593000.0	33000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
203.6	J	0.051	8.535	0	0.062	614000.0	33900.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
211.6	J	0.051	8.68	0	0.065	537000.0	31200.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
231.5	J	0.051	9.019	0	0.069	393000.0	24000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
239.8	J	0.051	9.192	0	0.071	335000.0	21200.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
247.7	J	0.051	9.187	0	0.074	337000.0	22100.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
267.7	J	0.051	9.514	0	0.082	249000.0	18000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
276.0	J	0.051	9.446	0	0.078	265000.0	18400.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
283.9	J	0.051	9.606	0	0.089	229000.0	18000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
59.3	H	0.051	4.52	0	0.052	15900000.0	747000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
67.3	H	0.051	4.853	0	0.052	11700000.0	550000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
87.3	H	0.051	5.713	0	0.052	5300000.0	250000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
95.5	H	0.051	6.101	0	0.052	3710000.0	175000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
103.5	H	0.051	6.225	0	0.052	3310000.0	156000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
123.1	H	0.051	6.498	0	0.053	2580000.0	122000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
131.3	H	0.051	6.818	0	0.053	1920000.0	91400.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
139.3	H	0.051	6.826	0	0.053	1900000.0	90700.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
159.2	H	0.051	7.195	0	0.054	1360000.0	66000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
167.5	H	0.051	7.442	0	0.054	1080000.0	52700.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
175.4	H	0.051	7.472	0	0.054	1050000.0	51200.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
195.4	H	0.051	7.702	0	0.056	849000.0	42600.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
203.6	H	0.051	7.794	0	0.056	781000.0	39400.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
211.6	H	0.051	7.923	0	0.057	693000.0	35500.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
231.5	H	0.051	8.009	0	0.058	641000.0	33500.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
239.8	H	0.051	8.257	0	0.06	510000.0	27600.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
247.7	H	0.051	8.394	0	0.063	449000.0	25500.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
267.7	H	0.051	8.521	0	0.064	400000.0	22900.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
276.0	H	0.051	8.62	0	0.065	365000.0	21200.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
283.9	H	0.051	8.724	0	0.07	332000.0	20600.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
303.9	H	0.051	8.923	0	0.078	276000.0	19100.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
312.1	H	0.051	8.867	0	0.077	291000.0	20000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
320.1	H	0.051	9.12	0	0.085	230000.0	17300.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
67.3	K_{s}	0.051	4.362	0	0.048	12000000.0	520000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
87.3	K_{s}	0.051	5.192	0	0.048	5590000.0	243000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
95.5	K_{s}	0.051	5.308	0	0.048	5020000.0	218000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
103.5	K_{s}	0.051	5.675	0	0.048	3580000.0	156000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
123.1	K_{s}	0.051	5.922	0	0.049	2850000.0	125000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
131.3	K_{s}	0.051	6.176	0	0.049	2260000.0	99300.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
139.3	K_{s}	0.051	6.226	0	0.049	2160000.0	94900.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
159.2	K_{s}	0.051	6.575	0	0.049	1560000.0	69500.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
167.5	K_{s}	0.051	6.651	0	0.05	1460000.0	65000.0	days	seconds	Vega	apparent	microJy	PAIRITeL	observer	False	NaN
