time	band	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	instrument	time_frame	extinction_corrected	dtime
1217.0	clear	20.0	14.116	0	0.008	7008.1	51.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1308.0	clear	20.0	14.261	0	0.007	6132.0	39.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1404.0	clear	20.0	14.424	0	0.011	5277.2	53.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1495.0	clear	20.0	14.548	0	0.013	4707.6	56.0	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1586.0	clear	20.0	14.651	0	0.011	4281.5	43.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1651.0	clear	20.0	14.735	0	0.01	3962.8	36.3	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1714.0	clear	20.0	14.798	0	0.01	3739.4	34.3	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1773.0	clear	20.0	14.901	0	0.013	3401.0	40.5	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1832.0	clear	20.0	14.947	0	0.011	3259.9	32.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1942.0	clear	20.0	15.051	0	0.01	2962.1	27.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2001.0	clear	20.0	15.069	0	0.011	2913.4	29.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2128.0	clear	20.0	15.209	0	0.01	2560.9	23.5	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2188.0	clear	20.0	15.259	0	0.011	2445.7	24.7	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2308.0	clear	20.0	15.335	0	0.01	2280.3	20.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2432.0	clear	20.0	15.4	0	0.012	2147.8	23.6	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2557.0	clear	20.0	15.503	0	0.009	1953.4	16.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2678.0	clear	20.0	15.601	0	0.013	1784.8	21.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2798.0	clear	20.0	15.64	0	0.013	1721.9	20.5	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2922.0	clear	20.0	15.716	0	0.014	1605.5	20.6	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3047.0	clear	20.0	15.75	0	0.016	1556.0	22.8	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
