time	integration	band	mag	dmag	mag_limit	instrument	time_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
6.87	10.0	C_R	8.412	0.118	0	RAPTOR-Q	seconds	seconds	AB	apparent	observer	False	NaN
37.22	10.0	C_R	5.497	0.017	0	RAPTOR-Q	seconds	seconds	AB	apparent	observer	False	NaN
60.48	10.0	C_R	6.747	0.035	0	RAPTOR-Q	seconds	seconds	AB	apparent	observer	False	NaN
83.81	10.0	C_R	7.943	0.089	0	RAPTOR-Q	seconds	seconds	AB	apparent	observer	False	NaN
100.31	10.0	C_R	8.348	0.02	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
116.19	10.0	C_R	8.758	0.02	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
132.25	10.0	C_R	9.085	0.021	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
148.22	10.0	C_R	9.392	0.021	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
164.07	10.0	C_R	9.591	0.021	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
179.95	10.0	C_R	9.832	0.021	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
195.98	10.0	C_R	9.981	0.022	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
211.85	10.0	C_R	10.151	0.022	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
228.09	10.0	C_R	10.431	0.023	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
243.72	10.0	C_R	10.567	0.024	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
259.71	10.0	C_R	10.715	0.024	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
275.57	10.0	C_R	10.865	0.026	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
291.53	10.0	C_R	11.047	0.028	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
307.18	10.0	C_R	11.248	0.028	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
323.25	10.0	C_R	11.357	0.03	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
339.3	10.0	C_R	11.572	0.035	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
355.19	10.0	C_R	11.576	0.035	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
370.71	10.0	C_R	11.8	0.039	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
386.57	10.0	C_R	11.817	0.039	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
416.62	30.0	C_R	11.965	0.03	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
456.57	30.0	C_R	12.222	0.033	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
495.99	30.0	C_R	12.423	0.038	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
534.69	30.0	C_R	12.617	0.043	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
575.05	30.0	C_R	12.699	0.047	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
614.77	30.0	C_R	12.751	0.047	0	RAPTOR-P	seconds	seconds	AB	apparent	observer	False	NaN
101.63	10.0	V	8.713	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
101.63	10.0	R	7.991	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
114.96	10.0	V	9.052	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
114.96	10.0	R	8.756	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
114.96	10.0	I	8.248	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
127.89	10.0	V	9.322	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
127.89	10.0	R	8.981	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
127.89	10.0	I	8.54	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
140.81	10.0	V	9.521	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
140.81	10.0	R	9.197	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
140.81	10.0	I	8.739	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
153.74	10.0	V	9.717	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
153.74	10.0	R	9.43	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
153.74	10.0	I	9.002	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
166.66	10.0	V	9.925	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
166.66	10.0	R	9.609	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
166.66	10.0	I	9.156	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
180.6	10.0	V	10.059	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
180.6	10.0	R	9.808	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
180.6	10.0	I	9.318	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
193.52	10.0	V	10.23	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
193.52	10.0	R	9.985	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
193.52	10.0	I	9.503	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
206.25	10.0	V	10.437	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
206.25	10.0	R	10.14	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
206.25	10.0	I	9.661	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
218.97	10.0	C_R	10.25	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
218.97	10.0	V	10.546	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
218.97	10.0	R	10.291	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
218.97	10.0	I	9.869	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
231.7	10.0	C_R	10.399	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
231.7	10.0	V	10.723	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
231.7	10.0	R	10.452	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
231.7	10.0	I	9.993	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
244.43	10.0	C_R	10.515	0.02	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
