time	instrument	band	integration	flux_density	dflux_density	flux_density_limit	aperture	time_unit	integration_unit	flux_density_unit	time_frame	extinction_corrected	mag	mag_limit	dmag	mag_unit	dtime
3.36	Gemini-N/GMOS	r	1000	4.33	0.08	0	2.0	days	seconds	microJy	observer	False	22.30878025911659	0	0.0200597913119284	AB	NaN
3.38	Gemini-N/GMOS	i	1000	5.4	0.1	0	2.0	days	seconds	microJy	observer	False	22.06901560044258	0	0.0201062260140394	AB	NaN
5.22	Gemini-N/GMOS	r	500	2.51	0.09	0	2.0	days	seconds	microJy	observer	False	22.900815696297407	0	0.0389307802502915	AB	NaN
5.23	Gemini-N/GMOS	i	500	2.91	0.11	0	2.0	days	seconds	microJy	observer	False	22.74026752753523	0	0.0410415747503072	AB	NaN
12.3	Gemini-N/GMOS	r	500	0.96	0.05	0	2.0	days	seconds	microJy	observer	False	23.94432191740108	0	0.0565487606644859	AB	NaN
12.3	Gemini-N/GMOS	i	500	1.27	0.07	0	2.0	days	seconds	microJy	observer	False	23.640490697610105	0	0.0598437278213142	AB	NaN
26.3	Gemini-N/GMOS	g	1080	0.174	0.013	0	1.5	days	seconds	microJy	observer	False	25.7986268792935	0	0.0811182221945728	AB	NaN
26.3	Gemini-N/GMOS	r	1080	0.39	0.03	0	1.5	days	seconds	microJy	observer	False	24.92233848243375	0	0.0835181695967791	AB	NaN
26.3	Gemini-N/GMOS	i	1080	0.74	0.03	0	1.5	days	seconds	microJy	observer	False	24.22692070067256	0	0.0440163326253295	AB	NaN
27.7	Gemini-N/GMOS	z	1080	1.09	0.16	0	1.5	days	seconds	microJy	observer	False	23.80643375514844	0	0.1593741217993584	AB	NaN
53.2	Gemini-N/GMOS	g	2700	0.099	0.02	0	1.5	days	seconds	microJy	observer	False	26.410912013506127	0	0.2193406474258847	AB	NaN
106.1	Gemini-N/GMOS	g	3150	0.072	0.007	0	1.5	days	seconds	microJy	observer	False	26.756668758921833	0	0.105557686573707	AB	NaN
319.3	Gemini-N/GMOS	r	4500	0.062	0.009	0	1.5	days	seconds	microJy	observer	False	26.919020776254364	0	0.1576068684326317	AB	NaN
463.1	Gemini-N/GMOS	i	3600	0.125	0.019	0	1.5	days	seconds	microJy	observer	False	26.157724967479854	0	0.1650319031232356	AB	NaN
16.0	VLT/FORS1	B	1800	0.49	0.08	0	1.5	days	seconds	microJy	observer	False	24.67450979992871	0	0.1772630538380619	AB	NaN
25.0	VLT/FORS1	B	1800	0.24	0.04	0	1.5	days	seconds	microJy	observer	False	25.449471895720983	0	0.1809560341263549	AB	NaN
51.0	VLT/FORS2	B	5400	0.071	0.023	0	1.5	days	seconds	microJy	observer	False	26.77185412820231	0	0.3517173621047462	AB	NaN
18.9	HST/WFPC2	F606W	3200	0.55	0.01	0	0.2	days	seconds	microJy	observer	False	24.54909327626439	0	0.0197406582683296	AB	NaN
19.1	HST/WFPC2	F814W	3200	0.81	0.02	0	0.2	days	seconds	microJy	observer	False	24.128787452803376	0	0.0268083013520525	AB	NaN
53.4	HST/WFPC2	F814W	3200	0.2	0.023	0	0.2	days	seconds	microJy	observer	False	25.647425010840045	0	0.1248596635471848	AB	NaN
53.6	HST/WFPC2	F606W	3200	0.066	0.006	0	0.2	days	seconds	microJy	observer	False	26.85114016114533	0	0.0987032913416481	AB	NaN
106.4	HST/WFPC2	F606W	3200	0.033	0.009	0	0.2	days	seconds	microJy	observer	False	27.603715150305277	0	0.2961098740249443	AB	NaN
106.4	HST/WFPC2	F606W	3200	0.065	0.028	0	1.0	days	seconds	microJy	observer	False	26.86771660839286	0	0.4677017497419634	AB	NaN
108.3	HST/WFPC2	F814W	3200	0.046	0.027	0	0.2	days	seconds	microJy	observer	False	27.243105420796063	0	0.637279946271076	AB	NaN
108.3	HST/WFPC2	F814W	3200	0.219	0.045	0	1.0	days	seconds	microJy	observer	False	25.5488897128997	0	0.2230964804297526	AB	NaN
