time	band	integration	mag	mag_limit	dmag	flux_density	dflux_denisty	instrument	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	dtime	reference	dflux_density	flux_density_limit	aperture	date	date_unit	Unnamed: 17
3.0	Clear	10.0	9.83	0	NaN	363000.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
17.0	Clear	10.0	5.76	0	NaN	15400000.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
32.0	Clear	10.0	6.0	0	NaN	12400000.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
79.0	Clear	10.0	8.26	0	NaN	1540000.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
93.0	Clear	10.0	8.77	0	NaN	964000.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
108.0	Clear	10.0	9.1	0	NaN	711000.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
122.0	Clear	10.0	10.27	0	NaN	242000.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
163.0	Clear	10.0	10.5	0	NaN	196000.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
177.0	Clear	10.0	11.1	0	NaN	113000.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
252.0	Clear	10.0	11.21	0	NaN	102000.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
296.0	Clear	10.0	11.79	0	NaN	59700.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
310.0	Clear	10.0	11.95	0	NaN	51500.0	NaN	Pi	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
37.2	Clear	10.0	5.6	0	NaN	17900000.0	NaN	RAPTOR	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
24.6	Clear	5.0	5.35	0	NaN	22500000.0	NaN	ROTSE	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
111.7	Clear	20.0	8.49	0	NaN	1250000.0	NaN	ROTSE	days	seconds	Vega	apparent	microJy	observer	0.0	NaN	https://ui.adsabs.harvard.edu/abs/2009ApJ...691..723B/abstract	NaN	NaN	NaN	NaN	NaN	NaN
