date	freq	flux_density	flux_density_limit	dflux_density	instrument	date_unit	freq_unit	flux_density_unit	time_frame	extinction_corrected	time	time_unit	dtime	reference
2008-Mar-20.0-Mar-20.5	97.0	0.41	0	0.12	IRAM	yyyy-month-deciday-month-deciday	GHz	milliJy	observer	False	0.991099537037037	days	0.2499999999999999	https://ui.adsabs.harvard.edu/abs/2009A%26A...504...45P/abstract
2008-Mar-23.0-Mar-23.5	97.0	0.35	0	0.19	IRAM	yyyy-month-deciday-month-deciday	GHz	milliJy	observer	False	3.991099537037037	days	0.25	https://ui.adsabs.harvard.edu/abs/2009A%26A...504...45P/abstract
2008-Mar-27.0-Mar-27.5	97.0	0.2	0	0.09	IRAM	yyyy-month-deciday-month-deciday	GHz	milliJy	observer	False	7.991099537037037	days	0.25	https://ui.adsabs.harvard.edu/abs/2009A%26A...504...45P/abstract
2008-Mar-28.0-Mar-28.5	4.8	4.0	1	NaN	RATAN	yyyy-month-deciday-month-deciday	GHz	milliJy	observer	False	8.991099537037037	days	0.2499999999999999	https://ui.adsabs.harvard.edu/abs/2009A%26A...504...45P/abstract
2008-Mar-30.0-Mar-30.5	4.8	4.0	1	NaN	RATAN	yyyy-month-deciday-month-deciday	GHz	milliJy	observer	False	10.991099537037035	days	0.2499999999999999	https://ui.adsabs.harvard.edu/abs/2009A%26A...504...45P/abstract
2008-Apr-08.0-Apr-08.5	4.8	3.0	1	NaN	RATAN	yyyy-month-deciday-month-deciday	GHz	milliJy	observer	False	19.99109953703704	days	0.25	https://ui.adsabs.harvard.edu/abs/2009A%26A...504...45P/abstract
2008-May-25.0-May-25.5	2.0	3.0	1	NaN	RT-22	yyyy-month-deciday-month-deciday	GHz	milliJy	observer	False	66.99109953703703	days	0.2499999999999999	https://ui.adsabs.harvard.edu/abs/2009A%26A...504...45P/abstract
2008-May-25.0-May-25.5	8.0	3.0	1	NaN	RT-22	yyyy-month-deciday-month-deciday	GHz	milliJy	observer	False	66.99109953703703	days	0.2499999999999999	https://ui.adsabs.harvard.edu/abs/2009A%26A...504...45P/abstract
2008-Mar-20.48	95.0	123.0	0	250.0	NaN	yyyy-month-deciday	GHz	microJy	observer	False	1.11	days	NaN	https://ui.adsabs.harvard.edu/abs/2010ApJ...711..641C/abstract
2008-Mar-21.56	4.86	204.0	0	40.0	NaN	yyyy-month-deciday	GHz	microJy	observer	False	2.3	days	NaN	https://ui.adsabs.harvard.edu/abs/2010ApJ...711..641C/abstract
2008-Mar-21.56	8.46	232.0	0	42.0	NaN	yyyy-month-deciday	GHz	microJy	observer	False	2.3	days	NaN	https://ui.adsabs.harvard.edu/abs/2010ApJ...711..641C/abstract
2008-Mar-21.81	19000.0	35.7	0	3.9	NaN	yyyy-month-deciday	GHz	microJy	observer	False	2.55	days	NaN	https://ui.adsabs.harvard.edu/abs/2010ApJ...711..641C/abstract
2008-Mar-26.48	4.86	167.0	0	61.0	NaN	yyyy-month-deciday	GHz	microJy	observer	False	7.22	days	NaN	https://ui.adsabs.harvard.edu/abs/2010ApJ...711..641C/abstract
2008-Mar-26.48	8.46	8.0	0	55.0	NaN	yyyy-month-deciday	GHz	microJy	observer	False	7.22	days	NaN	https://ui.adsabs.harvard.edu/abs/2010ApJ...711..641C/abstract
2008-Mar-29.89	19000.0	8.0	1	NaN	NaN	yyyy-month-deciday	GHz	microJy	observer	False	10.63	days	NaN	https://ui.adsabs.harvard.edu/abs/2010ApJ...711..641C/abstract
2008-Dec-25.83	1.46	-9.0	0	14.0	NaN	yyyy-month-deciday	GHz	microJy	observer	False	281.57	days	NaN	https://ui.adsabs.harvard.edu/abs/2010ApJ...711..641C/abstract
