instrument	band	time	integration	mag	mag_limit	dmag	mag_unit	mag_type	time_unit	time_frame	extinction_corrected	dtime
REM	r'	2.94	2.5	16.35	0	0.06	AB	apparent	days	observer	False	NaN
REM	r'	5.67	0.01	17.14	0	0.24	AB	apparent	days	observer	False	NaN
REM	r'	6.32	0.01	17.41	0	0.31	AB	apparent	days	observer	False	NaN
REM	r'	6.98	0.01	17.11	0	0.24	AB	apparent	days	observer	False	NaN
REM	r'	7.64	0.01	17.2	0	0.26	AB	apparent	days	observer	False	NaN
REM	r'	8.29	0.01	17.39	0	0.31	AB	apparent	days	observer	False	NaN
REM	r'	8.94	0.01	17.28	0	0.32	AB	apparent	days	observer	False	NaN
REM	H	1.57	0.08	15.41	0	0.29	AB	apparent	days	observer	False	NaN
REM	H	1.82	0.08	15.0	0	0.14	AB	apparent	days	observer	False	NaN
REM	H	2.08	0.08	14.47	0	0.2	AB	apparent	days	observer	False	NaN
REM	H	2.38	0.08	14.8	0	0.12	AB	apparent	days	observer	False	NaN
REM	H	2.64	0.08	15.09	0	0.12	AB	apparent	days	observer	False	NaN
REM	H	2.88	0.08	15.34	0	0.18	AB	apparent	days	observer	False	NaN
REM	H	3.4	0.08	15.43	0	0.19	AB	apparent	days	observer	False	NaN
REM	H	4.21	0.5	16.11	0	0.14	AB	apparent	days	observer	False	NaN
REM	H	5.53	0.52	16.2	0	0.14	AB	apparent	days	observer	False	NaN
REM	H	10.68	0.5	16.68	0	0.24	AB	apparent	days	observer	False	NaN
REM	H	16.51	0.85	17.37	0	0.23	AB	apparent	days	observer	False	NaN
REM	H	25.67	1.17	17.42	0	0.21	AB	apparent	days	observer	False	NaN
REM	H	50.85	1.18	17.9	0	0.31	AB	apparent	days	observer	False	NaN
REM	Ks	7.68	0.39	16.8	0	0.18	AB	apparent	days	observer	False	NaN
REM	Ks	12.13	0.59	17.21	0	0.19	AB	apparent	days	observer	False	NaN
REM	Ks	18.85	1.01	17.57	0	0.17	AB	apparent	days	observer	False	NaN
