time	band	mag	mag_limit	dmag	mag_unit	instrument	time_unit	time_frame	mag_type	extinction_corrected	dtime	reference
0.05700	B	17.349	0	0.055	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.05900	B	17.381	0	0.053	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.06200	B	17.434	0	0.053	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.06700	B	17.507	0	0.069	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.07300	B	17.606	0	0.055	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.08100	B	17.691	0	0.055	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.08500	B	17.81	0	0.17	AB	LOAO	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.08700	B	17.755	0	0.041	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.09500	B	17.83	0	0.024	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.10200	B	17.918	0	0.06	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.10500	B	17.833	0	0.052	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.10600	B	17.88	0	0.14	AB	LOAO	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.10800	B	17.909	0	0.037	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.11200	B	17.969	0	0.041	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.11800	B	18.048	0	0.046	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.12600	B	18.113	0	0.037	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.14100	B	18.199	0	0.029	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.14800	B	18.31	0	0.077	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.15100	B	18.317	0	0.082	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.15400	B	18.239	0	0.026	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.15800	B	18.318	0	0.033	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.16400	B	18.387	0	0.047	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.17200	B	18.421	0	0.028	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.17800	B	18.43	0	0.049	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.18700	B	18.492	0	0.044	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.19200	B	18.472	0	0.092	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.19500	B	18.615	0	0.063	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.19800	B	18.599	0	0.05	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.20200	B	18.56	0	0.044	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.20900	B	18.607	0	0.027	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.21600	B	18.689	0	0.035	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.22300	B	18.661	0	0.023	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.23200	B	18.748	0	0.043	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.23600	B	18.84	0	0.123	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.23900	B	18.732	0	0.067	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.24200	B	18.759	0	0.05	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.24600	B	18.791	0	0.034	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.25200	B	18.881	0	0.045	AB	FTN	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.47500	B	19.842	0	0.167	AB	Shajn	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.47800	B	19.792	0	0.157	AB	Shajn	days	observer	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
