time	freq	flux_density	flux_density_limit	dflux_density	instrument	time_frame	time_unit	flux_density_unit	freq_unit	dtime	reference
0.168	2.3	NaN	0	NaN	RT-22	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.168	4.8	NaN	0	NaN	RT-22	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.168	8.46	NaN	0	NaN	RT-22	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.168	15.0	NaN	0	NaN	RT-22	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.168	22.0	5.0	1	NaN	RT-22	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.824	2.3	NaN	0	NaN	AMI	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.824	4.8	NaN	0	NaN	AMI	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.824	8.46	NaN	0	NaN	AMI	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.824	15.0	0.62	0	0.115	AMI	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.824	22.0	NaN	0	NaN	AMI	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.98	2.3	NaN	0	NaN	VLA	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.98	4.8	NaN	0	NaN	VLA	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.98	8.46	0.383	0	0.047	VLA	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.98	15.0	NaN	0	NaN	VLA	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.98	22.0	NaN	0	NaN	VLA	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
1.68	2.3	NaN	0	NaN	WSRT	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
1.68	4.8	0.388	0	0.03	WSRT	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
1.68	8.46	NaN	0	NaN	WSRT	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
1.68	15.0	NaN	0	NaN	WSRT	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
1.68	22.0	NaN	0	NaN	WSRT	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
3.203	2.3	3.0	1	NaN	NaN	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
3.203	4.8	NaN	0	NaN	NaN	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
3.203	8.46	3.0	1	NaN	NaN	observer	days	milliJy	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
